exchange,stock_symbol,date,dividends
NYSE,BCE,2009-12-11,0.386
NYSE,BCE,2009-09-11,0.373
NYSE,BCE,2009-06-11,0.35
NYSE,BCE,2009-03-12,0.309
NYSE,BCE,2008-12-19,0.296
NYSE,BCE,2008-03-12,0.363
NYSE,BCE,2007-12-12,0.363
NYSE,BCE,2007-09-12,0.346
NYSE,BCE,2007-06-13,0.344
NYSE,BCE,2007-03-13,0.311
NYSE,BCE,2006-12-13,0.287
NYSE,BCE,2006-09-13,0.295
NYSE,BCE,2006-06-13,0.298
NYSE,BCE,2006-03-13,0.291
NYSE,BCE,2005-12-13,0.285
NYSE,BCE,2005-09-13,0.333
NYSE,BCE,2005-06-13,0.265
NYSE,BCE,2004-12-13,0.3
NYSE,BCE,2004-09-13,0.3
NYSE,BCE,2004-06-14,0.3
NYSE,BCE,2004-03-11,0.3
NYSE,BCE,2003-12-11,0.4
NYSE,BCE,2003-09-11,0.3
NYSE,BCE,2003-06-12,0.3
NYSE,BCE,2003-03-13,0.3
NYSE,BCE,2002-12-11,0.3
NYSE,BCE,2002-09-11,0.3
NYSE,BCE,2002-06-12,0.3
NYSE,BCE,2002-03-13,0.3
NYSE,BCE,2001-12-12,0.3
NYSE,BCE,2001-06-13,0.3
NYSE,BCE,2001-03-13,0.3
NYSE,BCE,2000-12-13,0.3
NYSE,BCE,2000-09-13,0.3
NYSE,BCE,2000-06-13,0.3
NYSE,BCE,2000-05-09,87.057999
NYSE,BCE,2000-03-13,0.34
NYSE,BCE,1999-12-13,0.34
NYSE,BCE,1999-09-13,0.34
NYSE,BCE,1999-06-11,0.34
NYSE,BCE,1999-03-11,0.34
NYSE,BCE,1998-12-11,0.34
NYSE,BCE,1998-09-11,0.34
NYSE,BCE,1998-06-11,0.34
NYSE,BCE,1998-03-11,0.34
NYSE,BCE,1997-12-11,0.34
NYSE,BCE,1997-09-11,0.34
NYSE,BCE,1997-06-11,0.34
NYSE,BCE,1997-03-12,0.34
NYSE,BCE,1996-12-11,0.34
NYSE,BCE,1996-09-11,0.34
NYSE,BCE,1996-06-12,0.34
NYSE,BCE,1996-03-13,0.34
NYSE,BCE,1995-12-13,0.34
NYSE,BCE,1995-09-13,0.34
NYSE,BCE,1995-06-13,0.34
NYSE,BCE,1995-03-09,0.34
NYSE,BCE,1994-12-09,0.34
NYSE,BCE,1994-09-09,0.335
NYSE,BCE,1994-06-09,0.335
NYSE,BCE,1994-03-09,0.335
NYSE,BCE,1993-12-09,0.335
NYSE,BCE,1993-09-09,0.33
NYSE,BCE,1993-06-09,0.33
NYSE,BCE,1993-03-09,0.33
NYSE,BCE,1992-12-09,0.33
NYSE,BCE,1992-09-09,0.325
NYSE,BCE,1992-06-09,0.325
NYSE,BCE,1992-03-09,0.325
NYSE,BCE,1991-12-09,0.325
NYSE,BCE,1991-09-09,0.32
NYSE,BCE,1991-06-10,0.32
NYSE,BCE,1991-03-11,0.32
NYSE,BCE,1990-12-10,0.32
NYSE,BCE,1990-09-10,0.315
NYSE,BCE,1990-06-11,0.315
NYSE,BCE,1990-03-09,0.315
NYSE,BCE,1989-12-11,0.315
NYSE,BCE,1989-09-11,0.31
NYSE,BCE,1989-06-09,0.31
NYSE,BCE,1989-03-09,0.31
NYSE,BCE,1988-12-09,0.31
NYSE,BCE,1988-09-09,0.305
NYSE,BCE,1988-03-09,0.305
NYSE,BW,2001-06-20,0.12
NYSE,BW,2001-03-28,0.12
NYSE,BW,2001-01-03,0.12
NYSE,BW,2000-09-27,0.12
NYSE,BW,2000-06-28,0.12
NYSE,BW,2000-03-22,0.12
NYSE,BW,1999-12-16,0.12
NYSE,BW,1999-09-23,0.12
NYSE,BW,1999-06-16,0.12
NYSE,BW,1999-03-17,0.12
NYSE,BW,1998-12-16,0.12
NYSE,BW,1998-09-17,0.12
NYSE,BW,1998-06-17,0.12
NYSE,BW,1998-03-18,0.12
NYSE,BW,1997-12-17,0.12
NYSE,BW,1997-09-12,0.12
NYSE,BW,1997-06-12,0.11
NYSE,BW,1997-03-13,0.11
NYSE,BW,1996-12-18,0.11
NYSE,BW,1996-09-11,0.11
NYSE,BW,1996-06-12,0.1
NYSE,BW,1996-03-14,0.1
NYSE,BW,1995-12-13,0.1
NYSE,BW,1995-09-13,0.1
NYSE,BW,1995-06-14,0.08
NYSE,BW,1995-03-13,0.08
NYSE,BW,1994-12-14,0.08
NYSE,BW,1994-09-12,0.08
NYSE,BW,1994-06-13,0.05
NYSE,BW,1994-03-14,0.05
NYSE,BW,1993-12-15,0.05
NYSE,BW,1993-09-03,0.05
NYSE,BW,1993-06-07,0.05
NYSE,BW,1993-03-08,0.05
