exchange,stock_symbol,date,dividends
NYSE,DCM,2006-09-27,0.17
NYSE,DCM,2006-03-28,0.17
NYSE,DCM,2005-09-27,0.181
NYSE,DCM,2005-03-28,0.096
NYSE,DCM,2004-09-27,0.091
NYSE,DCM,2004-03-26,0.045
NYSE,DCM,2003-09-25,0.043
NYSE,DCM,2003-03-26,0.04
NYSE,DCM,2002-03-26,0.0076
NYSE,DNP,2010-01-27,0.065
NYSE,DNP,2009-12-29,0.065
NYSE,DNP,2009-11-25,0.065
NYSE,DNP,2009-10-28,0.065
NYSE,DNP,2009-09-28,0.065
NYSE,DNP,2009-08-27,0.065
NYSE,DNP,2009-07-29,0.065
NYSE,DNP,2009-06-26,0.065
NYSE,DNP,2009-05-27,0.065
NYSE,DNP,2009-04-28,0.065
NYSE,DNP,2009-03-27,0.065
NYSE,DNP,2009-02-25,0.065
NYSE,DNP,2009-01-28,0.065
NYSE,DNP,2008-12-29,0.065
NYSE,DNP,2008-11-25,0.065
NYSE,DNP,2008-10-29,0.065
NYSE,DNP,2008-09-26,0.065
NYSE,DNP,2008-08-27,0.065
NYSE,DNP,2008-07-29,0.065
NYSE,DNP,2008-06-26,0.065
NYSE,DNP,2008-05-28,0.065
NYSE,DNP,2008-04-28,0.065
NYSE,DNP,2008-03-27,0.065
NYSE,DNP,2008-02-27,0.065
NYSE,DNP,2008-01-29,0.065
NYSE,DNP,2007-12-27,0.065
NYSE,DNP,2007-11-28,0.065
NYSE,DNP,2007-10-29,0.065
NYSE,DNP,2007-09-26,0.065
NYSE,DNP,2007-08-29,0.065
NYSE,DNP,2007-07-27,0.065
NYSE,DNP,2007-06-27,0.065
NYSE,DNP,2007-05-29,0.065
NYSE,DNP,2007-04-26,0.065
NYSE,DNP,2007-03-28,0.065
NYSE,DNP,2007-02-26,0.065
NYSE,DNP,2007-01-29,0.065
NYSE,DNP,2006-12-27,0.065
NYSE,DNP,2006-11-28,0.065
NYSE,DNP,2006-10-27,0.065
NYSE,DNP,2006-09-27,0.065
NYSE,DNP,2006-08-29,0.065
NYSE,DNP,2006-06-28,0.065
NYSE,DNP,2006-05-26,0.065
NYSE,DNP,2006-04-26,0.065
NYSE,DNP,2006-03-29,0.065
NYSE,DNP,2005-12-28,0.07
NYSE,DNP,2005-11-28,0.065
NYSE,DNP,2005-10-27,0.065
NYSE,DNP,2005-09-28,0.065
NYSE,DNP,2005-08-29,0.065
NYSE,DNP,2005-06-28,0.065
NYSE,DNP,2005-05-26,0.065
NYSE,DNP,2005-03-29,0.065
NYSE,DNP,2005-02-24,0.065
NYSE,DNP,2005-01-27,0.065
NYSE,DNP,2004-12-29,0.08
NYSE,DNP,2004-11-26,0.065
NYSE,DNP,2004-10-27,0.065
NYSE,DNP,2004-09-28,0.065
NYSE,DNP,2004-08-27,0.065
NYSE,DNP,2004-07-28,0.065
NYSE,DNP,2004-06-28,0.065
NYSE,DNP,2004-05-26,0.065
NYSE,DNP,2004-04-28,0.065
NYSE,DNP,2004-03-29,0.065
NYSE,DNP,2004-02-25,0.065
NYSE,DNP,2004-01-28,0.065
NYSE,DNP,2003-12-29,0.08
NYSE,DNP,2003-11-25,0.065
NYSE,DNP,2003-10-29,0.065
NYSE,DNP,2003-09-26,0.065
NYSE,DNP,2003-08-27,0.065
NYSE,DNP,2003-07-29,0.065
NYSE,DNP,2003-06-26,0.065
NYSE,DNP,2003-05-28,0.065
NYSE,DNP,2003-04-28,0.065
NYSE,DNP,2003-03-27,0.065
NYSE,DNP,2003-02-26,0.065
NYSE,DNP,2003-01-29,0.065
NYSE,DNP,2002-12-27,0.065
NYSE,DNP,2002-11-26,0.065
NYSE,DNP,2002-10-29,0.065
NYSE,DNP,2002-09-26,0.065
NYSE,DNP,2002-08-28,0.065
NYSE,DNP,2002-07-29,0.065
NYSE,DNP,2002-06-26,0.065
NYSE,DNP,2002-05-29,0.065
NYSE,DNP,2002-04-26,0.065
NYSE,DNP,2002-03-26,0.065
NYSE,DNP,2002-02-26,0.065
NYSE,DNP,2002-01-29,0.065
NYSE,DNP,2001-12-27,0.075
NYSE,DNP,2001-11-28,0.065
NYSE,DNP,2001-10-29,0.065
NYSE,DNP,2001-09-26,0.065
NYSE,DNP,2001-08-29,0.065
NYSE,DNP,2001-07-27,0.065
NYSE,DNP,2001-06-27,0.065
NYSE,DNP,2001-05-29,0.065
NYSE,DNP,2001-04-26,0.065
NYSE,DNP,2001-03-28,0.065
NYSE,DNP,2001-02-26,0.065
NYSE,DNP,2001-01-29,0.065
NYSE,DNP,2000-12-27,0.075
NYSE,DNP,2000-11-28,0.065
NYSE,DNP,2000-10-27,0.065
NYSE,DNP,2000-09-27,0.065
NYSE,DNP,2000-08-29,0.065
NYSE,DNP,2000-07-27,0.065
NYSE,DNP,2000-06-28,0.065
NYSE,DNP,2000-05-26,0.065
NYSE,DNP,2000-04-26,0.065
NYSE,DNP,2000-03-29,0.065
NYSE,DNP,2000-02-25,0.065
NYSE,DNP,2000-01-27,0.065
NYSE,DNP,1999-12-29,0.065
NYSE,DNP,1999-11-26,0.065
NYSE,DNP,1999-10-27,0.065
NYSE,DNP,1999-09-28,0.065
NYSE,DNP,1999-08-27,0.065
NYSE,DNP,1999-07-28,0.065
NYSE,DNP,1999-06-28,0.066
NYSE,DNP,1999-05-26,0.065
NYSE,DNP,1999-04-28,0.065
NYSE,DNP,1999-03-29,0.065
NYSE,DNP,1999-02-24,0.065
NYSE,DNP,1999-01-27,0.065
NYSE,DNP,1998-12-29,0.065
NYSE,DNP,1998-11-25,0.065
NYSE,DNP,1998-10-28,0.065
NYSE,DNP,1998-09-28,0.065
NYSE,DNP,1998-08-27,0.065
NYSE,DNP,1998-07-29,0.065
NYSE,DNP,1998-06-26,0.065
NYSE,DNP,1998-05-27,0.065
NYSE,DNP,1998-04-28,0.065
NYSE,DNP,1998-03-27,0.065
NYSE,DNP,1998-02-25,0.065
NYSE,DNP,1998-01-28,0.065
NYSE,DNP,1997-12-29,0.065
NYSE,DNP,1997-11-25,0.065
NYSE,DNP,1997-10-29,0.065
NYSE,DNP,1997-09-26,0.065
NYSE,DNP,1997-08-27,0.065
NYSE,DNP,1997-07-29,0.065
NYSE,DNP,1997-06-26,0.06
NYSE,DNP,1997-05-28,0.06
NYSE,DNP,1997-04-28,0.06
NYSE,DNP,1997-03-26,0.06
NYSE,DNP,1997-02-26,0.06
NYSE,DNP,1997-01-31,0.06
NYSE,DNP,1996-12-27,0.08
NYSE,DNP,1996-11-26,0.06
NYSE,DNP,1996-10-29,0.06
NYSE,DNP,1996-09-26,0.06
NYSE,DNP,1996-08-28,0.06
NYSE,DNP,1996-07-29,0.06
NYSE,DNP,1996-06-26,0.06
NYSE,DNP,1996-05-29,0.06
NYSE,DNP,1996-04-26,0.06
NYSE,DNP,1996-03-27,0.06
NYSE,DNP,1996-02-27,0.06
NYSE,DNP,1996-01-29,0.06
NYSE,DNP,1995-12-27,0.07
NYSE,DNP,1995-11-28,0.06
NYSE,DNP,1995-10-27,0.06
NYSE,DNP,1995-09-27,0.06
NYSE,DNP,1995-08-29,0.06
NYSE,DNP,1995-07-27,0.06
NYSE,DNP,1995-06-28,0.06
NYSE,DNP,1995-05-24,0.06
NYSE,DNP,1995-04-24,0.06
NYSE,DNP,1995-03-27,0.06
NYSE,DNP,1995-02-22,0.06
NYSE,DNP,1995-01-25,0.06
NYSE,DNP,1994-12-23,0.06
NYSE,DNP,1994-11-23,0.06
NYSE,DNP,1994-10-25,0.06
NYSE,DNP,1994-09-26,0.06
NYSE,DNP,1994-08-25,0.06
NYSE,DNP,1994-07-25,0.06
NYSE,DNP,1994-06-24,0.06
NYSE,DNP,1994-05-24,0.06
NYSE,DNP,1994-04-25,0.06
NYSE,DNP,1994-03-25,0.06
NYSE,DNP,1994-02-22,0.06
NYSE,DNP,1994-01-25,0.06
NYSE,DNP,1993-12-27,0.08
NYSE,DNP,1993-11-23,0.06
NYSE,DNP,1993-11-22,0.06
NYSE,DNP,1993-10-25,0.06
NYSE,DNP,1993-09-24,0.06
NYSE,DNP,1993-08-25,0.06
NYSE,DNP,1993-07-27,0.06
NYSE,DNP,1993-06-24,0.06
NYSE,DNP,1993-05-24,0.06
NYSE,DNP,1993-04-26,0.06
NYSE,DNP,1993-03-25,0.06
NYSE,DNP,1993-02-22,0.06
NYSE,DNP,1993-01-25,0.06
NYSE,DNP,1992-12-24,0.12
NYSE,DNP,1992-11-23,0.06
NYSE,DNP,1992-10-23,0.06
NYSE,DNP,1992-09-24,0.06
NYSE,DNP,1992-08-25,0.06
NYSE,DNP,1992-07-27,0.06
NYSE,DNP,1992-06-24,0.06
NYSE,DNP,1992-05-22,0.06
NYSE,DNP,1992-04-24,0.06
NYSE,DNP,1992-03-25,0.06
NYSE,DNP,1992-02-24,0.06
NYSE,DNP,1992-01-27,0.06
NYSE,DNP,1991-12-24,0.11
NYSE,DNP,1991-11-22,0.06
NYSE,DNP,1991-10-25,0.06
NYSE,DNP,1991-09-24,0.06
NYSE,DNP,1991-08-26,0.06
NYSE,DNP,1991-07-25,0.06
NYSE,DNP,1991-06-24,0.06
NYSE,DNP,1991-05-24,0.06
NYSE,DNP,1991-04-24,0.06
NYSE,DNP,1991-03-22,0.06
NYSE,DNP,1991-02-22,0.06
NYSE,DNP,1991-01-25,0.06
NYSE,DNP,1990-12-24,0.1
NYSE,DNP,1990-11-26,0.06
NYSE,DNP,1990-10-25,0.06
NYSE,DNP,1990-09-24,0.06
NYSE,DNP,1990-08-27,0.06
NYSE,DNP,1990-07-25,0.06
NYSE,DNP,1990-06-25,0.06
NYSE,DNP,1990-05-24,0.06
NYSE,DNP,1990-04-24,0.06
NYSE,DNP,1990-03-26,0.06
NYSE,DNP,1990-02-22,0.06
NYSE,DNP,1990-01-25,0.06
NYSE,DNP,1989-12-22,0.1
NYSE,DNP,1989-11-24,0.06
NYSE,DNP,1989-10-25,0.06
NYSE,DNP,1989-09-25,0.06
NYSE,DNP,1989-08-25,0.06
NYSE,DNP,1989-07-25,0.06
NYSE,DNP,1989-06-26,0.06
NYSE,DNP,1989-05-24,0.06
NYSE,DNP,1989-04-24,0.06
NYSE,DNP,1989-03-27,0.06
NYSE,DNP,1989-02-22,0.06
NYSE,DNP,1989-01-25,0.06
NYSE,DNP,1988-12-23,0.18
NYSE,DNP,1988-11-23,0.18
NYSE,DNP,1988-10-25,0.18
NYSE,DNP,1988-08-25,0.18
NYSE,DNP,1988-07-25,0.18
NYSE,DNP,1988-06-24,0.06
NYSE,DNP,1988-05-24,0.06
NYSE,DNP,1988-04-25,0.06
NYSE,DNP,1988-03-25,0.06
NYSE,DNP,1988-02-23,0.06
NYSE,DNP,1988-01-25,0.06
NYSE,DNP,1987-12-24,0.06
NYSE,DNP,1987-11-23,0.06
NYSE,DNP,1987-10-26,0.06
NYSE,DNP,1987-09-24,0.06
NYSE,DNP,1987-08-25,0.06
NYSE,DNP,1987-07-27,0.06
NYSE,DNP,1987-06-24,0.06
NYSE,DNP,1987-05-22,0.055
NYSE,DNP,1987-04-24,0.05
NYSE,DNP,1987-03-25,0.045
NYSE,DNP,1987-02-23,0.04
NYSE,DDF,2010-01-13,0.058
NYSE,DDF,2009-12-09,0.058
NYSE,DDF,2009-11-10,0.058
NYSE,DDF,2009-10-14,0.058
NYSE,DDF,2009-09-09,0.058
NYSE,DDF,2009-08-12,0.058
NYSE,DDF,2009-07-15,0.058
NYSE,DDF,2009-06-10,0.058
NYSE,DDF,2009-05-13,0.058
NYSE,DDF,2009-04-07,0.058
NYSE,DDF,2009-03-11,0.058
NYSE,DDF,2009-02-11,0.058
NYSE,DDF,2009-01-14,0.058
NYSE,DDF,2008-12-10,0.08
NYSE,DDF,2008-11-12,0.08
NYSE,DDF,2008-10-15,0.08
NYSE,DDF,2008-09-10,0.08
NYSE,DDF,2008-08-13,0.08
NYSE,DDF,2008-07-09,0.08
NYSE,DDF,2008-06-11,0.08
NYSE,DDF,2008-05-14,0.08
NYSE,DDF,2008-04-09,0.08
NYSE,DDF,2008-03-13,0.08
NYSE,DDF,2008-02-13,0.08
NYSE,DDF,2008-01-09,0.08
NYSE,DDF,2007-12-12,0.08
NYSE,DDF,2007-11-14,0.08
NYSE,DDF,2007-10-10,0.08
NYSE,DDF,2007-09-12,0.08
NYSE,DDF,2007-08-15,0.08
NYSE,DDF,2007-07-11,0.08
NYSE,DDF,2007-06-13,0.08
NYSE,DDF,2007-05-09,0.08
NYSE,DDF,2007-04-11,0.08
NYSE,DDF,2007-03-14,0.08
NYSE,DDF,2007-02-07,0.08
NYSE,DDF,2007-01-10,0.08
NYSE,DDF,2006-12-13,0.328
NYSE,DDF,2006-11-08,0.08
NYSE,DDF,2006-10-11,0.08
NYSE,DDF,2006-09-13,0.08
NYSE,DDF,2006-08-09,0.08
NYSE,DDF,2006-07-12,0.08
NYSE,DDF,2006-06-14,0.08
NYSE,DDF,2006-05-10,0.08
NYSE,DDF,2006-04-11,0.08
NYSE,DDF,2006-03-15,0.08
NYSE,DDF,2006-02-08,0.08
NYSE,DDF,2006-01-11,0.08
NYSE,DDF,2005-12-14,0.053
NYSE,DDF,2005-11-09,0.08
