exchange,stock_symbol,date,dividends
NYSE,EWY,2009-12-22,0.114
NYSE,EWY,2009-06-23,0.201
NYSE,EWY,2008-12-23,0.189
NYSE,EWY,2007-12-24,0.369
NYSE,EWY,2005-12-23,0.26
NYSE,EWY,2004-12-23,0.1
NYSE,EWY,2003-12-31,0.084
NYSE,EWY,2003-12-22,0.152
NYSE,EWY,2001-08-24,0.104
NYSE,EWP,2009-12-22,1.222
NYSE,EWP,2009-06-23,0.825
NYSE,EWP,2008-12-23,1.541
NYSE,EWP,2007-12-20,1.158
NYSE,EWP,2005-12-23,0.741
NYSE,EWP,2004-12-23,0.611
NYSE,EWP,2003-12-22,0.269
NYSE,EWP,2002-12-23,0.156
NYSE,EWP,2001-08-24,0.163
NYSE,EWP,2000-12-20,0.95
NYSE,EWP,2000-08-24,0.949
NYSE,EWP,1999-08-25,1.086
NYSE,EWP,1998-12-22,1.11
NYSE,EWP,1998-08-25,0.725
NYSE,EWP,1997-12-23,0.088
NYSE,EWP,1996-12-23,0.078
NYSE,EWP,1996-08-26,0.078
NYSE,EXP,2009-12-21,0.1
NYSE,EXP,2009-10-02,0.1
NYSE,EXP,2009-06-22,0.1
NYSE,EXP,2009-03-30,0.1
NYSE,EXP,2008-12-19,0.1
NYSE,EXP,2008-10-02,0.2
NYSE,EXP,2008-06-20,0.2
NYSE,EXP,2008-03-18,0.2
NYSE,EXP,2007-12-19,0.2
NYSE,EXP,2007-10-03,0.2
NYSE,EXP,2007-06-18,0.2
NYSE,EXP,2007-03-21,0.175
NYSE,EXP,2006-12-19,0.175
NYSE,EXP,2006-10-02,0.175
NYSE,EXP,2006-06-20,0.175
NYSE,EXP,2006-03-20,0.525
NYSE,EXP,2005-12-20,0.1
NYSE,EXP,2005-10-04,0.1
NYSE,EXP,2005-06-21,0.1
NYSE,EXP,2005-03-21,0.1
NYSE,EXP,2004-12-17,0.1
NYSE,EXP,2004-10-01,0.1
NYSE,EXP,2004-06-18,0.1
NYSE,EXP,2004-03-22,0.1
NYSE,EXP,2004-01-09,2.0
NYSE,EXP,2003-12-05,0.01667
NYSE,EXP,2003-09-19,0.01667
NYSE,EXP,2003-06-20,0.01667
NYSE,EXP,2003-03-21,0.01667
NYSE,EXP,2002-12-06,0.01667
NYSE,EXP,2002-09-20,0.01667
NYSE,EXP,2002-06-21,0.01667
NYSE,EXP,2002-03-22,0.01667
NYSE,EXP,2001-12-14,0.01667
NYSE,EXP,2001-09-21,0.01667
NYSE,EXP,2001-06-22,0.01667
NYSE,EXP,2001-03-30,0.01667
NYSE,EXP,2000-12-29,0.01667
NYSE,EXP,2000-09-29,0.01667
NYSE,EXP,2000-06-23,0.01667
NYSE,EXP,2000-03-31,0.01667
NYSE,EXP,2000-01-04,0.01667
NYSE,EXP,1999-10-04,0.01667
NYSE,EXP,1999-06-29,0.01667
NYSE,EXP,1999-03-31,0.01667
NYSE,EXP,1998-12-31,0.01667
NYSE,EXP,1998-10-02,0.01667
NYSE,EXP,1998-06-30,0.01667
NYSE,EXP,1998-03-31,0.01667
NYSE,EXP,1997-12-31,0.01667
NYSE,EXP,1997-09-30,0.01667
NYSE,EXP,1997-06-27,0.01667
NYSE,EXP,1997-04-02,0.01667
NYSE,EXP,1996-12-31,0.01667
NYSE,EXP,1996-10-02,0.01667
NYSE,EXP,1996-07-02,0.01667
NYSE,EXP,1996-04-02,0.01667
NYSE,ERF,2010-02-08,0.168
NYSE,ERF,2009-12-29,0.172
NYSE,ERF,2009-12-08,0.169
NYSE,ERF,2009-11-06,0.169
NYSE,ERF,2009-10-07,0.169
