exchange,stock_symbol,date,dividends
NYSE,FOF,2009-12-21,0.23
NYSE,FOF,2009-09-21,0.23
NYSE,FOF,2009-06-18,0.27
NYSE,FOF,2009-03-11,0.27
NYSE,FOF,2008-12-11,0.118
NYSE,FOF,2008-11-12,0.118
NYSE,FOF,2008-10-10,0.118
NYSE,FOF,2008-09-11,0.118
NYSE,FOF,2008-08-13,0.118
NYSE,FOF,2008-07-11,0.118
NYSE,FOF,2008-06-11,0.118
NYSE,FOF,2008-05-13,0.118
NYSE,FOF,2008-04-11,0.118
NYSE,FOF,2008-03-12,0.118
NYSE,FOF,2008-02-13,0.118
NYSE,FOF,2008-01-11,0.118
NYSE,FOF,2007-12-12,0.118
NYSE,FOF,2007-11-13,0.118
NYSE,FOF,2007-10-11,0.118
NYSE,FOF,2007-09-12,0.118
NYSE,FOF,2007-08-13,0.118
NYSE,FOF,2007-07-11,0.118
NYSE,FOF,2007-06-13,0.118
NYSE,FOF,2007-05-11,0.118
NYSE,FOF,2007-04-11,0.118
NYSE,FOF,2007-03-13,0.118
NYSE,FOF,2007-02-13,0.118
NYSE,FOF,2006-12-22,0.16
NYSE,FRZ,2008-06-26,0.42
NYSE,FRZ,2008-03-27,0.42
NYSE,FRZ,2007-12-27,0.42
NYSE,FRZ,2007-09-26,0.42
NYSE,FRZ,2007-06-27,0.42
NYSE,FRZ,2007-03-28,0.4
NYSE,FRZ,2006-12-27,0.4
NYSE,FRZ,2006-09-27,0.4
NYSE,FRZ,2006-06-28,0.4
NYSE,FRZ,2006-03-29,0.383
NYSE,FRZ,2005-09-28,0.208
NYSE,FCZ,2009-12-29,0.46
NYSE,FCZ,2009-09-28,0.46
NYSE,FCZ,2009-06-26,0.46
NYSE,FCZ,2009-03-27,0.46
NYSE,FCZ,2008-12-29,0.46
NYSE,FCZ,2008-09-26,0.46
NYSE,FCZ,2008-06-26,0.46
NYSE,FCZ,2008-03-27,0.46
NYSE,FCZ,2007-12-27,0.46
NYSE,FCZ,2007-09-26,0.46
NYSE,FCZ,2007-06-27,0.46
NYSE,FCZ,2007-03-28,0.46
NYSE,FCZ,2006-12-27,0.46
NYSE,FCZ,2006-09-27,0.46
NYSE,FCZ,2006-06-28,0.46
NYSE,FCZ,2006-03-29,0.46
NYSE,FCZ,2005-09-28,0.46
NYSE,FCZ,2005-03-29,0.46
NYSE,FCZ,2004-12-30,0.46
NYSE,FCZ,2004-09-28,0.46
NYSE,FCZ,2004-06-28,0.46
NYSE,FCZ,2004-03-29,0.46
NYSE,FCZ,2003-12-29,0.46
NYSE,FPT,2010-01-20,0.079
NYSE,FPT,2009-12-21,0.079
NYSE,FPT,2009-11-19,0.079
NYSE,FPT,2009-10-21,0.079
NYSE,FPT,2009-09-21,0.079
NYSE,FPT,2009-08-19,0.079
NYSE,FPT,2009-07-21,0.079
NYSE,FPT,2009-06-19,0.079
NYSE,FPT,2009-05-20,0.079
NYSE,FPT,2009-04-21,0.079
NYSE,FPT,2009-03-19,0.079
NYSE,FPT,2009-02-19,0.058
NYSE,FPT,2009-01-21,0.058
NYSE,FPT,2008-12-19,0.058
NYSE,FPT,2008-11-19,0.058
NYSE,FPT,2008-10-21,0.058
NYSE,FPT,2008-09-19,0.058
NYSE,FPT,2008-08-20,0.058
NYSE,FPT,2008-07-21,0.058
NYSE,FPT,2008-06-19,0.058
NYSE,FPT,2008-05-21,0.058
NYSE,FPT,2008-04-21,0.058
NYSE,FPT,2008-03-18,0.058
NYSE,FPT,2008-02-20,0.058
NYSE,FPT,2008-01-18,0.058
NYSE,FPT,2007-12-19,0.058
NYSE,FPT,2007-11-20,0.058
NYSE,FPT,2007-10-19,0.058
NYSE,FPT,2007-09-19,0.058
NYSE,FPT,2007-08-21,0.058
NYSE,FPT,2007-07-19,0.058
NYSE,FPT,2007-06-20,0.058
NYSE,FPT,2007-05-21,0.058
NYSE,FPT,2007-04-19,0.058
NYSE,FPT,2007-03-21,0.058
NYSE,FPT,2007-02-21,0.058
NYSE,FPT,2007-01-19,0.058
NYSE,FPT,2006-12-20,0.058
NYSE,FPT,2006-11-20,0.058
NYSE,FPT,2006-10-19,0.058
NYSE,FPT,2006-09-20,0.058
NYSE,FPT,2006-08-21,0.058
NYSE,FPT,2006-07-19,0.058
NYSE,FPT,2006-06-21,0.058
NYSE,FPT,2006-05-19,0.058
NYSE,FPT,2006-04-19,0.058
NYSE,FPT,2006-03-21,0.058
NYSE,FPT,2006-02-21,0.058
NYSE,FPT,2006-01-19,0.058
NYSE,FPT,2005-12-21,0.058
NYSE,FPT,2005-11-21,0.058
NYSE,FPT,2005-10-19,0.058
NYSE,FPT,2005-09-21,0.058
NYSE,FPT,2005-08-19,0.065
NYSE,FPT,2005-07-20,0.065
NYSE,FPT,2005-06-21,0.065
NYSE,FPT,2005-05-19,0.065
NYSE,FPT,2005-04-20,0.065
NYSE,FPT,2005-03-21,0.065
NYSE,FPT,2005-02-18,0.065
NYSE,FPT,2005-01-19,0.065
NYSE,FPT,2004-12-21,0.065
NYSE,FPT,2004-11-19,0.065
NYSE,FPT,2004-10-20,0.065
NYSE,FPT,2004-09-21,0.065
NYSE,FPT,2004-08-19,0.065
NYSE,FPT,2004-07-21,0.065
NYSE,FPT,2004-06-21,0.065
NYSE,FPT,2004-05-19,0.065
NYSE,FPT,2004-04-21,0.065
NYSE,FPT,2004-03-19,0.065
NYSE,FPT,2004-02-19,0.065
NYSE,FPT,2004-01-21,0.065
NYSE,FPT,2003-12-19,0.065
NYSE,FPT,2003-11-19,0.065
NYSE,FPT,2003-10-21,0.065
NYSE,FPT,2003-09-19,0.065
NYSE,FPT,2003-08-20,0.065
NYSE,FPT,2003-07-21,0.065
NYSE,FPT,2003-06-19,0.063
NYSE,FPT,2003-05-21,0.063
NYSE,FPT,2003-04-21,0.063
NYSE,FPT,2003-03-19,0.063
NYSE,FPT,2003-02-19,0.063
NYSE,FHY,2010-02-01,0.045
NYSE,FHY,2010-01-04,0.045
NYSE,FHY,2009-12-01,0.045
NYSE,FHY,2009-11-02,0.045
NYSE,FHY,2009-10-01,0.045
NYSE,FHY,2009-09-01,0.045
NYSE,FHY,2009-08-03,0.045
NYSE,FHY,2009-07-01,0.07
NYSE,FHY,2009-06-01,0.11
NYSE,FHY,2009-05-01,0.11
NYSE,FHY,2009-04-01,0.12
NYSE,FHY,2009-03-02,0.12
NYSE,FHY,2009-02-02,0.15
NYSE,FHY,2009-01-02,0.15
NYSE,FHY,2008-12-01,0.167
NYSE,FHY,2008-11-03,0.167
NYSE,FHY,2008-10-01,0.167
NYSE,FHY,2008-09-02,0.167
NYSE,FHY,2008-08-01,0.167
NYSE,FHY,2008-07-01,0.167
NYSE,FHY,2008-06-02,0.167
NYSE,FHY,2008-05-01,0.167
NYSE,FHY,2008-04-01,0.167
NYSE,FHY,2008-03-03,0.167
NYSE,FHY,2008-02-01,0.167
NYSE,FHY,2007-12-27,0.167
NYSE,FHY,2007-12-03,0.167
NYSE,FHY,2007-11-01,0.167
NYSE,FHY,2007-10-01,0.167
NYSE,FHY,2007-09-04,0.167
NYSE,FHY,2007-08-01,0.167
NYSE,FHY,2007-07-02,0.167
NYSE,FHY,2007-06-01,0.167
NYSE,FHY,2007-05-01,0.167
NYSE,FHY,2007-04-02,0.167
NYSE,FHY,2007-03-01,0.167
NYSE,FHY,2007-02-01,0.167
NYSE,FHY,2007-01-03,0.167
NYSE,FHY,2006-12-01,0.167
NYSE,FHY,2006-11-01,0.167
NYSE,FHY,2006-10-02,0.167
NYSE,FHY,2006-09-01,0.167
NYSE,FHY,2006-08-01,0.167
NYSE,FHY,2006-07-03,0.167
NYSE,FHY,2006-06-01,0.167
NYSE,FUN,2009-11-02,0.25
NYSE,FUN,2009-08-03,0.25
NYSE,FUN,2009-05-01,0.25
NYSE,FUN,2009-02-02,0.48
NYSE,FUN,2008-11-03,0.48
NYSE,FUN,2008-08-01,0.48
NYSE,FUN,2008-05-01,0.48
NYSE,FUN,2008-02-01,0.475
NYSE,FUN,2007-11-01,0.475
NYSE,FUN,2007-08-01,0.475
NYSE,FUN,2007-05-01,0.475
NYSE,FUN,2007-02-01,0.47
NYSE,FUN,2006-11-01,0.47
NYSE,FUN,2006-07-03,0.47
NYSE,FUN,2006-04-03,0.47
NYSE,FUN,2006-01-03,0.46
NYSE,FUN,2005-10-03,0.46
NYSE,FUN,2005-07-01,0.46
NYSE,FUN,2005-04-01,0.46
NYSE,FUN,2005-01-03,0.45
NYSE,FUN,2004-10-01,0.45
NYSE,FUN,2004-07-01,0.45
NYSE,FUN,2004-04-01,0.45
NYSE,FUN,2004-01-02,0.44
NYSE,FUN,2003-10-01,0.44
NYSE,FUN,2003-07-01,0.44
NYSE,FUN,2003-04-01,0.44
NYSE,FUN,2003-01-02,0.42
NYSE,FUN,2002-10-01,0.42
NYSE,FUN,2002-07-01,0.41
NYSE,FUN,2002-04-01,0.41
NYSE,FUN,2002-01-02,0.41
NYSE,FUN,2001-10-01,0.41
NYSE,FUN,2001-07-02,0.39
NYSE,FUN,2001-04-02,0.39
NYSE,FUN,2001-01-02,0.39
NYSE,FUN,2000-10-02,0.39
NYSE,FUN,2000-07-03,0.375
NYSE,FUN,2000-04-03,0.375
NYSE,FUN,2000-01-03,0.363
NYSE,FUN,1999-10-01,0.363
NYSE,FUN,1999-07-01,0.35
NYSE,FUN,1999-04-01,0.35
NYSE,FUN,1999-01-04,0.325
NYSE,FUN,1998-10-01,0.325
NYSE,FUN,1998-06-30,0.32
NYSE,FUN,1998-04-01,0.32
NYSE,FUN,1997-12-29,0.32
NYSE,FUN,1997-10-01,0.32
NYSE,FUN,1997-07-01,0.3125
NYSE,FUN,1997-04-01,0.3125
NYSE,FUN,1997-01-02,0.3125
NYSE,FUN,1996-10-01,0.3125
NYSE,FUN,1996-07-01,0.2875
NYSE,FUN,1996-04-01,0.2875
NYSE,FUN,1996-01-02,0.2875
NYSE,FUN,1995-10-02,0.2875
NYSE,FUN,1995-07-03,0.281
NYSE,FUN,1995-04-03,0.281
NYSE,FUN,1995-01-03,0.281
NYSE,FUN,1994-10-03,0.281
NYSE,FUN,1994-07-01,0.25
NYSE,FUN,1994-04-04,0.25
NYSE,FUN,1994-01-03,0.25
NYSE,FUN,1993-10-01,0.25
NYSE,FUN,1993-07-01,0.231
NYSE,FUN,1993-04-01,0.231
NYSE,FUN,1993-01-04,0.231
NYSE,FUN,1992-10-01,0.231
NYSE,FUN,1992-07-01,0.2
NYSE,FUN,1992-04-01,0.2
NYSE,FUN,1992-01-02,0.2
NYSE,FUN,1991-10-01,0.2
NYSE,FUN,1991-07-01,0.181
NYSE,FUN,1991-04-01,0.181
NYSE,FUN,1991-01-02,0.181
NYSE,FUN,1990-10-01,0.181
NYSE,FUN,1990-07-02,0.156
NYSE,FUN,1990-04-02,0.156
NYSE,FUN,1990-01-02,0.156
NYSE,FUN,1989-10-02,0.156
NYSE,FUN,1989-07-03,0.1385
NYSE,FUN,1989-04-03,0.1385
NYSE,FUN,1989-01-03,0.135
NYSE,FUN,1988-10-03,0.135
NYSE,FUN,1988-07-01,0.135
NYSE,FUN,1988-04-04,0.135
NYSE,FUN,1988-01-04,0.131
NYSE,FST,2006-03-03,16.509001
NYSE,FST,1990-11-13,5.5
NYSE,FTE,2009-08-25,0.848
NYSE,FTE,2009-05-28,1.12
NYSE,FTE,2008-09-08,0.883
NYSE,FTE,2008-05-29,1.891
NYSE,FTE,2007-06-04,1.631
NYSE,FTE,2006-05-05,1.244
NYSE,FTE,2005-05-31,0.606
NYSE,FTE,2004-05-05,0.299
NYSE,FTE,2004-04-15,0.683
NYSE,FTE,2003-04-15,2.756
NYSE,FTE,2003-03-26,0.21
NYSE,FTE,2002-05-30,0.912
NYSE,FTE,2001-06-12,0.86
NYSE,FTE,2000-06-20,0.953
NYSE,FTE,2000-06-15,0.218
NYSE,FTE,1999-06-15,1.033
NYSE,FTE,1998-12-07,0.23
NYSE,FTE,1998-06-15,1.07
NYSE,FAC,2001-06-15,0.125
NYSE,FAC,2000-06-16,0.094
NYSE,FAC,1999-06-17,0.06
NYSE,FAC,1998-06-18,0.031
NYSE,FAC,1990-05-08,0.21
NYSE,FAC,1989-12-12,0.3
NYSE,FAC,1989-11-02,0.4
NYSE,FAC,1989-07-31,0.5
NYSE,FAC,1989-04-21,0.54
NYSE,FAC,1988-12-13,0.6
NYSE,FAC,1988-10-18,0.62
NYSE,FAC,1988-06-14,0.64
NYSE,FAC,1988-03-14,0.64
NYSE,FAC,1987-12-14,0.64
NYSE,FAC,1987-10-09,0.62
NYSE,FAC,1987-07-27,0.61
NYSE,FAC,1987-04-23,0.61
NYSE,FAC,1987-02-02,0.61
NYSE,FAC,1986-10-10,0.66
NYSE,FAC,1986-08-04,0.47
NYSE,FAC,1986-04-17,0.87
NYSE,FAC,1986-01-27,0.68
NYSE,FAC,1985-10-11,0.67
NYSE,FAC,1985-08-05,0.65
NYSE,FAC,1985-04-18,0.21
NYSE,FAV,2010-01-21,0.46
NYSE,FAV,2009-10-21,0.46
NYSE,FAV,2009-07-22,0.46
NYSE,FAV,2009-04-22,0.46
NYSE,FAV,2008-12-29,0.46
NYSE,FAV,2008-10-20,0.46
NYSE,FAV,2008-07-18,0.465
NYSE,FAV,2008-04-18,0.46
NYSE,FAV,2007-12-27,0.83
NYSE,FOE,2009-02-11,0.01
NYSE,FOE,2008-11-12,0.145
NYSE,FOE,2008-08-13,0.145
NYSE,FOE,2008-05-13,0.145
NYSE,FOE,2008-02-13,0.145
NYSE,FOE,2007-11-13,0.145
NYSE,FOE,2007-08-13,0.145
NYSE,FOE,2007-05-11,0.145
NYSE,FOE,2007-02-13,0.145
NYSE,FOE,2006-11-13,0.145
NYSE,FOE,2006-08-11,0.145
NYSE,FOE,2006-05-11,0.145
NYSE,FOE,2006-02-13,0.145
NYSE,FOE,2005-11-10,0.145
NYSE,FOE,2005-08-11,0.145
NYSE,FOE,2005-05-11,0.145
NYSE,FOE,2005-02-11,0.145
NYSE,FOE,2004-11-10,0.145
NYSE,FOE,2004-08-23,0.145
NYSE,FOE,2004-05-12,0.145
NYSE,FOE,2004-02-11,0.145
NYSE,FOE,2003-11-12,0.145
NYSE,FOE,2003-08-13,0.145
NYSE,FOE,2003-05-13,0.145
NYSE,FOE,2003-02-12,0.145
NYSE,FOE,2002-11-13,0.145
NYSE,FOE,2002-08-13,0.145
NYSE,FOE,2002-04-29,0.145
NYSE,FOE,2002-02-13,0.145
NYSE,FOE,2001-11-13,0.145
NYSE,FOE,2001-08-13,0.145
NYSE,FOE,2001-05-11,0.145
NYSE,FOE,2001-02-13,0.145
NYSE,FOE,2000-11-13,0.145
NYSE,FOE,2000-08-11,0.145
NYSE,FOE,2000-05-11,0.145
NYSE,FOE,2000-02-11,0.145
NYSE,FOE,1999-11-10,0.145
NYSE,FOE,1999-08-04,0.135
NYSE,FOE,1999-05-12,0.135
NYSE,FOE,1999-02-10,0.135
NYSE,FOE,1998-11-10,0.135
NYSE,FOE,1998-08-12,0.12
NYSE,FOE,1998-05-13,0.12
NYSE,FOE,1998-02-11,0.12
NYSE,FOE,1997-11-12,0.12
NYSE,FOE,1997-08-13,0.10333
NYSE,FOE,1997-05-13,0.10333
NYSE,FOE,1997-02-12,0.10333
NYSE,FOE,1996-11-13,0.10333
NYSE,FOE,1996-08-13,0.10333
NYSE,FOE,1996-05-13,0.09
NYSE,FOE,1996-02-13,0.09
NYSE,FOE,1995-11-13,0.09
NYSE,FOE,1995-08-11,0.09
NYSE,FOE,1995-05-09,0.09
NYSE,FOE,1995-02-09,0.09
NYSE,FOE,1994-11-08,0.09
NYSE,FOE,1994-08-09,0.09
NYSE,FOE,1994-05-09,0.09
NYSE,FOE,1994-02-09,0.09
NYSE,FOE,1993-11-08,0.09
NYSE,FOE,1993-08-09,0.09
NYSE,FOE,1993-05-10,0.08
NYSE,FOE,1993-02-08,0.08
NYSE,FOE,1992-11-06,0.08
NYSE,FOE,1992-08-10,0.08
NYSE,FOE,1992-05-11,0.07111
NYSE,FOE,1992-02-10,0.07111
NYSE,FOE,1991-11-08,0.07111
NYSE,FOE,1991-08-09,0.07111
NYSE,FOE,1991-05-09,0.07111
NYSE,FOE,1991-02-11,0.07111
NYSE,FOE,1990-11-08,0.07111
NYSE,FOE,1990-08-09,0.07111
NYSE,FOE,1990-05-09,0.07111
NYSE,FOE,1990-02-09,0.07111
NYSE,FOE,1989-11-09,0.07111
NYSE,FOE,1989-08-09,0.04741
NYSE,FOE,1989-05-09,0.06222
NYSE,FOE,1989-02-09,0.06222
NYSE,FOE,1988-11-08,0.05333
NYSE,FOE,1988-08-09,0.05333
NYSE,FOE,1988-05-09,0.05037
NYSE,FOE,1988-02-08,0.05037
NYSE,FNB,2009-11-27,0.12
NYSE,FNB,2009-08-28,0.12
NYSE,FNB,2009-05-28,0.12
NYSE,FNB,2009-02-26,0.12
NYSE,FNB,2008-11-26,0.24
NYSE,FNB,2008-08-27,0.24
NYSE,FNB,2008-05-28,0.24
NYSE,FNB,2008-02-28,0.24
NYSE,FNB,2007-11-28,0.24
NYSE,FNB,2007-08-29,0.24
NYSE,FNB,2007-05-30,0.235
NYSE,FNB,2007-02-28,0.235
NYSE,FNB,2006-11-29,0.235
NYSE,FNB,2006-08-30,0.235
NYSE,FNB,2006-05-15,0.235
NYSE,FNB,2006-03-01,0.235
NYSE,FNB,2005-11-29,0.235
NYSE,FNB,2005-08-30,0.23
NYSE,FNB,2005-05-27,0.23
NYSE,FNB,2005-02-25,0.23
NYSE,FNB,2004-11-29,0.23
NYSE,FNB,2004-08-30,0.23
NYSE,FNB,2004-05-27,0.23
NYSE,FNB,2004-02-26,0.23
NYSE,FNB,2004-01-02,16.65
NYSE,FNB,2003-11-26,0.24
NYSE,FNB,2003-08-27,0.24
NYSE,FNB,2003-05-29,0.24
NYSE,FNB,2003-03-04,0.20952
