exchange,stock_symbol,date,dividends
NYSE,LYG,2008-08-06,0.901
NYSE,LYG,2008-03-05,1.946
NYSE,LYG,2007-08-08,0.912
NYSE,LYG,2007-03-07,1.845
NYSE,LYG,2006-08-09,0.803
NYSE,LYG,2006-03-08,1.635
NYSE,LYG,2005-03-16,1.805
NYSE,LYG,2004-08-11,0.779
NYSE,LYG,2004-03-17,1.738
NYSE,LYG,2003-08-13,0.71
NYSE,LYG,2003-02-26,1.681
NYSE,LYG,2002-08-14,0.664
NYSE,LYG,2002-02-27,1.496
NYSE,LIZ,2008-11-19,0.056
NYSE,LIZ,2008-08-20,0.056
NYSE,LIZ,2008-05-20,0.056
NYSE,LIZ,2008-02-20,0.056
NYSE,LIZ,2007-11-19,0.056
NYSE,LIZ,2007-08-22,0.056
NYSE,LIZ,2007-05-30,0.056
NYSE,LIZ,2007-02-21,0.056
NYSE,LIZ,2006-11-17,0.056
NYSE,LIZ,2006-08-23,0.056
NYSE,LIZ,2006-05-30,0.056
NYSE,LIZ,2006-02-22,0.056
NYSE,LIZ,2005-11-17,0.056
NYSE,LIZ,2005-08-23,0.056
NYSE,LIZ,2005-05-27,0.056
NYSE,LIZ,2005-02-22,0.056
NYSE,LIZ,2004-11-22,0.056
NYSE,LIZ,2004-08-23,0.058
NYSE,LIZ,2004-05-27,0.056
NYSE,LIZ,2004-02-19,0.058
NYSE,LIZ,2003-11-21,0.058
NYSE,LIZ,2003-08-21,0.058
NYSE,LIZ,2003-05-29,0.058
NYSE,LIZ,2003-02-20,0.055
NYSE,LIZ,2002-11-14,0.055
NYSE,LIZ,2002-08-15,0.056
NYSE,LIZ,2002-05-16,0.056
NYSE,LIZ,2002-02-14,0.056
NYSE,LIZ,2001-11-15,0.0565
NYSE,LIZ,2001-08-15,0.0565
NYSE,LIZ,2001-05-16,0.0565
NYSE,LIZ,2001-02-14,0.0565
NYSE,LIZ,2000-11-15,0.0565
NYSE,LIZ,2000-08-16,0.0565
NYSE,LIZ,2000-05-10,0.0565
NYSE,LIZ,2000-02-15,0.0565
NYSE,LIZ,1999-11-09,0.0565
NYSE,LIZ,1999-08-11,0.0565
NYSE,LIZ,1999-04-29,0.056
NYSE,LIZ,1999-02-16,0.056
NYSE,LIZ,1998-11-09,0.056
NYSE,LIZ,1998-08-05,0.056
NYSE,LIZ,1998-04-30,0.056
NYSE,LIZ,1998-02-12,0.056
NYSE,LIZ,1997-11-06,0.056
NYSE,LIZ,1997-08-06,0.056
NYSE,LIZ,1997-05-01,0.056
NYSE,LIZ,1997-02-12,0.056
NYSE,LIZ,1996-11-06,0.056
NYSE,LIZ,1996-08-07,0.056
NYSE,LIZ,1996-05-02,0.056
NYSE,LIZ,1996-02-12,0.056
NYSE,LIZ,1995-11-09,0.056
NYSE,LIZ,1995-08-09,0.056
NYSE,LIZ,1995-05-02,0.056
NYSE,LIZ,1995-02-08,0.056
NYSE,LIZ,1994-11-04,0.056
NYSE,LIZ,1994-08-08,0.056
NYSE,LIZ,1994-05-03,0.056
NYSE,LIZ,1994-02-08,0.056
NYSE,LIZ,1993-11-05,0.056
NYSE,LIZ,1993-08-06,0.056
NYSE,LIZ,1993-05-10,0.056
NYSE,LIZ,1993-02-08,0.05
NYSE,LIZ,1992-10-26,0.05
NYSE,LIZ,1992-08-04,0.05
NYSE,LIZ,1992-05-04,0.05
NYSE,LIZ,1992-02-10,0.0435
NYSE,LIZ,1991-10-22,0.0435
NYSE,LIZ,1991-08-06,0.0435
NYSE,LIZ,1991-05-06,0.0435
NYSE,LIZ,1991-02-08,0.031
NYSE,LIZ,1990-11-01,0.031
NYSE,LIZ,1990-05-07,0.031
NYSE,LIZ,1989-05-10,0.025
NYSE,LIZ,1989-02-08,0.021
NYSE,LIZ,1988-11-07,0.021
NYSE,LIZ,1988-08-08,0.021
NYSE,LIZ,1988-05-04,0.02
NYSE,LIZ,1987-11-06,0.02
NYSE,LIZ,1987-08-18,0.0085
NYSE,LZ,2010-02-08,0.31
NYSE,LZ,2009-11-06,0.31
NYSE,LZ,2009-08-06,0.31
NYSE,LZ,2009-05-06,0.31
NYSE,LZ,2009-02-06,0.31
NYSE,LZ,2008-11-06,0.31
NYSE,LZ,2008-08-06,0.31
NYSE,LZ,2008-05-07,0.31
NYSE,LZ,2008-02-06,0.3
NYSE,LZ,2007-11-07,0.3
NYSE,LZ,2007-08-08,0.3
NYSE,LZ,2007-05-08,0.3
NYSE,LZ,2007-02-07,0.26
NYSE,LZ,2006-11-08,0.26
NYSE,LZ,2006-08-08,0.26
NYSE,LZ,2006-05-08,0.26
NYSE,LZ,2006-02-08,0.26
NYSE,LZ,2005-11-08,0.26
NYSE,LZ,2005-08-09,0.26
NYSE,LZ,2005-05-06,0.26
NYSE,LZ,2005-02-08,0.26
NYSE,LZ,2004-11-08,0.26
NYSE,LZ,2004-08-06,0.26
NYSE,LZ,2004-05-06,0.26
NYSE,LZ,2004-02-06,0.26
NYSE,LZ,2003-11-06,0.26
NYSE,LZ,2003-08-06,0.26
NYSE,LZ,2003-05-07,0.26
NYSE,LZ,2003-02-06,0.26
NYSE,LZ,2002-11-06,0.26
NYSE,LZ,2002-08-07,0.26
NYSE,LZ,2002-05-08,0.26
NYSE,LZ,2002-02-06,0.26
NYSE,LZ,2001-08-08,0.26
NYSE,LZ,2001-05-08,0.26
NYSE,LZ,2001-02-07,0.26
NYSE,LZ,2000-11-08,0.26
NYSE,LZ,2000-08-08,0.26
NYSE,LZ,2000-05-08,0.26
NYSE,LZ,2000-02-08,0.26
NYSE,LZ,1999-11-08,0.26
NYSE,LZ,1999-08-06,0.26
NYSE,LZ,1999-05-06,0.26
NYSE,LZ,1999-02-08,0.26
NYSE,LZ,1998-11-06,0.26
NYSE,LZ,1998-08-06,0.26
NYSE,LZ,1998-05-06,0.26
NYSE,LZ,1998-02-06,0.26
NYSE,LZ,1997-11-06,0.26
NYSE,LZ,1997-08-06,0.25
NYSE,LZ,1997-05-07,0.25
NYSE,LZ,1997-02-06,0.25
NYSE,LZ,1996-11-06,0.25
NYSE,LZ,1996-08-07,0.24
NYSE,LZ,1996-05-08,0.24
NYSE,LZ,1996-02-07,0.24
NYSE,LZ,1995-11-08,0.24
NYSE,LZ,1995-08-08,0.23
NYSE,LZ,1995-05-04,0.23
NYSE,LZ,1995-02-06,0.23
NYSE,LZ,1994-11-04,0.23
NYSE,LZ,1994-08-04,0.22
NYSE,LZ,1994-05-04,0.22
NYSE,LZ,1994-02-04,0.22
NYSE,LZ,1993-11-04,0.21
NYSE,LZ,1993-08-04,0.21
NYSE,LZ,1993-05-04,0.21
NYSE,LZ,1993-02-04,0.21
NYSE,LZ,1992-11-04,0.21
NYSE,LZ,1992-08-04,0.2
NYSE,LZ,1992-05-04,0.2
NYSE,LZ,1992-02-04,0.19
NYSE,LZ,1991-11-04,0.2
NYSE,LZ,1991-08-05,0.19
NYSE,LZ,1991-05-06,0.19
NYSE,LZ,1991-02-04,0.19
NYSE,LZ,1990-11-05,0.19
NYSE,LZ,1990-08-06,0.18
NYSE,LZ,1990-05-04,0.18
NYSE,LZ,1990-02-05,0.18
NYSE,LZ,1989-11-06,0.18
NYSE,LZ,1989-08-04,0.17
NYSE,LZ,1989-05-04,0.17
NYSE,LZ,1989-02-06,0.17
NYSE,LZ,1988-11-04,0.17
NYSE,LZ,1988-08-04,0.16
NYSE,LZ,1988-05-04,0.16
NYSE,LZ,1988-02-04,0.16
NYSE,LAB,2003-07-29,0.08
NYSE,LAB,2003-04-28,0.08
NYSE,LAB,2003-01-29,0.08
NYSE,LEO,2010-01-13,0.049
NYSE,LEO,2009-12-01,0.049
NYSE,LEO,2009-11-12,0.042
NYSE,LEO,2009-10-14,0.042
NYSE,LEO,2009-09-10,0.042
NYSE,LEO,2009-08-11,0.042
NYSE,LEO,2009-07-13,0.042
NYSE,LEO,2009-06-09,0.042
NYSE,LEO,2009-05-11,0.042
NYSE,LEO,2009-04-13,0.042
NYSE,LEO,2009-03-10,0.042
NYSE,LEO,2009-02-11,0.042
NYSE,LEO,2009-01-13,0.042
NYSE,LEO,2008-12-10,0.042
NYSE,LEO,2008-11-14,0.042
NYSE,LEO,2008-10-09,0.042
NYSE,LEO,2008-09-10,0.042
NYSE,LEO,2008-08-11,0.042
NYSE,LEO,2008-07-10,0.042
NYSE,LEO,2008-06-10,0.042
NYSE,LEO,2008-05-09,0.042
NYSE,LEO,2008-04-09,0.042
NYSE,LEO,2008-03-11,0.042
NYSE,LEO,2008-02-05,0.042
NYSE,LEO,2008-01-10,0.042
NYSE,LEO,2007-12-11,0.042
NYSE,LEO,2007-11-08,0.042
NYSE,LEO,2007-10-09,0.042
NYSE,LEO,2007-09-12,0.042
NYSE,LEO,2007-08-09,0.042
NYSE,LEO,2007-07-11,0.042
NYSE,LEO,2007-06-11,0.042
NYSE,LEO,2007-05-11,0.042
NYSE,LEO,2007-04-12,0.042
NYSE,LEO,2007-03-13,0.042
NYSE,LEO,2007-02-09,0.042
NYSE,LEO,2007-01-11,0.042
NYSE,LEO,2006-12-12,0.042
NYSE,LEO,2006-11-13,0.042
NYSE,LEO,2006-10-12,0.042
NYSE,LEO,2006-09-13,0.042
NYSE,LEO,2006-08-11,0.042
NYSE,LEO,2006-07-12,0.042
NYSE,LEO,2006-06-09,0.042
NYSE,LEO,2006-05-10,0.042
NYSE,LEO,2006-04-10,0.042
NYSE,LEO,2006-03-10,0.042
