exchange,stock_symbol,date,dividends
NYSE,NAC,2010-01-13,0.072
NYSE,NAC,2009-12-11,0.072
NYSE,NAC,2009-11-10,0.068
NYSE,NAC,2009-10-13,0.068
NYSE,NAC,2009-09-11,0.068
NYSE,NAC,2009-08-12,0.067
NYSE,NAC,2009-07-13,0.067
NYSE,NAC,2009-06-11,0.067
NYSE,NAC,2009-05-13,0.067
NYSE,NAC,2009-04-13,0.063
NYSE,NAC,2009-03-11,0.063
NYSE,NAC,2009-02-11,0.063
NYSE,NAC,2009-01-13,0.063
NYSE,NAC,2008-12-11,0.326
NYSE,NAC,2008-11-12,0.063
NYSE,NAC,2008-10-10,0.063
NYSE,NAC,2008-09-11,0.063
NYSE,NAC,2008-08-13,0.062
NYSE,NAC,2008-07-11,0.062
NYSE,NAC,2008-06-11,0.062
NYSE,NAC,2008-05-13,0.062
NYSE,NAC,2008-04-11,0.062
NYSE,NAC,2008-03-12,0.062
NYSE,NAC,2008-02-13,0.062
NYSE,NAC,2008-01-11,0.062
NYSE,NAC,2007-12-12,0.097
NYSE,NAC,2007-11-13,0.062
NYSE,NAC,2007-10-11,0.062
NYSE,NAC,2007-09-12,0.062
NYSE,NAC,2007-08-13,0.065
NYSE,NAC,2007-07-11,0.065
NYSE,NAC,2007-06-13,0.065
NYSE,NAC,2007-05-11,0.065
NYSE,NAC,2007-04-11,0.065
NYSE,NAC,2007-03-13,0.065
NYSE,NAC,2007-02-13,0.068
NYSE,NAC,2007-01-10,0.068
NYSE,NAC,2006-12-13,0.121
NYSE,NAC,2006-11-13,0.068
NYSE,NAC,2006-10-11,0.068
NYSE,NAC,2006-09-13,0.068
NYSE,NAC,2006-08-11,0.071
NYSE,NAC,2006-07-12,0.071
NYSE,NAC,2006-06-13,0.071
NYSE,NAC,2006-05-11,0.075
NYSE,NAC,2006-04-11,0.075
NYSE,NAC,2006-03-13,0.075
NYSE,NAC,2006-02-13,0.079
NYSE,NAC,2006-01-11,0.079
NYSE,NAC,2005-12-13,0.112
NYSE,NAC,2005-11-10,0.079
NYSE,NAC,2005-10-12,0.079
NYSE,NAC,2005-09-13,0.079
NYSE,NAC,2005-08-11,0.082
NYSE,NAC,2005-07-13,0.082
NYSE,NAC,2005-06-13,0.082
NYSE,NAC,2005-05-11,0.082
NYSE,NAC,2005-04-13,0.082
NYSE,NAC,2005-03-11,0.082
NYSE,NAC,2005-02-11,0.082
NYSE,NAC,2005-01-12,0.082
NYSE,NAC,2004-12-13,0.128
NYSE,NAC,2004-11-10,0.082
NYSE,NAC,2004-10-13,0.082
NYSE,NAC,2004-09-13,0.082
NYSE,NAC,2004-08-11,0.082
NYSE,NAC,2004-07-13,0.082
NYSE,NAC,2004-06-14,0.082
NYSE,NAC,2004-05-12,0.082
NYSE,NAC,2004-04-13,0.082
NYSE,NAC,2004-03-11,0.082
NYSE,NAC,2004-02-11,0.082
NYSE,NAC,2004-01-13,0.082
NYSE,NAC,2003-12-11,0.082
NYSE,NAC,2003-11-12,0.081
NYSE,NAC,2003-10-10,0.081
NYSE,NAC,2003-09-11,0.081
NYSE,NAC,2003-08-13,0.08
NYSE,NAC,2003-07-11,0.08
NYSE,NAC,2003-06-11,0.08
NYSE,NAC,2003-05-13,0.08
NYSE,NAC,2003-04-11,0.08
NYSE,NAC,2003-03-12,0.08
NYSE,NAC,2003-02-12,0.077
NYSE,NAC,2003-01-13,0.077
NYSE,NAC,2002-12-11,0.077
NYSE,NAC,2002-11-13,0.075
NYSE,NAC,2002-10-10,0.075
NYSE,NAC,2002-09-11,0.075
NYSE,NAC,2002-08-13,0.073
NYSE,NAC,2002-07-11,0.073
NYSE,NAC,2002-06-12,0.073
NYSE,NAC,2002-05-13,0.073
NYSE,NAC,2002-04-11,0.073
NYSE,NAC,2002-03-13,0.073
NYSE,NAC,2002-02-13,0.071
NYSE,NAC,2002-01-11,0.071
NYSE,NAC,2001-12-12,0.071
NYSE,NAC,2001-11-13,0.071
NYSE,NAC,2001-10-11,0.071
NYSE,NAC,2001-08-13,0.069
NYSE,NAC,2001-07-11,0.069
NYSE,NAC,2001-06-13,0.069
NYSE,NAC,2001-05-11,0.067
NYSE,NAC,2001-04-10,0.067
NYSE,NAC,2001-03-13,0.067
NYSE,NAC,2001-02-13,0.067
NYSE,NAC,2001-01-10,0.067
NYSE,NAC,2000-12-13,0.067
NYSE,NAC,2000-11-13,0.067
NYSE,NAC,2000-10-11,0.067
NYSE,NAC,2000-09-13,0.067
NYSE,NAC,2000-08-11,0.067
NYSE,NAC,2000-07-12,0.067
NYSE,NAC,2000-06-13,0.067
NYSE,NAC,2000-05-11,0.07
NYSE,NAC,2000-04-12,0.07
NYSE,NAC,2000-03-13,0.07
NYSE,NAC,2000-02-11,0.072
NYSE,NAC,2000-01-12,0.072
NYSE,NAC,1999-12-13,0.072
NYSE,NAC,1999-11-10,0.072
NYSE,NAC,1999-10-13,0.072
NYSE,NAC,1999-09-13,0.072
NYSE,NAC,1999-08-11,0.072
NYSE,NAC,1999-07-22,0.072
NYSE,NCV,2010-01-12,0.09
NYSE,NCV,2009-12-09,0.09
