exchange,stock_symbol,date,dividends
NYSE,PYN,2010-01-12,0.053
NYSE,PYN,2009-12-09,0.053
NYSE,PYN,2009-11-09,0.053
NYSE,PYN,2009-10-08,0.053
NYSE,PYN,2009-09-09,0.053
NYSE,PYN,2009-08-11,0.053
NYSE,PYN,2009-07-09,0.053
NYSE,PYN,2009-06-09,0.053
NYSE,PYN,2009-05-07,0.053
NYSE,PYN,2009-04-08,0.053
NYSE,PYN,2009-03-10,0.053
NYSE,PYN,2009-02-10,0.053
NYSE,PYN,2009-01-15,0.105
NYSE,PYN,2008-11-10,0.053
NYSE,PYN,2008-10-08,0.053
NYSE,PYN,2008-09-10,0.053
NYSE,PYN,2008-08-07,0.053
NYSE,PYN,2008-07-09,0.053
NYSE,PYN,2008-06-10,0.053
NYSE,PYN,2008-05-08,0.053
NYSE,PYN,2008-04-09,0.053
NYSE,PYN,2008-03-11,0.053
NYSE,PYN,2008-02-07,0.053
NYSE,PYN,2008-01-10,0.053
NYSE,PYN,2007-12-11,0.053
NYSE,PYN,2007-11-07,0.053
NYSE,PYN,2007-10-09,0.053
NYSE,PYN,2007-09-12,0.053
NYSE,PYN,2007-08-09,0.053
NYSE,PYN,2007-07-10,0.067
NYSE,PYN,2007-06-07,0.067
NYSE,PYN,2007-05-09,0.067
NYSE,PYN,2007-04-10,0.067
NYSE,PYN,2007-03-08,0.067
NYSE,PYN,2007-02-08,0.067
NYSE,PYN,2007-01-11,0.067
NYSE,PYN,2006-12-07,0.07
NYSE,PYN,2006-11-09,0.07
NYSE,PYN,2006-10-10,0.07
NYSE,PYN,2006-09-07,0.07
NYSE,PYN,2006-08-09,0.07
NYSE,PYN,2006-07-11,0.07
NYSE,PYN,2006-06-08,0.07
NYSE,PYN,2006-05-09,0.07
NYSE,PYN,2006-04-11,0.07
NYSE,PYN,2006-03-08,0.07
NYSE,PYN,2006-02-08,0.07
NYSE,PYN,2006-01-11,0.08
NYSE,PYN,2005-12-14,0.08
NYSE,PYN,2005-11-16,0.08
NYSE,PYN,2005-10-19,0.08
NYSE,PYN,2005-08-10,0.08
NYSE,PYN,2005-07-13,0.08
NYSE,PYN,2005-06-08,0.08
NYSE,PYN,2005-05-11,0.08
NYSE,PYN,2005-04-13,0.08
NYSE,PYN,2005-03-09,0.08
NYSE,PYN,2005-02-09,0.08
NYSE,PYN,2005-01-12,0.08
NYSE,PYN,2004-12-15,0.08
NYSE,PYN,2004-11-09,0.08
NYSE,PYN,2004-10-13,0.08
NYSE,PYN,2004-09-08,0.08
NYSE,PYN,2004-08-11,0.08
NYSE,PYN,2004-07-14,0.08
NYSE,PYN,2004-06-09,0.08
NYSE,PYN,2004-05-12,0.08
NYSE,PYN,2004-04-14,0.08
NYSE,PYN,2004-03-10,0.08
NYSE,PYN,2004-02-11,0.08
NYSE,PYN,2004-01-14,0.08
NYSE,PYN,2003-12-10,0.08
NYSE,PYN,2003-11-12,0.08
NYSE,PYN,2003-10-08,0.08
NYSE,PYN,2003-09-10,0.12
NYSE,PYN,2003-07-23,0.08
NYSE,PYN,2003-06-25,0.08
NYSE,PYN,2003-05-22,0.08
NYSE,PYN,2003-04-23,0.08
NYSE,PYN,2003-03-26,0.08
