exchange,stock_symbol,date,dividends
NYSE,TCB,2010-01-27,0.05
NYSE,TCB,2009-10-28,0.05
NYSE,TCB,2009-07-29,0.05
NYSE,TCB,2009-04-29,0.05
NYSE,TCB,2009-01-28,0.25
NYSE,TCB,2008-10-29,0.25
NYSE,TCB,2008-07-30,0.25
NYSE,TCB,2008-04-30,0.25
NYSE,TCB,2008-01-30,0.25
NYSE,TCB,2007-10-24,0.243
NYSE,TCB,2007-07-25,0.243
NYSE,TCB,2007-04-25,0.243
NYSE,TCB,2007-01-31,0.243
NYSE,TCB,2006-10-25,0.23
NYSE,TCB,2006-07-26,0.23
NYSE,TCB,2006-04-26,0.23
NYSE,TCB,2006-01-25,0.23
NYSE,TCB,2005-10-26,0.213
NYSE,TCB,2005-07-27,0.213
NYSE,TCB,2005-05-04,0.213
NYSE,TCB,2005-02-02,0.213
NYSE,TCB,2004-11-03,0.188
NYSE,TCB,2004-08-04,0.1875
NYSE,TCB,2004-05-05,0.1875
NYSE,TCB,2004-02-04,0.1875
NYSE,TCB,2003-11-05,0.1625
NYSE,TCB,2003-07-30,0.1625
NYSE,TCB,2003-04-30,0.1625
NYSE,TCB,2003-02-05,0.1625
NYSE,TCB,2002-10-30,0.144
NYSE,TCB,2002-07-31,0.144
NYSE,TCB,2002-05-08,0.144
NYSE,TCB,2002-01-30,0.144
NYSE,TCB,2001-10-31,0.125
NYSE,TCB,2001-08-01,0.125
NYSE,TCB,2001-05-09,0.125
NYSE,TCB,2001-01-31,0.125
NYSE,TCB,2000-11-01,0.1065
NYSE,TCB,2000-08-02,0.1065
NYSE,TCB,2000-05-05,0.1065
NYSE,TCB,2000-02-02,0.094
NYSE,TCB,1999-11-03,0.094
NYSE,TCB,1999-08-04,0.094
NYSE,TCB,1999-05-05,0.094
NYSE,TCB,1999-02-03,0.0825
NYSE,TCB,1998-11-04,0.0825
NYSE,TCB,1998-08-05,0.0825
NYSE,TCB,1998-05-06,0.0825
NYSE,TCB,1998-02-04,0.0625
NYSE,TCB,1997-11-05,0.0625
NYSE,TCB,1997-08-06,0.0625
NYSE,TCB,1997-05-07,0.0625
NYSE,TCB,1997-02-05,0.047
NYSE,TCB,1996-11-06,0.047
NYSE,TCB,1996-08-07,0.047
NYSE,TCB,1996-05-08,0.047
NYSE,TCB,1996-02-07,0.03875
NYSE,TCB,1995-11-08,0.039
NYSE,TCB,1995-08-09,0.039
NYSE,TCB,1995-05-08,0.039
NYSE,TCB,1995-02-06,0.03125
NYSE,TCB,1994-11-04,0.03125
NYSE,TCB,1994-08-08,0.03125
NYSE,TCB,1994-05-09,0.03125
NYSE,TCB,1994-02-07,0.03125
NYSE,TCB,1993-11-05,0.02337
NYSE,TCB,1993-08-09,0.02337
NYSE,TCB,1993-05-03,0.02337
NYSE,TCB,1993-02-08,0.01562
NYSE,TCB,1992-11-06,0.01562
NYSE,TCB,1992-08-10,0.01562
NYSE,TCB,1992-05-04,0.01562
NYSE,TCB,1992-02-10,0.0125
NYSE,TCB,1991-11-04,0.0125
NYSE,TCB,1991-08-05,0.0125
NYSE,TCB,1991-05-06,0.0125
NYSE,TCB,1991-02-04,0.0125
NYSE,TCB,1990-11-05,0.0125
NYSE,TCB,1990-08-06,0.0125
NYSE,TCB,1990-05-07,0.0125
NYSE,TCB,1990-02-05,0.0125
NYSE,TCB,1989-11-06,0.0125
NYSE,TCB,1989-08-07,0.0125
NYSE,TDF,2009-09-14,0.923
NYSE,TDF,2008-09-10,1.689
NYSE,TDF,2007-03-21,1.217
NYSE,TDF,2006-12-27,1.803
NYSE,TDF,2006-03-22,0.318
NYSE,TDF,2005-12-28,0.612
NYSE,TDF,2005-03-22,0.155
NYSE,TDF,2004-12-29,0.503
NYSE,TDF,2004-03-22,0.057
NYSE,TDF,2003-12-29,0.0
NYSE,TDF,2003-03-20,0.015
NYSE,TDF,2002-12-27,0.171
NYSE,TDF,2001-12-11,0.206
NYSE,TDF,2001-06-12,0.265
NYSE,TDF,2001-03-13,0.271
NYSE,TDF,2000-12-12,0.256
NYSE,TDF,2000-09-12,0.316
NYSE,TDF,2000-06-13,0.285
NYSE,TDF,2000-03-14,0.314
NYSE,TDF,1999-12-16,0.297
NYSE,TDF,1999-09-14,0.318
NYSE,TDF,1999-06-15,0.301
NYSE,TDF,1999-03-16,0.395
NYSE,TDF,1998-12-17,0.283
NYSE,TDF,1998-09-01,0.165
NYSE,TDF,1998-05-29,0.04
NYSE,TDF,1997-12-29,0.985
NYSE,TDF,1997-05-30,0.47
NYSE,TDF,1996-12-27,0.485
NYSE,TDF,1996-05-30,0.15
NYSE,TDF,1995-12-27,0.395
NYSE,TDF,1995-06-01,0.13
NYSE,TRK,2009-11-18,0.09
NYSE,TRK,2009-08-19,0.09
NYSE,TRK,2009-05-27,0.09
NYSE,TRK,2009-02-26,0.09
NYSE,TRK,2008-10-15,0.34
NYSE,TRK,2007-10-15,0.335
NYSE,TRK,2006-10-12,0.33
NYSE,TRK,2005-11-04,0.32
NYSE,TRK,2004-10-28,0.31
NYSE,TRK,2003-10-29,0.305
NYSE,TRK,2002-10-29,0.3
NYSE,TMS,2007-06-28,0.442
NYSE,TMS,2006-07-06,0.367
NYSE,TMS,2005-05-24,0.362
NYSE,TMS,2004-05-24,0.309
NYSE,TMS,2003-05-29,0.263
NYSE,TMS,2000-10-13,0.115
NYSE,THG,2009-11-23,0.75
NYSE,THG,2008-11-24,0.45
NYSE,THG,2007-11-26,0.4
NYSE,THG,2006-11-24,0.3
NYSE,THG,2005-11-23,0.25
NYSE,THG,2001-11-01,0.25
NYSE,THG,2000-10-30,0.25
NYSE,THG,1999-10-28,0.25
NYSE,THG,1998-10-29,0.05
NYSE,THG,1998-07-30,0.05
NYSE,THG,1998-04-29,0.05
NYSE,THG,1998-01-29,0.05
NYSE,THG,1997-10-30,0.05
NYSE,THG,1997-07-30,0.05
NYSE,THG,1997-04-29,0.05
NYSE,THG,1997-01-29,0.05
NYSE,THG,1996-10-30,0.05
NYSE,THG,1996-07-30,0.05
NYSE,THG,1996-04-29,0.05
NYSE,THG,1996-01-30,0.05
NYSE,TKC,2009-05-14,0.793
NYSE,TKC,2008-05-19,0.573
NYSE,TKC,2007-04-11,0.454
NYSE,TKC,2006-05-24,0.42998
NYSE,TKC,2005-05-12,0.20574
