exchange,stock_symbol,date,dividends
NYSE,VCO,2009-12-21,0.101
NYSE,VCO,2009-09-22,0.091
NYSE,VCO,2009-05-04,0.401
NYSE,VCO,2009-03-23,0.082
NYSE,VCO,2008-12-19,0.078
NYSE,VCO,2008-09-22,0.095
NYSE,VCO,2008-05-14,0.496
NYSE,VCO,2008-03-20,0.115
NYSE,VCO,2007-12-19,0.101
NYSE,VCO,2007-09-19,0.096
NYSE,VCO,2007-05-09,0.057
NYSE,VCO,2007-03-21,0.093
NYSE,VCO,2006-12-20,0.095
NYSE,VCO,2006-09-20,0.093
NYSE,VCO,2006-05-17,0.121
NYSE,VCO,2006-03-22,0.094
NYSE,VCO,2005-12-21,0.097
NYSE,VCO,2005-09-21,0.0928
NYSE,VCO,2005-05-16,0.2304
NYSE,VCO,2005-03-21,0.0684
NYSE,VCO,2004-12-27,0.066
NYSE,VCO,2004-09-22,0.0652
NYSE,VCO,2004-05-25,0.1644
NYSE,VCO,2004-03-23,0.0532
NYSE,VCO,2003-12-19,0.0572
NYSE,VCO,2003-09-22,0.05
NYSE,VCO,2003-05-20,0.1316
NYSE,VCO,2003-03-21,0.0396
NYSE,VCO,2002-12-19,0.0428
NYSE,VCO,2002-09-20,0.0432
NYSE,VCO,2002-05-20,0.096
NYSE,VCO,2002-03-20,0.0424
NYSE,VCO,2001-12-19,0.042
NYSE,VCO,2001-09-19,0.0472
NYSE,VCO,2001-05-16,0.1108
NYSE,VCO,2001-03-21,0.0436
NYSE,VCO,2000-12-20,0.0452
NYSE,VCO,2000-09-20,0.0456
NYSE,VCO,2000-05-17,0.1076
NYSE,VCO,2000-03-22,0.0472
NYSE,VCO,1999-12-21,0.044
NYSE,VCO,1999-09-22,0.0456
NYSE,VCO,1999-05-18,0.0836
NYSE,VCO,1999-03-22,0.0488
NYSE,VCO,1998-12-21,0.0508
NYSE,VCO,1998-09-22,0.05
NYSE,VCO,1998-05-20,0.0524
NYSE,VCO,1998-03-20,0.0488
NYSE,VCO,1997-12-19,0.0504
NYSE,VCO,1997-09-22,0.0532
