exchange,stock_symbol,date,dividends
NYSE,WSF,2009-11-12,0.438
NYSE,WSF,2009-08-13,0.438
NYSE,WSF,2009-05-13,0.438
NYSE,WSF,2009-02-11,0.438
NYSE,WSF,2008-11-12,0.438
NYSE,WSF,2008-08-14,0.438
NYSE,WSF,2008-05-14,0.438
NYSE,WSF,2008-02-13,0.438
NYSE,WSF,2007-11-14,0.438
NYSE,WSF,2007-08-16,0.438
NYSE,WSF,2007-05-15,0.438
NYSE,WSF,2007-02-12,0.438
NYSE,WSF,2006-11-14,0.438
NYSE,WSF,2006-08-15,0.438
NYSE,WSF,2006-05-15,0.438
NYSE,WSF,2006-02-10,0.438
NYSE,WSF,2005-11-14,0.438
NYSE,WSF,2005-08-15,0.438
NYSE,WSF,2005-05-13,0.438
NYSE,WSF,2005-02-10,0.438
NYSE,WSF,2004-11-12,0.438
NYSE,WSF,2004-08-13,0.438
NYSE,WSF,2004-05-13,0.438
NYSE,WSF,2004-02-11,0.438
NYSE,WSF,2003-11-12,0.438
NYSE,WSF,2003-08-13,0.438
NYSE,WSF,2003-05-14,0.438
NYSE,WSF,2003-02-12,0.438
NYSE,WSF,2002-11-13,0.438
NYSE,WSF,2002-08-14,0.438
NYSE,WBK,2009-11-09,2.726
NYSE,WBK,2009-05-19,2.089
NYSE,WBK,2008-11-06,2.471
NYSE,WBK,2008-05-20,3.271
NYSE,WBK,2007-11-08,3.119
NYSE,WBK,2007-05-18,2.596
NYSE,WBK,2006-11-17,2.323
NYSE,WBK,2006-06-02,2.156
NYSE,WBK,2005-11-18,1.887
NYSE,WBK,2005-06-02,1.911
NYSE,WBK,2004-11-19,1.65
NYSE,WBK,2004-06-07,1.512
NYSE,WBK,2003-11-21,1.4
NYSE,WBK,2003-06-09,1.216
NYSE,WBK,2002-11-22,0.99
NYSE,WBK,2002-06-10,0.901
NYSE,WBK,2001-11-23,0.8
NYSE,WBK,2001-06-11,0.78
NYSE,WBK,2000-12-01,0.728
NYSE,WBK,2000-06-12,0.754
NYSE,WBK,1999-12-03,0.756
NYSE,WBK,1999-10-28,0.358
NYSE,WBK,1999-06-07,0.771
NYSE,WBK,1998-12-04,0.682
NYSE,WBK,1998-06-08,0.651
NYSE,WBK,1997-12-05,0.69
NYSE,WBK,1997-06-09,0.731
NYSE,WBK,1996-12-31,0.663
NYSE,WBK,1996-06-10,0.632
NYSE,WBK,1996-01-04,0.548
NYSE,WBK,1995-06-12,0.475
NYSE,WBK,1994-12-21,0.142
NYSE,WBK,1994-06-09,0.118
NYSE,WBK,1993-12-23,0.1
NYSE,WBK,1993-06-10,0.207
NYSE,WBK,1992-12-23,0.201
NYSE,WBK,1992-06-11,0.438
NYSE,WBK,1992-01-02,0.262
NYSE,WBK,1991-06-06,0.562
NYSE,WBK,1990-12-26,1.031
NYSE,WBK,1990-06-07,0.95
NYSE,WBK,1989-12-27,1.072
NYSE,WBS,2010-02-04,0.01
NYSE,WBS,2009-10-29,0.01
NYSE,WBS,2009-07-30,0.01
NYSE,WBS,2009-04-30,0.01
NYSE,WBS,2009-02-03,0.01
NYSE,WBS,2008-10-30,0.3
NYSE,WBS,2008-07-31,0.3
NYSE,WBS,2008-05-01,0.3
NYSE,WBS,2008-02-11,0.3
NYSE,WBS,2007-11-01,0.3
NYSE,WBS,2007-08-02,0.3
NYSE,WBS,2007-04-30,0.3
NYSE,WBS,2007-02-08,0.27
NYSE,WBS,2006-11-02,0.27
NYSE,WBS,2006-08-03,0.27
NYSE,WBS,2006-04-27,0.27
NYSE,WBS,2006-02-02,0.25
NYSE,WBS,2005-10-27,0.25
NYSE,WBS,2005-08-04,0.25
NYSE,WBS,2005-04-28,0.25
NYSE,WBS,2005-02-10,0.23
NYSE,WBS,2004-10-28,0.23
NYSE,WBS,2004-07-29,0.23
NYSE,WBS,2004-04-29,0.23
NYSE,WBS,2004-02-05,0.21
NYSE,WBS,2003-10-30,0.21
NYSE,WBS,2003-07-31,0.21
NYSE,WBS,2003-05-01,0.21
NYSE,WBS,2003-02-06,0.19
NYSE,WBS,2002-10-31,0.19
NYSE,WBS,2002-08-01,0.19
NYSE,WBS,2002-05-02,0.19
NYSE,WBS,2002-02-01,0.17
NYSE,WBS,2001-11-01,0.17
NYSE,WBS,2001-08-02,0.17
NYSE,WBS,2001-05-03,0.17
NYSE,WBS,2001-02-01,0.16
NYSE,WBS,2000-11-02,0.16
NYSE,WBS,2000-08-10,0.16
NYSE,WBS,2000-04-28,0.16
NYSE,WBS,2000-01-28,0.14
NYSE,WBS,1999-10-28,0.12
NYSE,WBS,1999-07-29,0.12
NYSE,WBS,1999-05-04,0.12
NYSE,WBS,1999-02-04,0.11
NYSE,WBS,1998-10-29,0.11
NYSE,WBS,1998-07-30,0.11
NYSE,WBS,1998-04-30,0.11
NYSE,WBS,1998-02-05,0.1
NYSE,WBS,1997-10-29,0.1
NYSE,WBS,1997-07-03,0.1
NYSE,WBS,1997-04-30,0.1
NYSE,WBS,1996-10-30,0.09
NYSE,WBS,1996-07-31,0.09
NYSE,WBS,1996-05-01,0.08
NYSE,WBS,1996-01-31,0.08
NYSE,WBS,1995-10-26,0.08
NYSE,WBS,1995-08-02,0.08
NYSE,WBS,1995-05-01,0.08
NYSE,WBS,1995-02-02,0.065
NYSE,WBS,1994-10-31,0.065
NYSE,WBS,1994-08-01,0.065
NYSE,WBS,1994-05-02,0.065
NYSE,WBS,1994-01-31,0.0585
NYSE,WBS,1993-08-02,0.0585
NYSE,WBS,1993-05-28,0.0585
NYSE,WBS,1993-05-03,0.065
NYSE,WBS,1993-02-01,0.065
NYSE,WBS,1992-04-30,0.065
NYSE,WTS,2009-11-19,0.11
NYSE,WTS,2009-08-20,0.11
NYSE,WTS,2009-05-20,0.11
NYSE,WTS,2009-02-19,0.11
NYSE,WTS,2008-11-20,0.11
NYSE,WTS,2008-08-21,0.11
NYSE,WTS,2008-05-21,0.11
NYSE,WTS,2008-02-21,0.11
NYSE,WTS,2007-11-21,0.1
NYSE,WTS,2007-08-23,0.1
NYSE,WTS,2007-05-23,0.1
NYSE,WTS,2007-02-22,0.1
NYSE,WTS,2006-11-22,0.09
NYSE,WTS,2006-08-24,0.09
NYSE,WTS,2006-05-24,0.09
NYSE,WTS,2006-02-23,0.09
NYSE,WTS,2005-11-23,0.08
NYSE,WTS,2005-08-25,0.08
NYSE,WTS,2005-05-25,0.08
NYSE,WTS,2005-02-24,0.08
NYSE,WTS,2004-11-24,0.07
NYSE,WTS,2004-08-26,0.07
NYSE,WTS,2004-05-26,0.07
NYSE,WTS,2004-02-26,0.07
NYSE,WTS,2003-11-26,0.07
NYSE,WTS,2003-08-27,0.06
NYSE,WTS,2003-05-29,0.06
NYSE,WTS,2003-02-27,0.06
NYSE,WTS,2002-11-27,0.06
NYSE,WTS,2002-08-28,0.06
NYSE,WTS,2002-05-30,0.06
NYSE,WTS,2002-02-27,0.06
NYSE,WTS,2001-08-29,0.06
NYSE,WTS,2001-05-31,0.06
NYSE,WTS,2001-03-01,0.06
NYSE,WTS,2000-11-30,0.06
NYSE,WTS,2000-08-31,0.06
NYSE,WTS,2000-05-24,0.06
NYSE,WTS,2000-03-01,0.088
NYSE,WTS,1999-11-23,0.088
NYSE,WTS,1999-10-19,5.313
NYSE,WTS,1999-09-01,0.088
NYSE,WTS,1999-05-26,0.088
NYSE,WTS,1999-03-03,0.088
NYSE,WTS,1998-11-24,0.088
NYSE,WTS,1998-08-31,0.088
NYSE,WTS,1998-05-27,0.088
NYSE,WTS,1998-02-25,0.088
NYSE,WTS,1997-11-25,0.078
NYSE,WTS,1997-08-28,0.078
NYSE,WTS,1997-05-28,0.078
NYSE,WTS,1997-02-26,0.078
NYSE,WTS,1996-11-26,0.07
NYSE,WTS,1996-08-28,0.07
NYSE,WTS,1996-05-29,0.07
NYSE,WTS,1996-02-28,0.07
NYSE,WTS,1995-11-29,0.062
NYSE,WTS,1995-08-30,0.062
NYSE,WTS,1995-05-25,0.062
NYSE,WTS,1995-02-23,0.062
NYSE,WTS,1994-11-28,0.055
NYSE,WTS,1994-08-29,0.055
NYSE,WTS,1994-05-25,0.055
NYSE,WTS,1994-02-23,0.055
NYSE,WTS,1993-11-24,0.045
NYSE,WTS,1993-08-30,0.045
NYSE,WTS,1993-02-23,0.045
NYSE,WTS,1993-02-17,0.045
NYSE,WTS,1992-11-24,0.035
NYSE,WTS,1992-08-26,0.035
NYSE,WTS,1992-05-22,0.035
NYSE,WTS,1992-02-24,0.035
NYSE,WTS,1991-11-22,0.03
NYSE,WTS,1991-08-27,0.03
NYSE,WTS,1991-05-24,0.03
NYSE,WTS,1991-02-25,0.03
NYSE,WTS,1990-11-26,0.025
NYSE,WTS,1990-08-27,0.025
NYSE,WTS,1990-05-01,0.025
NYSE,WPP,2009-01-29,0.085
NYSE,WPP,2008-10-30,0.085
NYSE,WPP,2008-07-30,0.085
NYSE,WPP,2008-04-29,0.085
NYSE,WPP,2008-01-30,0.085
NYSE,WPP,2007-10-30,0.085
NYSE,WPP,2007-07-30,0.085
NYSE,WPP,2007-04-27,0.085
NYSE,WPP,2007-01-30,0.085
NYSE,WPP,2006-10-30,0.085
NYSE,WPP,2006-07-28,0.085
NYSE,WPP,2006-04-27,0.085
NYSE,WPP,2006-01-30,0.085
NYSE,WPP,2005-10-28,0.085
NYSE,WPP,2005-07-28,0.085
NYSE,WPP,2005-04-28,0.085
NYSE,WPP,2005-01-28,0.085
NYSE,WPP,2005-01-20,0.085
NYSE,WPP,2004-10-28,0.085
NYSE,WPP,2004-07-29,0.085
NYSE,WPP,2004-04-29,0.085
NYSE,WPP,2004-01-29,0.085
NYSE,WPP,2003-10-30,0.085
NYSE,WPP,2003-07-30,0.085
NYSE,WPP,2003-04-29,0.085
NYSE,WPP,2003-01-30,0.085
NYSE,WPP,2002-10-30,0.085
NYSE,WPP,2002-07-30,0.085
NYSE,WPP,2002-04-29,0.085
NYSE,WPP,2002-01-30,0.085
NYSE,WPP,2001-07-30,0.085
NYSE,WPP,2001-04-27,0.085
NYSE,WPP,2001-01-30,0.085
NYSE,WPP,2000-10-30,0.085
NYSE,WPP,2000-07-31,0.085
NYSE,WPP,2000-05-01,0.085
NYSE,WPP,2000-01-27,0.08
NYSE,WPP,1999-10-28,0.08
NYSE,WPP,1999-07-29,0.08
NYSE,WPP,1999-04-29,0.08
NYSE,WPP,1999-01-28,0.07
NYSE,WPP,1998-11-04,0.07
NYSE,WPP,1998-07-30,0.07
NYSE,WPP,1998-04-29,0.07
NYSE,WPP,1997-09-10,0.062
NYSE,WPP,1997-06-11,0.062
NYSE,WPP,1997-03-12,0.062
NYSE,WPP,1996-12-27,0.062
NYSE,WPP,1996-09-11,0.055
NYSE,WPP,1996-06-12,0.055
NYSE,WPP,1996-03-07,0.055
NYSE,WPP,1995-12-28,0.056
NYSE,WPP,1995-09-13,0.0496
NYSE,WPP,1995-06-14,0.0496
NYSE,WPP,1995-03-07,0.0496
NYSE,WPP,1994-12-28,0.0496
NYSE,WPP,1994-09-12,0.048
NYSE,WPP,1994-06-13,0.048
NYSE,WPP,1994-03-07,0.048
NYSE,WPP,1993-12-20,0.048
NYSE,WPP,1993-08-30,0.042
NYSE,WPP,1993-06-14,0.042
NYSE,WPP,1993-03-08,0.042
NYSE,WPP,1992-12-23,0.0414
NYSE,WPP,1992-08-31,0.03825
NYSE,WPP,1992-06-15,0.03825
NYSE,WPP,1992-03-09,0.03825
NYSE,WPP,1991-12-26,0.03825
NYSE,WPP,1991-08-30,0.03375
NYSE,WPP,1991-06-10,0.03375
NYSE,WPP,1991-03-07,0.03375
NYSE,WTR,2009-11-12,0.145
NYSE,WTR,2009-08-13,0.135
NYSE,WTR,2009-05-14,0.135
NYSE,WTR,2009-02-12,0.135
NYSE,WTR,2008-11-13,0.135
NYSE,WTR,2008-08-14,0.125
NYSE,WTR,2008-05-14,0.125
NYSE,WTR,2008-02-13,0.125
NYSE,WTR,2007-11-14,0.125
NYSE,WTR,2007-08-15,0.125
NYSE,WTR,2007-05-16,0.115
NYSE,WTR,2007-02-13,0.115
NYSE,WTR,2006-11-15,0.115
NYSE,WTR,2006-08-16,0.115
NYSE,WTR,2006-05-16,0.107
NYSE,WTR,2006-02-13,0.107
NYSE,WTR,2005-11-15,0.10725
NYSE,WTR,2005-08-16,0.0975
NYSE,WTR,2005-05-16,0.0975
NYSE,WTR,2005-02-10,0.0975
NYSE,WTR,2004-11-10,0.0975
NYSE,WTR,2004-08-12,0.09
NYSE,WTR,2004-05-12,0.09
NYSE,WTR,2004-02-11,0.09
NYSE,WTR,2003-11-12,0.09
NYSE,WTR,2003-08-13,0.084
NYSE,WTR,2003-05-13,0.084
NYSE,WTR,2003-02-12,0.084
NYSE,WTR,2002-11-13,0.084
NYSE,WTR,2002-08-14,0.0798
NYSE,WTR,2002-05-10,0.0798
NYSE,WTR,2002-02-08,0.0798
NYSE,WTR,2001-11-14,0.07968
NYSE,WTR,2001-08-15,0.0744
NYSE,WTR,2001-05-11,0.0744
NYSE,WTR,2001-02-12,0.0744
NYSE,WTR,2000-11-13,0.0745
NYSE,WTR,2000-08-11,0.06912
NYSE,WTR,2000-05-11,0.06912
NYSE,WTR,2000-02-11,0.06912
NYSE,WTR,1999-11-09,0.06912
NYSE,WTR,1999-08-13,0.06912
NYSE,WTR,1999-05-10,0.06528
NYSE,WTR,1999-02-08,0.06528
NYSE,WTR,1998-11-06,0.06528
NYSE,WTR,1998-08-13,0.06528
NYSE,WTR,1998-05-11,0.06221
NYSE,WTR,1998-02-11,0.06221
NYSE,WTR,1997-11-06,0.06106
NYSE,WTR,1997-08-15,0.06106
NYSE,WTR,1997-05-09,0.05818
NYSE,WTR,1997-02-10,0.05818
NYSE,WTR,1996-11-12,0.05818
NYSE,WTR,1996-08-13,0.05818
NYSE,WTR,1996-05-10,0.05568
NYSE,WTR,1996-02-09,0.05568
NYSE,WTR,1995-11-10,0.05568
NYSE,WTR,1995-08-11,0.05568
NYSE,WTR,1995-05-09,0.05376
NYSE,WTR,1995-02-07,0.05376
NYSE,WTR,1994-11-08,0.05376
NYSE,WTR,1994-08-09,0.05376
NYSE,WTR,1994-05-10,0.05184
NYSE,WTR,1994-02-09,0.05184
NYSE,WTR,1993-11-09,0.05184
NYSE,WTR,1993-08-11,0.05184
NYSE,WTR,1993-05-10,0.05184
NYSE,WTR,1993-02-09,0.04992
NYSE,WTR,1992-11-10,0.04992
NYSE,WTR,1992-08-12,0.04992
NYSE,WTR,1992-05-07,0.04992
NYSE,WTR,1992-02-11,0.04992
NYSE,WTR,1991-11-06,0.048
NYSE,WTR,1991-08-12,0.048
NYSE,WTR,1991-05-09,0.048
NYSE,WTR,1991-02-05,0.048
NYSE,WTR,1990-11-06,0.048
NYSE,WTR,1990-08-09,0.048
NYSE,WTR,1990-05-10,0.048
NYSE,WTR,1990-02-07,0.048
NYSE,WTR,1989-11-09,0.04512
NYSE,WTR,1989-08-09,0.04512
NYSE,WTR,1989-05-09,0.04512
NYSE,WTR,1989-02-07,0.04512
NYSE,WTR,1988-11-07,0.04512
NYSE,WTR,1988-08-11,0.04512
NYSE,WTR,1988-05-09,0.04512
NYSE,WTR,1988-02-09,0.04512
NYSE,WWW,2009-12-30,0.11
NYSE,WWW,2009-09-29,0.11
NYSE,WWW,2009-06-29,0.11
NYSE,WWW,2009-03-30,0.11
NYSE,WWW,2008-12-30,0.11
NYSE,WWW,2008-09-29,0.11
NYSE,WWW,2008-06-27,0.11
NYSE,WWW,2008-03-28,0.11
NYSE,WWW,2007-12-28,0.09
NYSE,WWW,2007-09-27,0.09
NYSE,WWW,2007-06-28,0.09
NYSE,WWW,2007-03-29,0.09
NYSE,WWW,2006-12-28,0.075
NYSE,WWW,2006-09-28,0.075
NYSE,WWW,2006-06-29,0.075
NYSE,WWW,2006-03-30,0.075
NYSE,WWW,2005-12-28,0.065
NYSE,WWW,2005-09-29,0.065
NYSE,WWW,2005-06-29,0.065
NYSE,WWW,2005-03-30,0.065
NYSE,WWW,2004-12-30,0.06533
NYSE,WWW,2004-09-29,0.04333
NYSE,WWW,2004-06-29,0.04333
NYSE,WWW,2004-03-30,0.04333
NYSE,WWW,2003-12-30,0.03667
NYSE,WWW,2003-09-29,0.03667
NYSE,WWW,2003-06-27,0.03667
NYSE,WWW,2003-03-28,0.03667
NYSE,WWW,2002-12-30,0.03
NYSE,WWW,2002-09-27,0.03
NYSE,WWW,2002-06-27,0.03
NYSE,WWW,2002-03-27,0.03
NYSE,WWW,2001-12-28,0.02667
NYSE,WWW,2001-09-27,0.02667
NYSE,WWW,2001-06-28,0.02667
NYSE,WWW,2001-03-29,0.02667
NYSE,WWW,2000-12-28,0.02333
NYSE,WWW,2000-09-28,0.02333
NYSE,WWW,2000-06-29,0.02333
NYSE,WWW,2000-03-30,0.02333
NYSE,WWW,1999-12-30,0.02
NYSE,WWW,1999-09-29,0.02
NYSE,WWW,1999-06-29,0.02
NYSE,WWW,1999-03-30,0.02
NYSE,WWW,1998-12-30,0.01867
NYSE,WWW,1998-09-29,0.01867
NYSE,WWW,1998-06-29,0.01867
NYSE,WWW,1998-03-30,0.01867
NYSE,WWW,1997-12-30,0.01467
NYSE,WWW,1997-09-29,0.01467
NYSE,WWW,1997-06-27,0.01467
NYSE,WWW,1997-03-27,0.01422
NYSE,WWW,1996-12-30,0.01111
NYSE,WWW,1996-09-27,0.012
NYSE,WWW,1996-06-27,0.01185
NYSE,WWW,1996-03-28,0.01185
NYSE,WWW,1995-12-29,0.01037
NYSE,WWW,1995-09-28,0.01037
NYSE,WWW,1995-06-29,0.01037
NYSE,WWW,1995-03-28,0.00987
NYSE,WWW,1994-12-23,0.0079
NYSE,WWW,1994-09-27,0.0079
NYSE,WWW,1994-06-27,0.0079
NYSE,WWW,1994-04-21,0.0079
NYSE,WWW,1993-12-28,0.00527
NYSE,WWW,1993-09-27,0.00527
NYSE,WWW,1993-06-25,0.00527
NYSE,WWW,1993-03-26,0.00527
NYSE,WWW,1992-12-28,0.00527
NYSE,WWW,1992-09-25,0.00527
NYSE,WWW,1992-06-25,0.00527
NYSE,WWW,1992-03-26,0.00527
NYSE,WWW,1991-12-26,0.00527
NYSE,WWW,1991-09-25,0.00527
NYSE,WWW,1991-07-03,0.00527
NYSE,WWW,1991-03-25,0.00527
NYSE,WWW,1990-12-26,0.00527
NYSE,WWW,1990-09-25,0.00527
NYSE,WWW,1990-07-03,0.00527
NYSE,WWW,1990-06-26,0.00527
NYSE,WWW,1990-03-27,0.00527
NYSE,WWW,1989-12-26,0.00527
NYSE,WWW,1989-09-26,0.00527
NYSE,WWW,1989-07-03,0.00527
NYSE,WWW,1989-03-28,0.00527
NYSE,WWW,1988-12-27,0.00395
NYSE,WWW,1988-09-27,0.00395
NYSE,WWW,1988-06-28,0.00395
NYSE,WWW,1988-03-28,0.00395
NYSE,WWW,1986-04-01,0.0079
NYSE,WWW,1985-12-30,0.0079
NYSE,WWW,1985-10-01,0.0079
NYSE,WWW,1985-07-01,0.0079
NYSE,WWW,1985-03-26,0.0079
NYSE,WWW,1984-12-31,0.0079
NYSE,WPK,2010-01-13,0.366
NYSE,WPK,2009-10-14,0.366
NYSE,WPK,2009-07-15,0.366
NYSE,WPK,2009-04-14,0.366
NYSE,WPK,2009-01-14,0.366
NYSE,WPK,2008-10-15,0.366
NYSE,WPK,2008-07-15,0.366
NYSE,WPK,2008-04-14,0.366
NYSE,WPK,2008-01-15,0.366
NYSE,WPK,2007-10-15,0.366
NYSE,WPK,2007-07-13,0.366
NYSE,WPK,2007-04-12,0.366
NYSE,WPK,2007-01-12,0.366
NYSE,WPK,2006-10-13,0.366
NYSE,WPK,2006-07-13,0.366
NYSE,WPK,2006-04-11,0.366
NYSE,WPK,2006-01-12,0.366
NYSE,WPK,2005-10-13,0.366
NYSE,WPK,2005-07-13,0.366
NYSE,WPK,2005-04-13,0.366
NYSE,WPK,2005-01-12,0.365
NYSE,WPK,2004-10-13,0.365
NYSE,WPK,2004-07-14,0.365
NYSE,WPK,2004-04-14,0.365
NYSE,WPK,2004-01-14,0.365
NYSE,WPK,2003-10-15,0.365
NYSE,WPK,2003-07-15,0.362
NYSE,WMT,2009-12-09,0.273
NYSE,WMT,2009-08-12,0.273
NYSE,WMT,2009-05-13,0.273
NYSE,WMT,2009-03-11,0.273
NYSE,WMT,2008-12-11,0.238
NYSE,WMT,2008-08-13,0.238
NYSE,WMT,2008-05-14,0.238
NYSE,WMT,2008-03-12,0.238
NYSE,WMT,2007-12-12,0.22
NYSE,WMT,2007-08-15,0.22
NYSE,WMT,2007-05-16,0.22
NYSE,WMT,2007-03-14,0.22
NYSE,WMT,2006-12-13,0.168
NYSE,WMT,2006-08-16,0.168
NYSE,WMT,2006-05-17,0.168
NYSE,WMT,2006-03-15,0.168
NYSE,WMT,2005-12-14,0.15
NYSE,WMT,2005-08-17,0.15
NYSE,WMT,2005-05-18,0.15
NYSE,WMT,2005-03-16,0.15
NYSE,WMT,2004-12-15,0.13
NYSE,WMT,2004-08-18,0.13
NYSE,WMT,2004-05-19,0.13
NYSE,WMT,2004-03-17,0.13
NYSE,WMT,2003-12-17,0.09
NYSE,WMT,2003-10-02,0.09
NYSE,WMT,2003-06-18,0.09
NYSE,WMT,2003-03-19,0.09
NYSE,WMT,2002-12-18,0.075
NYSE,WMT,2002-09-18,0.075
NYSE,WMT,2002-06-19,0.075
NYSE,WMT,2002-03-20,0.075
NYSE,WMT,2001-12-19,0.07
NYSE,WMT,2001-09-19,0.07
NYSE,WMT,2001-06-20,0.07
NYSE,WMT,2001-03-21,0.07
NYSE,WMT,2000-12-20,0.06
NYSE,WMT,2000-09-13,0.06
NYSE,WMT,2000-06-14,0.06
NYSE,WMT,2000-03-15,0.06
