exchange,stock_symbol,date,dividends
NYSE,YSI,2010-01-05,0.025
NYSE,YSI,2009-10-05,0.025
NYSE,YSI,2009-07-02,0.025
NYSE,YSI,2009-04-03,0.025
NYSE,YSI,2009-01-05,0.025
NYSE,YSI,2008-10-03,0.18
NYSE,YSI,2008-07-02,0.18
NYSE,YSI,2008-04-03,0.18
NYSE,YSI,2008-01-03,0.18
NYSE,YSI,2007-10-04,0.29
NYSE,YSI,2007-07-05,0.29
NYSE,YSI,2007-04-04,0.29
NYSE,YSI,2007-01-04,0.29
NYSE,YSI,2006-10-05,0.29
NYSE,YSI,2006-07-06,0.29
NYSE,YSI,2006-04-06,0.29
NYSE,YSI,2006-01-05,0.29
NYSE,YSI,2005-10-05,0.28
NYSE,YSI,2005-04-07,0.28
NYSE,YSI,2005-01-06,0.201
NYSE,YUM,2010-01-13,0.21
NYSE,YUM,2009-10-14,0.21
NYSE,YUM,2009-07-15,0.19
NYSE,YUM,2009-04-07,0.19
NYSE,YUM,2009-01-14,0.19
NYSE,YUM,2008-10-15,0.19
NYSE,YUM,2008-07-09,0.19
NYSE,YUM,2008-04-09,0.15
NYSE,YUM,2008-01-09,0.15
NYSE,YUM,2007-10-10,0.15
NYSE,YUM,2007-07-11,0.15
NYSE,YUM,2007-03-07,0.15
NYSE,YUM,2007-01-10,0.075
NYSE,YUM,2006-10-11,0.075
NYSE,YUM,2006-07-12,0.075
NYSE,YUM,2006-04-11,0.0575
NYSE,YUM,2006-01-11,0.0575
NYSE,YUM,2005-10-12,0.0575
NYSE,YUM,2005-07-13,0.0575
NYSE,YUM,2005-04-13,0.05
NYSE,YUM,2005-01-12,0.05
NYSE,YUM,2004-10-13,0.05
NYSE,YUM,2004-07-14,0.05
NYSE,YZC,2009-05-20,0.586
NYSE,YZC,2008-05-23,0.2448
NYSE,YZC,2007-05-11,0.2596
NYSE,YZC,2006-05-24,0.2748
NYSE,YZC,2005-05-24,0.19637
NYSE,YZC,2004-05-20,0.12388
NYSE,YZC,2003-05-21,0.0785
NYSE,YZC,2002-05-03,0.0755
NYSE,YZC,2001-05-10,0.06187
NYSE,YZC,2000-05-11,0.07225
NYSE,YZC,1999-04-28,0.043
NYSE,YPF,2009-11-09,1.611
NYSE,YPF,2009-05-11,1.696
NYSE,YPF,2008-11-13,1.92
NYSE,YPF,2008-05-07,2.055
NYSE,YPF,2008-02-26,3.414
NYSE,YPF,2007-03-16,1.933
NYSE,YPF,2006-05-10,1.973
NYSE,YPF,2005-11-18,1.486
NYSE,YPF,2005-04-28,2.768
NYSE,YPF,2004-11-05,1.52
NYSE,YPF,2004-04-29,3.14
NYSE,YPF,2003-07-11,0.942
NYSE,YPF,2003-04-22,1.706
NYSE,YPF,2002-11-20,1.133
NYSE,YPF,2001-12-06,2.0
NYSE,YPF,2001-04-30,0.22
NYSE,YPF,2001-02-27,0.22
NYSE,YPF,2000-11-24,0.22
NYSE,YPF,2000-08-28,0.22
NYSE,YPF,2000-05-26,0.22
NYSE,YPF,2000-02-25,0.22
NYSE,YPF,1999-11-23,0.22
NYSE,YPF,1999-08-25,0.22
NYSE,YPF,1999-05-24,0.22
NYSE,YPF,1999-02-22,0.22
NYSE,YPF,1998-11-23,0.22
NYSE,YPF,1998-08-24,0.22
NYSE,YPF,1998-05-22,0.22
NYSE,YPF,1998-02-23,0.22
NYSE,YPF,1997-11-24,0.22
NYSE,YPF,1997-08-25,0.22
NYSE,YPF,1997-05-23,0.22
NYSE,YPF,1997-02-24,0.2
NYSE,YPF,1996-11-25,0.2
NYSE,YPF,1996-08-23,0.2
NYSE,YPF,1996-05-24,0.2
NYSE,YPF,1996-02-23,0.2
NYSE,YPF,1995-11-24,0.2
NYSE,YPF,1995-08-25,0.2
NYSE,YPF,1995-05-22,0.2
NYSE,YPF,1995-02-15,0.2
NYSE,YPF,1994-11-17,0.2
NYSE,YPF,1994-08-18,0.2
NYSE,YPF,1994-05-19,0.2
NYSE,YPF,1994-01-20,0.2
NYSE,YPF,1993-10-20,0.2
