exchange,stock_symbol,date,dividends
NYSE,ZTR,2010-01-05,0.034
NYSE,ZTR,2009-12-09,0.035
NYSE,ZTR,2009-11-09,0.034
NYSE,ZTR,2009-10-07,0.034
NYSE,ZTR,2009-09-09,0.034
NYSE,ZTR,2009-08-11,0.034
NYSE,ZTR,2009-07-09,0.033
NYSE,ZTR,2009-06-09,0.033
NYSE,ZTR,2009-05-07,0.032
NYSE,ZTR,2009-04-08,0.032
NYSE,ZTR,2009-03-10,0.03
NYSE,ZTR,2009-02-10,0.032
NYSE,ZTR,2009-01-05,0.033
NYSE,ZTR,2008-12-09,0.032
NYSE,ZTR,2008-11-10,0.033
NYSE,ZTR,2008-10-09,0.036
NYSE,ZTR,2008-09-10,0.038
NYSE,ZTR,2008-08-07,0.038
NYSE,ZTR,2008-07-09,0.039
NYSE,ZTR,2008-06-10,0.04
NYSE,ZTR,2008-05-08,0.04
NYSE,ZTR,2008-04-09,0.04
NYSE,ZTR,2008-03-11,0.04
NYSE,ZTR,2008-02-07,0.041
NYSE,ZTR,2008-01-03,0.041
NYSE,ZTR,2007-12-11,0.042
NYSE,ZTR,2007-11-08,0.042
NYSE,ZTR,2007-10-09,0.042
NYSE,ZTR,2007-09-12,0.041
NYSE,ZTR,2007-08-09,0.041
NYSE,ZTR,2007-07-10,0.041
NYSE,ZTR,2007-06-07,0.042
NYSE,ZTR,2007-05-09,0.042
NYSE,ZTR,2007-04-10,0.042
NYSE,ZTR,2007-03-08,0.042
NYSE,ZTR,2007-02-08,0.043
NYSE,ZTR,2007-01-03,0.043
NYSE,ZTR,2006-12-07,0.043
NYSE,ZTR,2006-11-09,0.043
NYSE,ZTR,2006-10-10,0.043
NYSE,ZTR,2006-09-07,0.042
NYSE,ZTR,2006-08-09,0.042
NYSE,ZTR,2006-07-11,0.042
NYSE,ZTR,2006-06-08,0.042
NYSE,ZTR,2006-05-09,0.043
NYSE,ZTR,2006-04-11,0.043
NYSE,ZTR,2006-03-09,0.044
NYSE,ZTR,2006-02-09,0.044
NYSE,ZTR,2006-01-04,0.044
NYSE,ZTR,2005-12-08,0.044
NYSE,ZTR,2005-11-08,0.043
NYSE,ZTR,2005-10-11,0.044
NYSE,ZTR,2005-09-08,0.045
NYSE,ZTR,2005-08-09,0.045
NYSE,ZTR,2005-06-09,0.045
NYSE,ZTR,2005-05-10,0.045
NYSE,ZTR,2005-04-07,0.046
NYSE,ZTR,2005-03-09,0.046
NYSE,ZTR,2005-02-09,0.046
NYSE,ZTR,2005-01-04,0.046
NYSE,ZTR,2004-12-09,0.046
NYSE,ZTR,2004-11-08,0.047
NYSE,ZTR,2004-10-06,0.047
NYSE,ZTR,2004-09-09,0.047
NYSE,ZTR,2004-08-10,0.033
NYSE,ZTR,2004-07-08,0.033
NYSE,ZTR,2004-06-09,0.033
NYSE,ZTR,2004-05-11,0.012
NYSE,ZTR,2004-04-07,0.012
NYSE,ZTR,2004-03-09,0.012
NYSE,ZTR,2004-02-10,0.012
NYSE,ZTR,2004-01-05,0.01
NYSE,ZTR,2003-12-09,0.016
NYSE,ZTR,2003-11-10,0.022
NYSE,ZTR,2003-10-08,0.029
NYSE,ZTR,2003-09-10,0.035
NYSE,ZTR,2003-08-07,0.041
NYSE,ZTR,2003-07-09,0.048
NYSE,ZTR,2003-06-10,0.048
NYSE,ZTR,2003-05-08,0.048
NYSE,ZTR,2003-04-09,0.048
NYSE,ZTR,2003-03-11,0.048
NYSE,ZTR,2003-02-11,0.048
NYSE,ZTR,2002-12-10,0.048
NYSE,ZTR,2002-11-07,0.049
NYSE,ZTR,2002-10-09,0.048
NYSE,ZTR,2002-09-11,0.05
NYSE,ZTR,2002-08-08,0.05
NYSE,ZTR,2002-07-09,0.051
NYSE,ZTR,2002-06-11,0.052
NYSE,ZTR,2002-05-09,0.052
NYSE,ZTR,2002-04-09,0.054
NYSE,ZTR,2002-03-07,0.054
NYSE,ZTR,2002-02-07,0.055
NYSE,ZTR,2002-01-03,0.055
NYSE,ZTR,2001-12-11,0.056
NYSE,ZTR,2001-11-08,0.056
NYSE,ZTR,2001-10-09,0.054
NYSE,ZTR,2001-08-09,0.06
NYSE,ZTR,2001-07-10,0.06
NYSE,ZTR,2001-06-07,0.06
NYSE,ZTR,2001-05-09,0.06
NYSE,ZTR,2001-04-10,0.06
NYSE,ZTR,2001-03-08,0.06
NYSE,ZTR,2001-01-04,0.06
NYSE,ZTR,2000-12-07,0.06
NYSE,ZTR,2000-11-09,0.06
NYSE,ZTR,2000-10-10,0.06
NYSE,ZTR,2000-09-07,0.06
NYSE,ZTR,2000-08-09,0.06
NYSE,ZTR,2000-07-11,0.06
NYSE,ZTR,2000-06-08,0.06
NYSE,ZTR,2000-05-09,0.06
NYSE,ZTR,2000-04-11,0.07
NYSE,ZTR,2000-03-09,0.06
NYSE,ZTR,2000-02-09,0.06
NYSE,ZTR,2000-01-05,0.07
NYSE,ZTR,1999-12-09,0.06
NYSE,ZTR,1999-11-09,0.07
NYSE,ZTR,1999-10-07,0.06
NYSE,ZTR,1999-09-09,0.07
NYSE,ZTR,1999-08-10,0.07
NYSE,ZTR,1999-07-08,0.07
NYSE,ZTR,1999-06-09,0.07
NYSE,ZTR,1999-05-11,0.07
NYSE,ZTR,1999-04-08,0.07
NYSE,ZTR,1999-03-09,0.07
NYSE,ZTR,1999-02-09,0.07
NYSE,ZTR,1999-01-06,0.07
NYSE,ZTR,1998-12-09,0.07
NYSE,ZTR,1998-11-09,0.07
NYSE,ZTR,1998-10-08,0.07
NYSE,ZTR,1998-09-09,0.07
NYSE,ZTR,1998-08-11,0.07
NYSE,ZTR,1998-07-09,0.07
NYSE,ZTR,1998-06-09,0.07
NYSE,ZTR,1998-05-07,0.07
NYSE,ZTR,1998-04-08,0.07
NYSE,ZTR,1998-03-10,0.07
NYSE,ZTR,1998-02-10,0.07
NYSE,ZTR,1998-01-05,0.07
NYSE,ZTR,1997-12-09,0.07
NYSE,ZTR,1997-11-10,0.07
NYSE,ZTR,1997-10-09,0.07
NYSE,ZTR,1997-09-10,0.07
NYSE,ZTR,1997-08-07,0.07
NYSE,ZTR,1997-07-09,0.07
NYSE,ZTR,1997-06-10,0.07
NYSE,ZTR,1997-05-08,0.07
NYSE,ZTR,1997-04-09,0.07
NYSE,ZTR,1997-03-11,0.07
NYSE,ZTR,1997-02-11,0.07
NYSE,ZTR,1996-12-27,0.07
NYSE,ZTR,1996-12-10,0.07
NYSE,ZTR,1996-11-07,0.07
NYSE,ZTR,1996-10-09,0.07
NYSE,ZTR,1996-09-11,0.07
NYSE,ZTR,1996-08-08,0.07
NYSE,ZTR,1996-07-09,0.07
NYSE,ZTR,1996-06-11,0.07
NYSE,ZTR,1996-05-09,0.07
NYSE,ZTR,1996-04-09,0.07
NYSE,ZTR,1996-03-07,0.07
NYSE,ZTR,1996-02-08,0.07
NYSE,ZTR,1996-01-04,0.07
NYSE,ZTR,1995-12-07,0.07
NYSE,ZTR,1995-11-09,0.07
NYSE,ZTR,1995-10-10,0.07
NYSE,ZTR,1995-09-07,0.07
NYSE,ZTR,1995-08-09,0.07
NYSE,ZTR,1995-07-11,0.07
NYSE,ZTR,1995-06-08,0.07
NYSE,ZTR,1995-05-05,0.07
NYSE,ZTR,1995-04-07,0.07
NYSE,ZTR,1995-03-07,0.07
NYSE,ZTR,1995-02-07,0.07
NYSE,ZTR,1995-01-05,0.07
NYSE,ZTR,1994-12-06,0.07
NYSE,ZTR,1994-11-07,0.07
NYSE,ZTR,1994-10-06,0.07
NYSE,ZTR,1994-09-06,0.07
NYSE,ZTR,1994-08-05,0.07
NYSE,ZTR,1994-07-06,0.08
NYSE,ZTR,1994-06-07,0.07
NYSE,ZTR,1994-05-06,0.08
NYSE,ZTR,1994-04-08,0.07
NYSE,ZTR,1994-03-07,0.08
NYSE,ZTR,1994-02-07,0.08
NYSE,ZTR,1994-01-05,0.08
NYSE,ZTR,1993-12-27,0.08
NYSE,ZTR,1993-12-07,0.08
NYSE,ZTR,1993-11-05,0.08
NYSE,ZTR,1993-10-05,0.08
NYSE,ZTR,1993-09-07,0.08
NYSE,ZTR,1993-08-06,0.08
NYSE,ZTR,1993-07-06,0.08
NYSE,ZTR,1993-06-07,0.08
NYSE,ZTR,1993-05-07,0.08
NYSE,ZTR,1993-04-05,0.08
NYSE,ZTR,1993-03-05,0.08
NYSE,ZTR,1993-02-05,0.08
NYSE,ZTR,1993-01-06,0.08
NYSE,ZTR,1992-12-07,0.08
NYSE,ZTR,1992-11-05,0.08
NYSE,ZTR,1992-10-06,0.08
NYSE,ZTR,1992-09-04,0.08
NYSE,ZTR,1992-08-07,0.08
NYSE,ZTR,1992-07-07,0.08
NYSE,ZTR,1992-06-05,0.08
NYSE,ZTR,1992-05-05,0.08
NYSE,ZTR,1992-04-07,0.08
NYSE,ZTR,1992-03-06,0.08
NYSE,ZTR,1992-02-07,0.08
NYSE,ZTR,1992-01-06,0.08
NYSE,ZTR,1991-12-06,0.08
NYSE,ZTR,1991-11-05,0.08
NYSE,ZTR,1991-10-07,0.08
NYSE,ZTR,1991-09-09,0.08
NYSE,ZTR,1991-08-06,0.08
NYSE,ZTR,1991-07-05,0.08
NYSE,ZTR,1991-06-07,0.08
NYSE,ZTR,1991-05-07,0.08
NYSE,ZTR,1991-04-05,0.08
NYSE,ZTR,1991-03-05,0.08
NYSE,ZTR,1991-02-05,0.08
NYSE,ZTR,1991-01-04,0.08
NYSE,ZTR,1990-12-07,0.07
NYSE,ZTR,1990-11-06,0.07
NYSE,ZTR,1990-10-04,0.07
NYSE,ZTR,1990-09-10,0.08
NYSE,ZTR,1990-08-07,0.08
NYSE,ZTR,1990-07-06,0.08
NYSE,ZTR,1990-06-05,0.08
NYSE,ZTR,1990-05-07,0.08
NYSE,ZTR,1990-04-06,0.08
NYSE,ZTR,1990-03-06,0.08
NYSE,ZTR,1990-02-06,0.08
NYSE,ZTR,1990-01-04,0.08
NYSE,ZTR,1989-12-05,0.08
NYSE,ZTR,1989-11-07,0.08
NYSE,ZTR,1989-09-06,0.08
NYSE,ZTR,1989-08-07,0.08
NYSE,ZTR,1989-07-07,0.08
NYSE,ZF,2010-01-05,0.095
NYSE,ZF,2009-10-06,0.095
NYSE,ZF,2009-07-06,0.089
NYSE,ZF,2009-04-06,0.075
NYSE,ZF,2009-01-05,0.084
NYSE,ZF,2008-10-06,0.116
NYSE,ZF,2008-07-07,0.133
