exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,ZTR,2010-02-08,3.75,3.81,3.72,3.78,298200,3.78
NYSE,ZTR,2010-02-05,3.79,3.79,3.65,3.75,854100,3.75
NYSE,ZTR,2010-02-04,3.86,3.86,3.79,3.79,457000,3.79
NYSE,ZTR,2010-02-03,3.87,3.89,3.84,3.84,316700,3.84
NYSE,ZTR,2010-02-02,3.85,3.89,3.83,3.87,237600,3.87
NYSE,ZTR,2010-02-01,3.90,3.90,3.81,3.84,292900,3.84
NYSE,ZTR,2010-01-29,3.78,3.85,3.77,3.85,243800,3.85
NYSE,ZTR,2010-01-28,3.85,3.85,3.77,3.79,325200,3.79
NYSE,ZTR,2010-01-27,3.86,3.87,3.81,3.83,329000,3.83
NYSE,ZTR,2010-01-26,3.90,3.90,3.86,3.87,389300,3.87
NYSE,ZTR,2010-01-25,3.91,3.91,3.86,3.88,316700,3.88
NYSE,ZTR,2010-01-22,3.94,3.94,3.85,3.90,373300,3.90
NYSE,ZTR,2010-01-21,3.95,3.95,3.90,3.94,323600,3.94
NYSE,ZTR,2010-01-20,3.94,3.95,3.90,3.95,279000,3.95
NYSE,ZTR,2010-01-19,3.91,3.95,3.91,3.94,225200,3.94
NYSE,ZTR,2010-01-15,3.92,3.94,3.90,3.91,191000,3.91
NYSE,ZTR,2010-01-14,3.91,3.92,3.89,3.92,225300,3.92
NYSE,ZTR,2010-01-13,3.91,3.94,3.88,3.90,219500,3.90
NYSE,ZTR,2010-01-12,3.92,3.94,3.90,3.90,325500,3.90
NYSE,ZTR,2010-01-11,3.97,3.97,3.92,3.92,301800,3.92
NYSE,ZTR,2010-01-08,3.92,3.95,3.90,3.95,346800,3.95
NYSE,ZTR,2010-01-07,3.93,3.93,3.90,3.92,287700,3.92
NYSE,ZTR,2010-01-06,3.94,3.96,3.93,3.93,346000,3.93
NYSE,ZTR,2010-01-05,3.87,3.94,3.87,3.92,260800,3.92
NYSE,ZTR,2010-01-04,3.93,3.95,3.89,3.92,288900,3.89
NYSE,ZTR,2009-12-31,3.92,3.93,3.86,3.91,349700,3.88
NYSE,ZTR,2009-12-30,3.91,3.93,3.87,3.90,331100,3.87
NYSE,ZTR,2009-12-29,3.92,3.94,3.91,3.92,270200,3.89
NYSE,ZTR,2009-12-28,3.92,3.95,3.90,3.93,350900,3.90
NYSE,ZTR,2009-12-24,3.87,3.92,3.87,3.92,190900,3.89
NYSE,ZTR,2009-12-23,3.87,3.89,3.86,3.89,215600,3.86
NYSE,ZTR,2009-12-22,3.86,3.89,3.85,3.87,257400,3.84
NYSE,ZTR,2009-12-21,3.87,3.90,3.85,3.85,427800,3.82
NYSE,ZTR,2009-12-18,3.88,3.90,3.87,3.87,167200,3.84
NYSE,ZTR,2009-12-17,3.86,3.90,3.84,3.90,806800,3.87
NYSE,ZTR,2009-12-16,3.87,3.87,3.83,3.84,201600,3.81
NYSE,ZTR,2009-12-15,3.85,3.87,3.84,3.85,203200,3.82
NYSE,ZTR,2009-12-14,3.82,3.87,3.82,3.86,494300,3.83
NYSE,ZTR,2009-12-11,3.81,3.83,3.80,3.82,191400,3.79
NYSE,ZTR,2009-12-10,3.89,3.89,3.79,3.81,403100,3.78
NYSE,ZTR,2009-12-09,3.82,3.84,3.81,3.81,266400,3.78
NYSE,ZTR,2009-12-08,3.87,3.88,3.82,3.84,279200,3.77
NYSE,ZTR,2009-12-07,3.84,3.87,3.82,3.84,267700,3.77
NYSE,ZTR,2009-12-04,3.83,3.84,3.81,3.82,200900,3.75
NYSE,ZTR,2009-12-03,3.80,3.83,3.80,3.81,434200,3.74
NYSE,ZTR,2009-12-02,3.80,3.82,3.79,3.79,458500,3.72
NYSE,ZTR,2009-12-01,3.90,3.90,3.80,3.80,482800,3.73
NYSE,ZTR,2009-11-30,3.86,3.86,3.79,3.81,406700,3.74
