exchange,stock_symbol,date,dividends
NYSE,CY,2008-09-30,16.417999
NYSE,CY,2008-09-29,0.0
NYSE,CPO,2009-12-30,0.14
NYSE,CPO,2009-09-28,0.14
NYSE,CPO,2009-06-26,0.14
NYSE,CPO,2009-03-27,0.14
NYSE,CPO,2009-01-06,0.14
NYSE,CPO,2008-09-30,0.14
NYSE,CPO,2008-06-24,0.14
NYSE,CPO,2008-04-01,0.12
NYSE,CPO,2008-01-02,0.11
NYSE,CPO,2007-10-02,0.11
NYSE,CPO,2007-06-26,0.09
NYSE,CPO,2007-04-03,0.09
NYSE,CPO,2007-01-03,0.09
NYSE,CPO,2006-09-27,0.08
NYSE,CPO,2006-06-26,0.08
NYSE,CPO,2006-03-28,0.08
NYSE,CPO,2005-12-30,0.07
NYSE,CPO,2005-09-28,0.07
NYSE,CPO,2005-06-27,0.07
NYSE,CPO,2005-03-28,0.07
NYSE,CPO,2004-12-31,0.07
NYSE,CPO,2004-09-28,0.06
NYSE,CPO,2004-06-28,0.06
NYSE,CPO,2004-03-29,0.06
NYSE,CPO,2003-12-30,0.06
NYSE,CPO,2003-09-26,0.05
NYSE,CPO,2003-06-26,0.05
NYSE,CPO,2003-03-31,0.05
NYSE,CPO,2002-12-30,0.05
NYSE,CPO,2002-09-26,0.05
NYSE,CPO,2002-06-26,0.05
NYSE,CPO,2002-03-27,0.05
NYSE,CPO,2001-12-28,0.05
NYSE,CPO,2001-09-26,0.05
NYSE,CPO,2001-06-27,0.05
NYSE,CPO,2001-03-28,0.05
NYSE,CPO,2000-12-28,0.05
NYSE,CPO,2000-09-27,0.05
NYSE,CPO,2000-06-28,0.05
NYSE,CPO,2000-03-29,0.05
NYSE,CPO,1999-12-30,0.05
NYSE,CPO,1999-09-28,0.05
NYSE,CPO,1999-06-28,0.04
NYSE,CPO,1999-03-29,0.04
NYSE,CPO,1998-12-30,0.04
NYSE,CPO,1998-09-28,0.04
NYSE,CCS,2010-01-28,0.414
NYSE,CCS,2009-10-28,0.414
NYSE,CCS,2009-07-29,0.414
NYSE,CCS,2009-04-29,0.414
NYSE,CCS,2009-01-28,0.414
NYSE,CCS,2008-10-29,0.414
NYSE,CCS,2008-07-30,0.414
NYSE,CCS,2008-04-29,0.414
NYSE,CCS,2008-01-30,0.414
NYSE,CCS,2007-10-30,0.414
NYSE,CCS,2007-07-30,0.437
NYSE,CIF,2010-02-09,0.021
NYSE,CIF,2010-01-12,0.021
NYSE,CIF,2009-12-09,0.029
NYSE,CIF,2009-11-10,0.019
NYSE,CIF,2009-10-13,0.019
NYSE,CIF,2009-09-10,0.019
NYSE,CIF,2009-08-10,0.02
NYSE,CIF,2009-07-13,0.02
NYSE,CIF,2009-06-10,0.02
NYSE,CIF,2009-05-11,0.021
NYSE,CIF,2009-04-13,0.022
NYSE,CIF,2009-03-09,0.022
NYSE,CIF,2009-02-09,0.022
NYSE,CIF,2009-01-12,0.025
NYSE,CIF,2008-12-10,0.063
NYSE,CIF,2008-11-07,0.026
NYSE,CIF,2008-10-09,0.025
NYSE,CIF,2008-09-10,0.024
NYSE,CIF,2008-08-11,0.024
NYSE,CIF,2008-07-09,0.024
NYSE,CIF,2008-06-11,0.024
NYSE,CIF,2008-05-09,0.024
NYSE,CIF,2008-04-09,0.024
NYSE,CIF,2008-03-10,0.024
NYSE,CIF,2008-02-11,0.024
NYSE,CIF,2008-01-10,0.024
NYSE,CIF,2007-12-12,0.054
NYSE,CIF,2007-11-09,0.025
NYSE,CIF,2007-10-09,0.025
NYSE,CIF,2007-09-10,0.024
NYSE,CIF,2007-08-10,0.034
NYSE,CIF,2007-06-27,0.024
NYSE,CIF,2007-05-29,0.024
NYSE,CIF,2007-04-26,0.024
NYSE,CIF,2007-03-28,0.024
NYSE,CIF,2007-02-26,0.024
NYSE,CIF,2007-01-29,0.024
NYSE,CIF,2006-12-27,0.024
NYSE,CIF,2006-11-28,0.024
NYSE,CIF,2006-10-27,0.024
NYSE,CIF,2006-09-27,0.024
NYSE,CIF,2006-08-29,0.026
NYSE,CIF,2006-07-27,0.026
NYSE,CIF,2006-06-28,0.026
NYSE,CIF,2006-05-26,0.026
NYSE,CIF,2006-04-26,0.026
NYSE,CIF,2006-03-29,0.026
NYSE,CIF,2006-02-24,0.026
NYSE,CIF,2006-01-27,0.026
NYSE,CIF,2005-12-28,0.06
NYSE,CIF,2005-11-28,0.026
NYSE,CIF,2005-10-27,0.026
NYSE,CIF,2005-09-28,0.026
NYSE,CIF,2005-08-29,0.026
NYSE,CIF,2005-07-27,0.026
NYSE,CIF,2005-06-28,0.026
NYSE,CIF,2005-05-26,0.026
NYSE,CIF,2005-04-27,0.026
NYSE,CIF,2005-03-29,0.026
NYSE,CIF,2005-02-24,0.026
NYSE,CIF,2005-01-27,0.036
NYSE,CIF,2004-12-29,0.036
NYSE,CIF,2004-11-26,0.024
NYSE,CIF,2004-10-27,0.024
NYSE,CIF,2004-09-28,0.024
NYSE,CIF,2004-08-27,0.024
NYSE,CIF,2004-07-28,0.024
NYSE,CIF,2004-06-28,0.024
NYSE,CIF,2004-05-26,0.024
NYSE,CIF,2004-04-28,0.027
NYSE,CIF,2004-03-29,0.027
NYSE,CIF,2004-02-25,0.027
NYSE,CIF,2004-01-28,0.027
NYSE,CIF,2003-12-29,0.027
NYSE,CIF,2003-11-25,0.027
NYSE,CIF,2003-10-29,0.027
NYSE,CIF,2003-09-26,0.027
NYSE,CIF,2003-08-27,0.027
NYSE,CIF,2003-07-29,0.027
NYSE,CIF,2003-06-26,0.027
NYSE,CIF,2003-05-28,0.027
NYSE,CIF,2003-04-28,0.027
NYSE,CIF,2003-03-27,0.027
NYSE,CIF,2003-02-26,0.027
NYSE,CIF,2003-01-29,0.027
NYSE,CIF,2002-12-27,0.027
NYSE,CIF,2002-11-26,0.027
NYSE,CIF,2002-10-29,0.027
NYSE,CIF,2002-09-26,0.027
NYSE,CIF,2002-08-28,0.027
NYSE,CIF,2002-07-29,0.027
NYSE,CIF,2002-06-26,0.03
NYSE,CIF,2002-05-29,0.03
NYSE,CIF,2002-04-26,0.03
NYSE,CIF,2002-03-26,0.033
NYSE,CIF,2002-02-26,0.034
NYSE,CIF,2002-01-29,0.036
NYSE,CIF,2001-12-28,0.036
NYSE,CIF,2001-11-28,0.036
NYSE,CIF,2001-10-29,0.036
NYSE,CIF,2001-09-26,0.04
NYSE,CIF,2001-08-29,0.04
NYSE,CIF,2001-07-27,0.047
NYSE,CIF,2001-06-27,0.047
NYSE,CIF,2001-05-29,0.047
NYSE,CIF,2001-04-26,0.051
NYSE,CIF,2001-03-28,0.051
NYSE,CIF,2001-02-26,0.051
NYSE,CIF,2001-01-29,0.051
NYSE,CIF,2000-12-27,0.055
NYSE,CIF,2000-11-28,0.055
NYSE,CIF,2000-10-27,0.055
NYSE,CIF,2000-09-27,0.055
NYSE,CIF,2000-08-29,0.058
NYSE,CIF,2000-07-27,0.058
NYSE,CIF,2000-06-28,0.058
NYSE,CIF,2000-05-26,0.058
NYSE,CIF,2000-04-26,0.058
NYSE,CIF,2000-03-29,0.058
NYSE,CIF,2000-02-25,0.058
NYSE,CIF,2000-01-27,0.058
NYSE,CIF,1999-12-29,0.08
NYSE,CIF,1999-11-26,0.058
NYSE,CIF,1999-10-27,0.058
NYSE,CIF,1999-09-28,0.057
NYSE,CIF,1999-08-27,0.057
NYSE,CIF,1999-07-28,0.057
NYSE,CIF,1999-06-28,0.057
NYSE,CIF,1999-05-26,0.057
NYSE,CIF,1999-04-28,0.057
NYSE,CIF,1999-03-29,0.057
NYSE,CIF,1999-02-24,0.057
NYSE,CIF,1999-01-27,0.057
NYSE,CIF,1998-12-29,0.057
NYSE,CIF,1998-11-25,0.057
NYSE,CIF,1998-10-28,0.057
NYSE,CIF,1998-09-28,0.057
NYSE,CIF,1998-08-27,0.057
NYSE,CIF,1998-07-29,0.057
NYSE,CIF,1998-06-23,0.057
NYSE,CIF,1998-05-27,0.057
NYSE,CIF,1998-04-28,0.057
NYSE,CIF,1998-03-27,0.057
NYSE,CIF,1998-02-25,0.057
NYSE,CIF,1998-01-28,0.057
NYSE,CIF,1997-12-29,0.065
NYSE,CIF,1997-11-25,0.057
NYSE,CIF,1997-10-29,0.057
NYSE,CIF,1997-09-26,0.057
NYSE,CIF,1997-08-27,0.057
NYSE,CIF,1997-07-29,0.057
NYSE,CIF,1997-06-26,0.057
NYSE,CIF,1997-05-28,0.057
NYSE,CIF,1997-04-28,0.057
NYSE,CIF,1997-03-26,0.057
NYSE,CIF,1997-02-26,0.057
NYSE,CIF,1997-01-29,0.057
NYSE,CIF,1996-12-27,0.018
NYSE,CIF,1996-11-26,0.057
NYSE,CIF,1996-10-29,0.057
NYSE,CIF,1996-09-26,0.057
NYSE,CIF,1996-08-28,0.057
NYSE,CIF,1996-07-29,0.057
NYSE,CIF,1996-06-26,0.057
NYSE,CIF,1996-05-29,0.057
NYSE,CIF,1996-04-26,0.057
NYSE,CIF,1996-03-27,0.057
NYSE,CIF,1996-02-27,0.057
NYSE,CIF,1996-01-29,0.058
NYSE,CIF,1995-12-27,0.058
NYSE,CIF,1995-11-28,0.058
NYSE,CIF,1995-10-27,0.058
NYSE,CIF,1995-09-27,0.058
NYSE,CIF,1995-08-29,0.058
NYSE,CIF,1995-07-27,0.058
NYSE,CIF,1995-06-28,0.058
NYSE,CIF,1995-05-24,0.058
NYSE,CIF,1995-04-24,0.058
NYSE,CIF,1995-03-27,0.058
NYSE,CIF,1995-02-22,0.058
NYSE,CIF,1995-01-25,0.058
NYSE,CIF,1994-12-23,0.058
NYSE,CIF,1994-11-23,0.058
NYSE,CIF,1994-10-25,0.058
NYSE,CIF,1994-09-26,0.058
NYSE,CIF,1994-08-25,0.058
NYSE,CIF,1994-07-25,0.058
NYSE,CIF,1994-06-24,0.058
NYSE,CIF,1994-05-24,0.058
NYSE,CIF,1994-04-25,0.058
NYSE,CIF,1994-03-25,0.058
NYSE,CIF,1994-02-22,0.058
NYSE,CIF,1994-01-25,0.058
NYSE,CIF,1993-12-27,0.108
NYSE,CIF,1993-11-23,0.058
NYSE,CIF,1993-10-25,0.058
NYSE,CIF,1993-09-24,0.058
NYSE,CIF,1993-08-25,0.06
NYSE,CIF,1993-07-26,0.06
NYSE,CIF,1993-06-24,0.06
NYSE,CIF,1993-05-24,0.06
NYSE,CIF,1993-04-26,0.06
NYSE,CIF,1993-03-25,0.06
NYSE,CIF,1993-02-22,0.06
NYSE,CIF,1993-01-25,0.06
NYSE,CIF,1992-12-24,0.06
NYSE,CIF,1992-11-23,0.06
NYSE,CIF,1992-10-26,0.06
NYSE,CIF,1992-09-24,0.065
NYSE,CIF,1992-08-25,0.065
NYSE,CIF,1992-07-27,0.065
NYSE,CIF,1992-06-24,0.065
NYSE,CIF,1992-05-22,0.065
NYSE,CIF,1992-04-24,0.065
NYSE,CIF,1992-03-25,0.065
NYSE,CIF,1992-02-24,0.065
NYSE,CIF,1992-01-27,0.065
NYSE,CIF,1991-12-24,0.065
NYSE,CIF,1991-11-22,0.065
NYSE,CIF,1991-10-25,0.065
NYSE,CIF,1991-09-24,0.065
NYSE,CIF,1991-08-26,0.065
NYSE,CIF,1991-07-25,0.065
NYSE,CIF,1991-06-24,0.065
NYSE,CIF,1991-05-24,0.065
NYSE,CIF,1991-04-24,0.065
NYSE,CIF,1991-03-22,0.065
NYSE,CIF,1991-02-22,0.065
NYSE,CIF,1991-01-25,0.065
NYSE,CIF,1990-12-24,0.05
NYSE,CIF,1990-11-26,0.075
NYSE,CIF,1990-10-25,0.09
NYSE,CIF,1990-09-24,0.09
NYSE,CIF,1990-08-27,0.09
NYSE,CIF,1990-07-25,0.09
NYSE,CIF,1990-06-25,0.09
NYSE,CIF,1990-05-24,0.09
NYSE,CIF,1990-04-24,0.09
NYSE,CIF,1990-03-26,0.09
NYSE,CIF,1990-02-22,0.1
NYSE,CIF,1990-01-25,0.1
NYSE,CIF,1989-12-11,0.1
NYSE,CIF,1989-11-24,0.1
NYSE,CIF,1989-10-25,0.1
NYSE,CIF,1989-09-25,0.1
NYSE,CIF,1989-08-25,0.1
NYSE,CIF,1989-07-25,0.1
NYSE,CIF,1989-06-26,0.1
NYSE,CIF,1989-05-24,0.1
NYSE,CIF,1989-04-24,0.1
NYSE,CIF,1989-03-27,0.1
NYSE,CIF,1989-02-22,0.1
NYSE,CIF,1989-01-25,0.1
NYSE,CIF,1988-12-23,0.1
NYSE,CIF,1988-11-23,0.103
NYSE,CIF,1988-10-25,0.08
NYSE,CYE,2010-02-10,0.055
NYSE,CYE,2009-12-29,0.055
NYSE,CYE,2009-12-11,0.055
NYSE,CYE,2009-11-10,0.055
NYSE,CYE,2009-10-13,0.055
NYSE,CYE,2009-09-11,0.055
NYSE,CYE,2009-08-12,0.055
NYSE,CYE,2009-07-13,0.055
NYSE,CYE,2009-06-11,0.055
NYSE,CYE,2009-05-13,0.06
NYSE,CYE,2009-04-13,0.06
NYSE,CYE,2009-03-12,0.06
NYSE,CYE,2009-02-11,0.06
NYSE,CYE,2008-12-29,0.077
NYSE,CYE,2008-12-11,0.06
NYSE,CYE,2008-11-12,0.06
NYSE,CYE,2008-10-10,0.06
NYSE,CYE,2008-09-11,0.06
NYSE,CYE,2008-08-13,0.06
NYSE,CYE,2008-07-11,0.06
NYSE,CYE,2008-06-12,0.06
NYSE,CYE,2008-05-13,0.06
NYSE,CYE,2008-04-11,0.06
NYSE,CYE,2008-03-12,0.06
NYSE,CYE,2008-02-13,0.06
NYSE,CYE,2007-12-27,0.111
NYSE,CYE,2007-12-11,0.06
NYSE,CYE,2007-11-13,0.06
NYSE,CYE,2007-10-11,0.06
NYSE,CYE,2007-09-12,0.06
NYSE,CYE,2007-08-13,0.06
NYSE,CYE,2007-07-12,0.06
NYSE,CYE,2007-06-13,0.06
NYSE,CYE,2007-05-11,0.056
NYSE,CYE,2007-04-12,0.056
NYSE,CYE,2007-03-13,0.056
NYSE,CYE,2007-02-13,0.056
NYSE,CYE,2006-12-27,0.056
NYSE,CYE,2006-12-08,0.056
NYSE,CYE,2006-11-10,0.056
NYSE,CYE,2006-10-12,0.056
NYSE,CYE,2006-09-13,0.056
NYSE,CYE,2006-08-10,0.056
NYSE,CYE,2006-07-13,0.056
NYSE,CYE,2006-06-09,0.056
NYSE,CYE,2006-05-11,0.056
NYSE,CYE,2006-04-12,0.056
NYSE,CYE,2006-03-10,0.056
NYSE,CYE,2006-02-10,0.06
NYSE,CYE,2005-12-28,0.06
NYSE,CYE,2005-12-08,0.06
NYSE,CYE,2005-11-10,0.066
NYSE,CYE,2005-10-13,0.066
NYSE,CYE,2005-09-12,0.066
NYSE,CYE,2005-08-11,0.066
NYSE,CYE,2005-07-12,0.066
NYSE,CYE,2005-06-10,0.066
NYSE,CYE,2005-05-11,0.074
NYSE,CYE,2005-04-13,0.074
NYSE,CYE,2005-03-11,0.074
NYSE,CYE,2005-02-11,0.074
NYSE,CYE,2004-12-28,0.087
NYSE,CYE,2004-12-08,0.074
NYSE,CYE,2004-11-09,0.072
NYSE,CYE,2004-10-13,0.072
NYSE,CYE,2004-09-10,0.072
NYSE,CYE,2004-08-12,0.072
NYSE,CYE,2004-07-13,0.072
NYSE,CYE,2004-06-10,0.072
NYSE,CYE,2004-05-12,0.072
NYSE,CYE,2004-04-14,0.076
NYSE,CYE,2004-03-11,0.078
NYSE,CYE,2004-02-11,0.078
NYSE,CYE,2003-12-29,0.078
NYSE,CYE,2003-12-05,0.075
NYSE,CYE,2003-11-12,0.075
NYSE,CYE,2003-10-15,0.072
NYSE,CYE,2003-09-12,0.072
NYSE,CYE,2003-08-13,0.07
NYSE,CYE,2003-07-15,0.073
NYSE,CYE,2003-06-12,0.073
NYSE,CYE,2003-05-14,0.078
NYSE,CYE,2003-04-14,0.083
NYSE,CYE,2003-03-13,0.085
NYSE,CYE,2003-02-12,0.086
NYSE,CYE,2002-12-27,0.082
NYSE,CYE,2002-12-06,0.076
NYSE,CYE,2002-11-12,0.073
NYSE,CYE,2002-10-16,0.068
NYSE,CYE,2002-09-13,0.068
NYSE,CYE,2002-08-15,0.067
NYSE,CYE,2002-07-16,0.072
NYSE,CYE,2002-06-13,0.074
NYSE,CYE,2002-05-16,0.073
NYSE,CYE,2002-04-15,0.08
NYSE,CYE,2002-03-14,0.087
NYSE,CYE,2002-02-13,0.098
NYSE,CYE,2001-12-27,0.103
NYSE,CYE,2001-12-10,0.104
NYSE,CYE,2001-11-16,0.099
NYSE,CYE,2001-10-12,0.096
NYSE,CYE,2001-08-16,0.099
NYSE,CYE,2001-07-13,0.085
NYSE,CYE,2001-06-15,0.088
NYSE,CYE,2001-05-14,0.09
NYSE,CYE,2001-04-11,0.103
NYSE,CYE,2001-03-15,0.115
NYSE,CYE,2001-02-14,0.111
NYSE,CYE,2000-12-27,0.114
NYSE,CYE,2000-12-05,0.113
NYSE,CYE,2000-11-16,0.125
NYSE,CYE,2000-10-13,0.115
NYSE,CYE,2000-09-14,0.119
NYSE,CYE,2000-08-16,0.124
NYSE,CYE,2000-07-13,0.114
NYSE,CYE,2000-06-15,0.126
NYSE,CYE,2000-05-12,0.12
NYSE,CYE,2000-04-13,0.129
NYSE,CYE,2000-03-15,0.119
NYSE,CYE,2000-02-15,0.122
NYSE,CYE,1999-12-29,0.132
NYSE,CYE,1999-12-08,0.117
NYSE,CYE,1999-11-18,0.12
NYSE,CYE,1999-10-20,0.116
NYSE,CYE,1999-09-20,0.143
NYSE,CYE,1999-08-19,0.122
NYSE,CYE,1999-07-21,0.123
NYSE,CYE,1999-06-21,0.129
NYSE,CYE,1999-05-19,0.118
NYSE,CYE,1999-04-20,0.122
NYSE,CYE,1999-03-22,0.125
NYSE,CYE,1999-02-17,0.116
NYSE,CYE,1998-12-29,0.132
NYSE,CYE,1998-12-09,0.121
NYSE,CYE,1998-11-18,0.121
NYSE,CYE,1998-10-20,0.121
NYSE,CYE,1998-09-18,0.122
NYSE,CYE,1998-08-19,0.114
NYSE,CYE,1998-07-21,0.111
NYSE,CYE,1998-06-18,0.118
NYSE,CYE,1998-05-19,0.342
NYSE,CYE,1998-04-20,0.181
NYSE,CWF,2010-01-19,0.034
NYSE,CWF,2009-12-15,0.034
NYSE,CWF,2009-11-17,0.034
NYSE,CWF,2009-10-20,0.034
NYSE,CWF,2009-09-15,0.034
NYSE,CWF,2009-08-18,0.034
NYSE,CWF,2009-07-21,0.034
NYSE,CWF,2009-06-16,0.034
NYSE,CWF,2009-05-19,0.034
NYSE,CWF,2009-04-21,0.034
NYSE,CWF,2009-03-17,0.034
NYSE,CWF,2009-02-17,0.034
NYSE,CWF,2009-01-20,0.034
NYSE,CWF,2008-12-16,0.034
NYSE,CWF,2008-11-18,0.034
NYSE,CWF,2008-10-21,0.075
NYSE,CWF,2008-09-16,0.075
NYSE,CWF,2008-08-19,0.075
NYSE,CWF,2008-07-15,0.075
NYSE,CWF,2008-06-17,0.075
NYSE,CWF,2008-05-20,0.075
NYSE,CWF,2008-04-15,0.075
NYSE,CWF,2008-03-18,0.075
NYSE,CWF,2008-02-19,0.075
NYSE,CWF,2008-01-15,0.075
NYSE,CWF,2007-12-18,0.075
NYSE,CWF,2007-11-19,0.075
NYSE,CWF,2007-10-16,0.075
NYSE,CWF,2007-09-18,0.075
NYSE,CWF,2007-08-21,0.075
NYSE,CWF,2007-07-17,0.075
NYSE,CWF,2007-06-19,0.075
NYSE,CWF,2007-05-15,0.075
NYSE,CWF,2007-04-17,0.073
NYSE,CWF,2007-03-20,0.073
NYSE,CWF,2007-02-20,0.073
NYSE,CWF,2007-01-16,0.073
NYSE,CWF,2006-12-19,0.073
NYSE,CWF,2006-11-21,0.073
NYSE,CWF,2006-10-17,0.073
NYSE,CWF,2006-09-19,0.073
NYSE,CWF,2006-08-15,0.073
NYSE,CWF,2006-07-18,0.073
NYSE,CWF,2006-06-20,0.073
NYSE,CWF,2006-05-16,0.073
NYSE,CWF,2006-04-18,0.083
NYSE,CWF,2006-03-21,0.083
NYSE,CWF,2006-02-21,0.083
NYSE,CWF,2006-01-17,0.083
NYSE,CWF,2005-12-20,0.083
NYSE,CWF,2005-11-15,0.083
NYSE,CWF,2005-10-18,0.083
NYSE,CWF,2005-09-20,0.083
NYSE,CWF,2005-08-16,0.083
NYSE,CWF,2005-07-19,0.083
NYSE,CWF,2005-06-21,0.083
NYSE,CWF,2005-05-17,0.083
NYSE,CWF,2005-04-19,0.083
NYSE,CWF,2005-03-15,0.083
NYSE,CWF,2005-02-15,0.083
NYSE,CWF,2005-01-18,0.083
NYSE,CWF,2004-12-21,0.083
NYSE,CWF,2004-11-16,0.083
NYSE,CWF,2004-10-19,0.083
NYSE,CWF,2004-09-21,0.083
NYSE,CWF,2004-08-17,0.083
NYSE,CWF,2004-07-20,0.083
NYSE,CWF,2004-06-15,0.083
NYSE,CWF,2004-05-18,0.083
NYSE,CWF,2004-04-20,0.083
NYSE,CWF,2004-03-16,0.083
NYSE,CWF,2004-02-17,0.083
NYSE,CWF,2004-01-20,0.083
NYSE,CWF,2003-12-16,0.083
NYSE,CWF,2003-11-18,0.083
NYSE,CWF,2003-10-21,0.083
NYSE,CWF,2003-09-16,0.083
NYSE,CWF,2003-08-19,0.083
NYSE,CWF,2003-07-15,0.083
NYSE,CWF,2003-06-17,0.083
NYSE,CWF,2003-05-20,0.083
NYSE,CWF,2003-04-15,0.083
