exchange,stock_symbol,date,dividends
NYSE,GDI,2009-11-19,0.05
NYSE,GFZ,2010-01-06,0.453
NYSE,GFZ,2009-10-06,0.453
NYSE,GFZ,2009-07-06,0.453
NYSE,GFZ,2009-04-06,0.453
NYSE,GFZ,2009-01-06,0.453
NYSE,GFZ,2008-10-06,0.453
NYSE,GFZ,2007-10-03,0.453
NYSE,GFZ,2007-07-03,0.453
NYSE,GFZ,2007-04-03,0.453
NYSE,GFZ,2007-01-04,0.453
NYSE,GFZ,2006-10-04,0.453
NYSE,GFZ,2006-07-05,0.453
NYSE,GFZ,2006-04-05,0.453
NYSE,GFZ,2006-01-04,0.453
NYSE,GFZ,2005-10-05,0.453
NYSE,GFZ,2005-07-06,0.453
NYSE,GFZ,2005-01-05,0.453
NYSE,GFZ,2004-10-06,0.453
NYSE,GFZ,2004-07-06,0.453
NYSE,GFZ,2004-04-06,0.458
NYSE,GJH,2009-12-10,0.319
NYSE,GJH,2009-06-10,0.319
NYSE,GJH,2008-12-10,0.319
NYSE,GJH,2008-06-11,0.319
NYSE,GJH,2007-12-12,0.319
NYSE,GJH,2007-06-12,0.319
NYSE,GJH,2006-12-12,0.319
NYSE,GJH,2006-06-12,0.319
NYSE,GJH,2005-12-12,0.319
NYSE,GJH,2005-06-10,0.319
NYSE,GJH,2004-12-10,0.319
NYSE,GJH,2004-06-10,0.096
NYSE,GDF,2010-01-20,0.095
NYSE,GDF,2009-12-16,0.095
NYSE,GDF,2009-11-18,0.095
NYSE,GDF,2009-10-21,0.095
NYSE,GDF,2009-09-16,0.095
NYSE,GDF,2009-08-19,0.095
NYSE,GDF,2009-07-22,0.095
NYSE,GDF,2009-06-17,0.095
NYSE,GDF,2009-05-20,0.095
NYSE,GDF,2009-04-15,0.095
NYSE,GDF,2009-03-18,0.095
NYSE,GDF,2009-02-18,0.095
NYSE,GDF,2009-01-21,0.095
NYSE,GDF,2008-12-17,0.095
NYSE,GDF,2008-11-19,0.095
NYSE,GDF,2008-10-22,0.095
NYSE,GDF,2008-09-17,0.095
NYSE,GDF,2008-08-20,0.09
NYSE,GDF,2008-07-16,0.09
NYSE,GDF,2008-06-18,0.09
NYSE,GDF,2008-05-21,0.079
NYSE,GDF,2008-04-16,0.079
NYSE,GDF,2008-03-18,0.079
NYSE,GDF,2008-02-20,0.079
NYSE,GDF,2008-01-16,0.079
NYSE,GDF,2007-12-19,0.079
NYSE,GDF,2007-11-20,0.079
NYSE,GDF,2007-10-17,0.079
NYSE,GDF,2007-09-19,0.079
NYSE,GDF,2007-08-22,0.079
NYSE,GDF,2007-07-18,0.079
NYSE,GDF,2007-06-20,0.079
NYSE,GDF,2007-05-16,0.079
NYSE,GDF,2007-04-18,0.079
NYSE,GDF,2007-03-21,0.079
NYSE,GDF,2007-02-14,0.079
NYSE,GDF,2007-01-17,0.079
NYSE,GDF,2006-12-20,0.079
NYSE,GDF,2006-11-15,0.079
NYSE,GDF,2006-10-18,0.079
NYSE,GDF,2006-09-20,0.079
NYSE,GDF,2006-08-18,0.079
NYSE,GDF,2006-07-21,0.079
NYSE,GDF,2006-06-23,0.079
NYSE,GDF,2006-05-19,0.079
NYSE,GDF,2006-04-21,0.079
NYSE,GDF,2006-03-24,0.079
NYSE,GDF,2006-02-16,0.079
NYSE,GDF,2006-01-20,0.079
NYSE,GDF,2005-12-22,0.079
NYSE,GDF,2005-11-10,0.084
NYSE,GDF,2005-10-14,0.084
NYSE,GDF,2005-09-09,0.084
NYSE,GDF,2005-08-12,0.086
NYSE,GDF,2005-06-10,0.086
NYSE,GDF,2005-05-13,0.104
NYSE,GDF,2005-04-08,0.104
NYSE,GDF,2005-03-04,0.104
NYSE,GDF,2005-01-14,0.104
NYSE,GDF,2004-12-03,0.104
NYSE,GDF,2004-11-12,0.104
NYSE,GDF,2004-10-08,0.104
NYSE,GDF,2004-09-10,0.104
NYSE,GDF,2004-08-13,0.119
NYSE,GDF,2004-07-09,0.119
NYSE,GDF,2004-06-14,0.119
NYSE,GDF,2004-05-14,0.119
NYSE,GDF,2004-04-16,0.119
NYSE,GDF,2004-03-12,0.119
NYSE,GDF,2004-02-13,0.118
NYSE,GDF,2004-01-09,0.118
NYSE,GDF,2003-12-12,0.118
NYSE,GDF,2003-11-14,0.118
NYSE,GDF,2003-10-10,0.118
NYSE,GDF,2003-09-12,0.118
NYSE,GDF,2003-08-08,0.118
NYSE,GDF,2003-07-11,0.118
NYSE,GDF,2003-06-13,0.118
NYSE,GDF,2003-05-09,0.119
NYSE,GDF,2003-04-11,0.118
NYSE,GDF,2003-03-14,0.118
NYSE,GDF,2003-02-14,0.118
NYSE,GDF,2003-01-10,0.118
NYSE,GDF,2002-12-13,0.118
NYSE,GDF,2002-11-08,0.118
NYSE,GDF,2002-10-11,0.118
NYSE,GDF,2002-09-13,0.118
NYSE,GDF,2002-08-09,0.119
NYSE,GDF,2002-07-12,0.119
NYSE,GDF,2002-06-14,0.118
NYSE,GDF,2002-05-10,0.119
NYSE,GDF,2002-04-12,0.119
