exchange,stock_symbol,date,dividends
NYSE,HMY,2009-09-16,0.064
NYSE,HMY,2004-09-01,0.046
NYSE,HMY,2004-03-03,0.056
NYSE,HMY,2003-09-03,0.201
NYSE,HMY,2003-02-26,0.145
NYSE,HMY,2002-08-28,0.401
NYSE,HMY,2002-02-13,0.066
NYSE,HMY,2001-08-15,0.085
NYSE,HMY,2001-02-14,0.064
NYSE,HMY,2000-08-02,0.101
NYSE,HMY,2000-02-09,0.04
NYSE,HMY,1999-08-04,0.04
NYSE,HRL,2010-01-20,0.21
NYSE,HRL,2009-10-21,0.19
NYSE,HRL,2009-07-15,0.19
NYSE,HRL,2009-04-15,0.19
NYSE,HRL,2009-01-21,0.19
NYSE,HRL,2008-10-15,0.185
NYSE,HRL,2008-07-16,0.185
NYSE,HRL,2008-04-16,0.185
NYSE,HRL,2008-01-16,0.185
NYSE,HRL,2007-10-17,0.15
NYSE,HRL,2007-07-18,0.15
NYSE,HRL,2007-04-18,0.15
NYSE,HRL,2007-01-17,0.15
NYSE,HRL,2006-10-18,0.14
NYSE,HRL,2006-07-19,0.14
NYSE,HRL,2006-04-19,0.14
NYSE,HRL,2006-01-18,0.14
NYSE,HRL,2005-10-19,0.13
NYSE,HRL,2005-07-20,0.13
NYSE,HRL,2005-04-20,0.13
NYSE,HRL,2005-01-19,0.13
NYSE,HRL,2004-10-20,0.113
NYSE,HRL,2004-07-21,0.113
NYSE,HRL,2004-04-14,0.113
NYSE,HRL,2004-01-21,0.113
NYSE,HRL,2003-10-15,0.105
NYSE,HRL,2003-07-16,0.105
NYSE,HRL,2003-04-15,0.105
NYSE,HRL,2003-01-15,0.105
NYSE,HRL,2002-10-16,0.098
NYSE,HRL,2002-07-17,0.098
NYSE,HRL,2002-04-17,0.098
NYSE,HRL,2002-01-16,0.098
NYSE,HRL,2001-07-18,0.093
NYSE,HRL,2001-04-18,0.093
NYSE,HRL,2001-01-17,0.093
NYSE,HRL,2000-10-18,0.088
NYSE,HRL,2000-07-19,0.088
NYSE,HRL,2000-04-18,0.088
NYSE,HRL,2000-01-19,0.0875
NYSE,HRL,1999-10-20,0.0825
NYSE,HRL,1999-07-21,0.0825
NYSE,HRL,1999-04-14,0.0825
NYSE,HRL,1999-01-20,0.0825
NYSE,HRL,1998-10-21,0.08
