exchange,stock_symbol,date,dividends
NYSE,JAH,2009-12-30,0.075
NYSE,JAH,2009-09-29,0.075
NYSE,JGT,2009-12-11,0.377
NYSE,JGT,2009-09-11,0.377
NYSE,JGT,2009-06-11,0.377
NYSE,JGT,2009-03-11,0.377
NYSE,JGT,2008-12-11,0.377
NYSE,JGT,2008-09-11,0.451
NYSE,JGT,2008-06-11,0.451
NYSE,JGT,2008-03-12,0.451
NYSE,JGT,2007-12-12,0.451
NYSE,JGT,2007-09-12,0.451
NYSE,JGT,2007-06-13,0.451
NYSE,JKG,2009-12-24,0.327
NYSE,JKG,2009-09-23,0.223
NYSE,JKG,2009-06-23,0.177
NYSE,JKG,2009-03-25,0.171
NYSE,JKG,2008-12-29,0.077
NYSE,JKG,2008-12-24,0.34
NYSE,JKG,2008-06-24,0.199
NYSE,JKG,2007-09-26,0.115
NYSE,JKG,2007-06-29,0.169
NYSE,JKG,2006-06-23,0.15
NYSE,JKG,2005-12-23,0.273
NYSE,JRO,2010-01-13,0.062
NYSE,JRO,2009-12-11,0.062
NYSE,JRO,2009-11-10,0.055
NYSE,JRO,2009-10-13,0.055
NYSE,JRO,2009-09-11,0.055
NYSE,JRO,2009-08-12,0.05
NYSE,JRO,2009-07-13,0.05
NYSE,JRO,2009-06-11,0.05
NYSE,JRO,2009-05-13,0.05
NYSE,JRO,2009-04-13,0.05
NYSE,JRO,2009-03-11,0.05
NYSE,JRO,2009-02-11,0.065
NYSE,JRO,2009-01-13,0.065
NYSE,JRO,2008-12-11,0.065
NYSE,JRO,2008-11-12,0.065
NYSE,JRO,2008-10-10,0.065
NYSE,JRO,2008-09-11,0.069
NYSE,JRO,2008-08-13,0.08
NYSE,JRO,2008-07-11,0.08
NYSE,JRO,2008-06-11,0.08
NYSE,JRO,2008-05-13,0.086
NYSE,JRO,2008-04-11,0.086
NYSE,JRO,2008-03-12,0.086
NYSE,JRO,2008-02-13,0.102
NYSE,JRO,2008-01-11,0.102
NYSE,JRO,2007-12-12,0.102
NYSE,JRO,2007-11-13,0.105
NYSE,JRO,2007-10-11,0.105
NYSE,JRO,2007-09-12,0.105
NYSE,JRO,2007-08-13,0.105
NYSE,JRO,2007-07-11,0.105
NYSE,JRO,2007-06-13,0.105
NYSE,JRO,2007-05-11,0.105
NYSE,JRO,2007-04-11,0.105
NYSE,JRO,2007-03-13,0.105
NYSE,JRO,2007-02-13,0.102
NYSE,JRO,2007-01-10,0.102
NYSE,JRO,2006-12-13,0.102
NYSE,JRO,2006-11-13,0.099
NYSE,JRO,2006-10-11,0.099
NYSE,JRO,2006-09-13,0.099
NYSE,JRO,2006-08-11,0.095
NYSE,JRO,2006-07-12,0.095
NYSE,JRO,2006-06-13,0.095
NYSE,JRO,2006-05-11,0.09
NYSE,JRO,2006-04-11,0.09
NYSE,JRO,2006-03-13,0.09
NYSE,JRO,2006-02-13,0.085
NYSE,JRO,2006-01-11,0.085
NYSE,JRO,2005-12-13,0.085
NYSE,JRO,2005-11-10,0.08
NYSE,JRO,2005-10-12,0.08
NYSE,JRO,2005-09-13,0.08
NYSE,JRO,2005-08-11,0.076
NYSE,JRO,2005-07-13,0.076
NYSE,JRO,2005-06-13,0.076
NYSE,JRO,2005-05-11,0.076
NYSE,JRO,2005-04-13,0.076
NYSE,JRO,2005-03-11,0.076
NYSE,JRO,2005-02-11,0.076
NYSE,JRO,2005-01-12,0.076
NYSE,JRO,2004-12-13,0.076
NYSE,JRO,2004-11-10,0.076
NYSE,JKJ,2009-12-24,0.297
NYSE,JKJ,2009-09-23,0.137
NYSE,JKJ,2009-06-23,0.077
NYSE,JKJ,2009-03-25,0.116
NYSE,JKJ,2008-12-29,0.023
NYSE,JKJ,2008-12-24,0.267
NYSE,JKJ,2007-09-26,0.116
NYSE,JKJ,2007-06-29,0.288
NYSE,JKJ,2006-06-23,0.087
NYSE,JKJ,2005-12-23,0.249
NYSE,JFC,2009-12-03,0.062
NYSE,JFC,2007-12-05,5.228
NYSE,JFC,2006-12-01,0.033
NYSE,JFC,2006-07-28,0.058
NYSE,JFC,2005-12-30,0.06
NYSE,JFC,2000-12-15,0.01
NYSE,JFC,1999-12-15,0.04
NYSE,JFC,1998-12-15,0.01
NYSE,JFC,1997-12-15,0.04
NYSE,JFC,1996-12-16,0.02
NYSE,JFC,1996-12-04,0.022
NYSE,JFC,1995-12-04,0.07
NYSE,JFC,1995-05-24,0.012
NYSE,JFC,1994-12-22,0.028
NYSE,JFC,1994-06-01,1.45
NYSE,JFC,1993-12-10,1.69
NYSE,JFC,1993-11-23,1.69
NYSE,JFC,1993-06-03,0.04
NYSE,JFC,1992-12-21,0.07
NYSE,JMP,2009-11-18,0.01
NYSE,JMP,2009-08-19,0.01
NYSE,JMP,2009-05-20,0.01
NYSE,JMP,2009-03-18,0.01
NYSE,JMP,2008-11-25,0.05
NYSE,JMP,2008-08-27,0.05
NYSE,JMP,2008-05-28,0.05
NYSE,JMP,2008-03-26,0.05
NYSE,JMP,2007-11-28,0.05
NYSE,JMP,2007-08-21,0.025
NYSE,JCP,2010-01-06,0.2
NYSE,JCP,2009-10-07,0.2
NYSE,JCP,2009-07-08,0.2
NYSE,JCP,2009-04-07,0.2
NYSE,JCP,2009-01-07,0.2
NYSE,JCP,2008-10-08,0.2
NYSE,JCP,2008-07-08,0.2
NYSE,JCP,2008-04-08,0.2
NYSE,JCP,2008-01-08,0.2
NYSE,JCP,2007-10-05,0.2
NYSE,JCP,2007-07-06,0.2
NYSE,JCP,2007-04-05,0.2
NYSE,JCP,2007-01-08,0.18
NYSE,JCP,2006-10-05,0.18
NYSE,JCP,2006-04-06,0.18
NYSE,JCP,2006-01-06,0.125
NYSE,JCP,2005-10-05,0.125
NYSE,JCP,2005-07-06,0.125
