exchange,stock_symbol,date,dividends
NYSE,MWV,2010-02-02,0.23
NYSE,MWV,2009-11-24,0.23
NYSE,MWV,2009-07-30,0.23
NYSE,MWV,2009-05-05,0.23
NYSE,MWV,2009-02-03,0.23
NYSE,MWV,2008-11-25,0.23
NYSE,MWV,2008-07-30,0.23
NYSE,MWV,2008-05-06,0.23
NYSE,MWV,2008-02-05,0.23
NYSE,MWV,2007-11-07,0.23
NYSE,MWV,2007-08-01,0.23
NYSE,MWV,2007-05-08,0.23
NYSE,MWV,2007-01-31,0.23
NYSE,MWV,2006-11-01,0.23
NYSE,MWV,2006-08-02,0.23
NYSE,MWV,2006-05-03,0.23
NYSE,MWV,2006-02-01,0.23
NYSE,MWV,2005-11-02,0.23
NYSE,MWV,2005-08-03,0.23
NYSE,MWV,2005-05-04,0.23
NYSE,MWV,2005-02-02,0.23
NYSE,MWV,2004-11-03,0.23
NYSE,MWV,2004-08-04,0.23
NYSE,MWV,2004-05-05,0.23
NYSE,MWV,2004-02-04,0.23
NYSE,MWV,2003-11-06,0.23
NYSE,MWV,2003-07-30,0.23
NYSE,MWV,2003-04-30,0.23
NYSE,MWV,2003-02-05,0.23
NYSE,MWV,2002-11-06,0.23
NYSE,MWV,2002-07-31,0.23
NYSE,MWV,2002-05-01,0.23
NYSE,MWV,2002-02-07,0.23
NYSE,MWV,2001-12-05,0.22
NYSE,MWV,2001-09-05,0.22
NYSE,MWV,2001-05-30,0.22
NYSE,MWV,2001-03-07,0.22
NYSE,MWV,2000-12-06,0.22
NYSE,MWV,2000-08-30,0.22
NYSE,MWV,2000-05-31,0.22
NYSE,MWV,2000-03-01,0.22
NYSE,MWV,1999-12-01,0.22
NYSE,MWV,1999-09-01,0.22
NYSE,MWV,1999-06-02,0.22
NYSE,MWV,1999-03-03,0.22
NYSE,MWV,1998-12-02,0.22
NYSE,MWV,1998-09-02,0.22
NYSE,MWV,1998-06-03,0.22
NYSE,MWV,1998-03-04,0.22
NYSE,MWV,1997-12-03,0.22
NYSE,MWV,1997-09-03,0.22
NYSE,MWV,1997-06-04,0.22
NYSE,MWV,1997-03-05,0.22
NYSE,MWV,1996-12-04,0.22
NYSE,MWV,1996-09-04,0.22
NYSE,MWV,1996-06-05,0.22
NYSE,MWV,1996-03-06,0.22
NYSE,MWV,1995-12-06,0.22
NYSE,MWV,1995-08-30,0.22
NYSE,MWV,1995-05-26,0.18333
NYSE,MWV,1995-03-06,0.18333
NYSE,MWV,1994-11-30,0.18333
NYSE,MWV,1994-08-30,0.18333
NYSE,MWV,1994-06-01,0.18333
NYSE,MWV,1994-03-02,0.18333
NYSE,MWV,1993-12-01,0.18333
NYSE,MWV,1993-08-31,0.18333
NYSE,MWV,1993-06-02,0.18333
NYSE,MWV,1993-03-03,0.18333
NYSE,MWV,1992-12-02,0.18333
NYSE,MWV,1992-09-01,0.18333
NYSE,MWV,1992-06-03,0.18333
NYSE,MWV,1992-03-04,0.18333
NYSE,MWV,1991-12-05,0.18333
NYSE,MWV,1991-09-05,0.18333
NYSE,MWV,1991-06-05,0.17467
NYSE,MWV,1991-03-06,0.17467
NYSE,MWV,1990-12-05,0.17467
NYSE,MWV,1990-09-06,0.17467
NYSE,MWV,1990-05-31,0.16667
NYSE,MWV,1990-03-07,0.16667
NYSE,MWV,1989-12-06,0.16667
NYSE,MWV,1989-08-30,0.16667
NYSE,MWV,1989-06-01,0.15333
NYSE,MWV,1989-03-08,0.15333
NYSE,MWV,1988-12-02,0.15333
NYSE,MWV,1988-09-01,0.15333
NYSE,MWV,1988-06-03,0.13333
NYSE,MWV,1988-03-03,0.13333
NYSE,MWV,1987-12-03,0.13333
NYSE,MWV,1987-09-02,0.08889
NYSE,MWV,1987-06-04,0.11111
NYSE,MWV,1987-03-05,0.11111
NYSE,MWV,1986-12-04,0.11111
NYSE,MWV,1986-09-04,0.11111
NYSE,MWV,1986-06-05,0.09778
NYSE,MWV,1986-03-06,0.09778
NYSE,MWV,1985-12-05,0.09778
NYSE,MWV,1985-09-05,0.09778
NYSE,MYI,2010-01-13,0.061
NYSE,MYI,2009-12-11,0.061
NYSE,MYI,2009-11-10,0.061
NYSE,MYI,2009-10-13,0.061
NYSE,MYI,2009-09-11,0.061
NYSE,MYI,2009-08-12,0.061
NYSE,MYI,2009-07-13,0.061
NYSE,MYI,2009-06-11,0.061
NYSE,MYI,2009-05-13,0.056
NYSE,MYI,2009-04-13,0.056
NYSE,MYI,2009-03-12,0.056
NYSE,MYI,2009-02-11,0.056
NYSE,MYI,2009-01-13,0.056
NYSE,MYI,2008-12-11,0.056
NYSE,MYI,2008-11-12,0.056
NYSE,MYI,2008-10-10,0.056
NYSE,MYI,2008-09-11,0.056
NYSE,MYI,2008-08-13,0.056
NYSE,MYI,2008-07-11,0.056
NYSE,MYI,2008-06-12,0.056
NYSE,MYI,2008-05-13,0.056
