exchange,stock_symbol,date,dividends
NYSE,RKT,2010-02-05,0.15
NYSE,RKT,2009-11-06,0.15
NYSE,RKT,2009-08-07,0.1
NYSE,RKT,2009-05-01,0.1
NYSE,RKT,2009-02-06,0.1
NYSE,RKT,2008-11-06,0.1
NYSE,RKT,2008-08-01,0.1
NYSE,RKT,2008-05-02,0.1
NYSE,RKT,2008-02-01,0.1
NYSE,RKT,2007-11-08,0.1
NYSE,RKT,2007-08-03,0.1
NYSE,RKT,2007-05-04,0.1
NYSE,RKT,2007-02-02,0.1
NYSE,RKT,2006-11-10,0.09
NYSE,RKT,2006-08-04,0.09
NYSE,RKT,2006-05-05,0.09
NYSE,RKT,2006-02-03,0.09
NYSE,RKT,2005-11-18,0.09
NYSE,RKT,2005-07-29,0.09
NYSE,RKT,2005-04-29,0.09
NYSE,RKT,2005-02-04,0.09
NYSE,RKT,2004-11-05,0.09
NYSE,RKT,2004-07-30,0.085
NYSE,RKT,2004-04-30,0.085
NYSE,RKT,2004-01-30,0.085
NYSE,RKT,2003-11-06,0.085
NYSE,RKT,2003-07-31,0.08
NYSE,RKT,2003-05-02,0.08
NYSE,RKT,2003-01-31,0.08
NYSE,RKT,2002-11-01,0.08
NYSE,RKT,2002-08-02,0.075
NYSE,RKT,2002-05-03,0.075
NYSE,RKT,2002-02-01,0.075
NYSE,RKT,2001-11-02,0.075
NYSE,RKT,2001-08-03,0.075
NYSE,RKT,2001-05-04,0.075
NYSE,RKT,2001-02-02,0.075
NYSE,RKT,2000-11-02,0.075
NYSE,RKT,2000-08-04,0.075
NYSE,RKT,2000-05-05,0.075
NYSE,RKT,2000-02-04,0.075
NYSE,RKT,1999-11-04,0.075
NYSE,RKT,1999-07-30,0.075
NYSE,RKT,1999-04-29,0.075
NYSE,RKT,1999-02-04,0.075
NYSE,RKT,1998-10-29,0.075
NYSE,RKT,1998-07-30,0.075
NYSE,RKT,1998-04-30,0.075
NYSE,RKT,1998-01-29,0.075
NYSE,RKT,1997-10-30,0.075
NYSE,RKT,1997-07-31,0.075
NYSE,RKT,1997-05-01,0.075
NYSE,RKT,1997-01-30,0.075
NYSE,RKT,1996-10-31,0.075
NYSE,RKT,1996-08-01,0.06818
NYSE,RKT,1996-05-02,0.06818
NYSE,RKT,1996-02-01,0.06818
NYSE,RKT,1995-11-02,0.06818
NYSE,RKT,1995-08-03,0.06818
NYSE,RKT,1995-05-02,0.06818
NYSE,RKT,1995-01-31,0.06818
NYSE,RKT,1994-11-01,0.06818
NYSE,RKT,1994-08-02,0.06818
NYSE,RKT,1994-05-03,0.03455
NYSE,RAI,2009-12-08,0.9
NYSE,RAI,2009-09-08,0.85
NYSE,RAI,2009-06-08,0.85
NYSE,RAI,2009-03-06,0.85
NYSE,RAI,2008-12-11,0.85
NYSE,RAI,2008-09-08,0.85
NYSE,RAI,2008-06-06,0.85
NYSE,RAI,2008-03-06,0.85
NYSE,RAI,2007-12-07,0.85
NYSE,RAI,2007-09-06,0.85
NYSE,RAI,2007-06-07,0.75
NYSE,RAI,2007-03-13,0.75
NYSE,RAI,2006-12-07,0.75
NYSE,RAI,2006-09-07,0.75
NYSE,RAI,2006-06-07,0.625
NYSE,RAI,2006-03-08,0.625
NYSE,RAI,2005-12-07,0.625
NYSE,RAI,2005-09-07,0.525
NYSE,RAI,2005-06-14,0.475
NYSE,RAI,2005-03-08,0.475
NYSE,RAI,2004-12-08,0.475
NYSE,RAI,2004-09-08,0.475
NYSE,RAI,2004-06-08,0.475
NYSE,RAI,2004-03-08,0.475
NYSE,RAI,2003-12-17,0.475
NYSE,RAI,2003-09-08,0.475
NYSE,RAI,2003-06-06,0.475
NYSE,RAI,2003-03-07,0.475
NYSE,RAI,2002-12-18,0.475
NYSE,RAI,2002-09-06,0.475
NYSE,RAI,2002-06-14,0.475
NYSE,RAI,2002-03-07,0.4375
NYSE,RAI,2001-12-13,0.4375
NYSE,RAI,2001-09-06,0.4375
NYSE,RAI,2001-06-14,0.3875
NYSE,RAI,2001-03-07,0.3875
NYSE,RAI,2000-12-07,0.3875
NYSE,RAI,2000-09-14,0.3875
NYSE,RAI,2000-06-07,0.3875
NYSE,RAI,2000-03-08,0.3875
NYSE,RAI,1999-12-08,0.3875
NYSE,RAI,1999-09-08,0.3875
NYSE,RCL,2008-09-11,0.15
NYSE,RCL,2008-06-04,0.15
NYSE,RCL,2008-03-13,0.15
NYSE,RCL,2007-12-26,0.15
NYSE,RCL,2007-09-26,0.15
NYSE,RCL,2007-06-15,0.15
NYSE,RCL,2007-02-27,0.15
NYSE,RCL,2006-12-20,0.15
NYSE,RCL,2006-09-27,0.15
NYSE,RCL,2006-06-07,0.15
NYSE,RCL,2006-02-27,0.15
NYSE,RCL,2005-12-14,0.15
NYSE,RCL,2005-09-22,0.15
NYSE,RCL,2005-06-08,0.13
NYSE,RCL,2005-02-25,0.13
NYSE,RCL,2004-12-21,0.13
NYSE,RCL,2004-09-09,0.13
NYSE,RCL,2004-05-27,0.13
NYSE,RCL,2004-02-26,0.13
NYSE,RCL,2003-12-17,0.13
NYSE,RCL,2003-09-24,0.13
NYSE,RCL,2003-06-02,0.13
NYSE,RCL,2003-02-27,0.13
NYSE,RCL,2002-12-11,0.13
NYSE,RCL,2002-09-13,0.13
NYSE,RCL,2002-06-03,0.13
NYSE,RCL,2002-03-14,0.13
NYSE,RCL,2001-12-13,0.13
NYSE,RCL,2001-06-04,0.13
NYSE,RCL,2001-02-27,0.13
NYSE,RCL,2000-12-15,0.13
NYSE,RCL,2000-09-14,0.13
NYSE,RCL,2000-06-05,0.11
NYSE,RCL,2000-02-28,0.11
NYSE,RCL,1999-12-01,0.11
NYSE,RCL,1999-09-09,0.11
NYSE,RCL,1999-05-28,0.09
NYSE,RCL,1999-04-28,0.091
NYSE,RCL,1999-02-25,0.09
NYSE,RCL,1998-12-16,0.09
NYSE,RCL,1998-08-28,0.09
NYSE,RCL,1998-05-29,0.075
NYSE,RCL,1998-02-26,0.075
NYSE,RCL,1997-12-17,0.075
NYSE,RCL,1997-08-28,0.075
NYSE,RCL,1997-05-29,0.07
NYSE,RCL,1997-03-06,0.07
NYSE,RCL,1996-11-27,0.07
NYSE,RCL,1996-09-12,0.07
NYSE,RCL,1996-05-28,0.065
NYSE,RCL,1996-02-28,0.065
NYSE,RCL,1995-11-29,0.065
NYSE,RCL,1995-08-30,0.0575
NYSE,RCL,1995-05-25,0.055
NYSE,RCL,1995-02-23,0.055
NYSE,RCL,1994-11-25,0.055
NYSE,RCL,1994-08-26,0.055
NYSE,RCL,1994-05-25,0.045
NYSE,RCL,1994-02-23,0.045
NYSE,RCL,1993-11-24,0.045
NYSE,RCL,1993-08-26,0.09
NYSE,RF,2009-12-14,0.01
NYSE,RF,2009-09-15,0.01
NYSE,RF,2009-06-15,0.01
NYSE,RF,2009-03-16,0.1
NYSE,RF,2008-12-15,0.1
NYSE,RF,2008-09-15,0.1
NYSE,RF,2008-06-13,0.38
NYSE,RF,2008-03-14,0.38
NYSE,RF,2007-12-17,0.38
NYSE,RF,2007-09-13,0.36
NYSE,RF,2007-06-14,0.36
NYSE,RF,2007-03-15,0.36
NYSE,RF,2006-12-19,0.36
NYSE,RF,2006-10-30,0.35
NYSE,RF,2006-07-28,0.35
NYSE,RF,2006-04-27,0.35
NYSE,RF,2006-01-30,0.35
NYSE,RF,2005-10-28,0.34
NYSE,RF,2005-07-28,0.34
NYSE,RF,2005-04-28,0.34
NYSE,RF,2005-01-28,0.34
NYSE,RF,2004-10-28,0.333
NYSE,RF,2004-07-29,0.333
NYSE,RF,2004-06-15,0.413
NYSE,RF,2004-03-16,0.412
NYSE,RF,2003-12-17,0.32
NYSE,RF,2003-09-11,0.32
NYSE,RF,2003-06-11,0.3
NYSE,RF,2003-03-12,0.3
NYSE,RF,2002-12-11,0.29
NYSE,RF,2002-09-11,0.29
NYSE,RF,2002-06-12,0.29
NYSE,RF,2002-03-13,0.29
NYSE,RF,2001-12-12,0.28
NYSE,RF,2001-06-13,0.28
NYSE,RF,2001-03-14,0.28
NYSE,RF,2000-12-13,0.27
NYSE,RF,2000-06-14,0.27
NYSE,RF,2000-03-15,0.27
NYSE,RF,1999-12-14,0.25
NYSE,RF,1999-09-13,0.25
NYSE,RF,1999-06-15,0.25
NYSE,RF,1999-03-16,0.25
NYSE,RF,1998-12-15,0.23
NYSE,RF,1998-09-15,0.23
NYSE,RF,1998-06-15,0.23
NYSE,RF,1998-03-18,0.23
NYSE,RF,1997-12-11,0.2
NYSE,RF,1997-09-11,0.2
NYSE,RF,1997-06-12,0.2
NYSE,RF,1997-03-12,0.2
NYSE,RF,1996-12-11,0.175
NYSE,RF,1996-09-11,0.175
NYSE,RF,1996-06-12,0.175
NYSE,RF,1996-03-13,0.175
NYSE,RF,1995-12-13,0.165
NYSE,RF,1995-09-13,0.165
NYSE,RF,1995-06-14,0.165
NYSE,RF,1995-03-13,0.165
NYSE,RF,1994-12-12,0.15
NYSE,RF,1994-09-12,0.15
NYSE,RF,1994-06-13,0.15
NYSE,RF,1994-03-11,0.15
NYSE,RF,1993-12-13,0.13
NYSE,RF,1993-09-09,0.13
NYSE,RF,1993-06-11,0.13
NYSE,RF,1993-03-01,0.1135
NYSE,RF,1992-12-09,0.125
NYSE,RF,1992-09-09,0.125
NYSE,RF,1992-06-09,0.125
NYSE,RF,1992-03-09,0.125
NYSE,RF,1991-12-09,0.12
NYSE,RF,1991-09-09,0.12
NYSE,RF,1991-03-11,0.12
NYSE,RF,1990-12-10,0.115
NYSE,RF,1990-06-11,0.115
NYSE,REG,2009-11-16,0.463
NYSE,REG,2009-08-17,0.463
NYSE,REG,2009-05-18,0.463
NYSE,REG,2009-02-13,0.725
NYSE,REG,2008-11-17,0.725
NYSE,REG,2008-08-18,0.725
NYSE,REG,2008-05-19,0.725
NYSE,REG,2008-02-15,0.725
