exchange,stock_symbol,date,dividends
NYSE,SBS,2009-05-29,0.576
NYSE,SBS,2009-01-27,0.357
NYSE,SBS,2006-12-28,0.578
NYSE,SBS,2006-05-04,0.537
NYSE,SBS,2005-12-29,0.596
NYSE,SBS,2005-07-07,0.248
NYSE,SBS,2005-05-10,0.133
NYSE,SBS,2005-02-11,0.091
NYSE,SBS,2004-12-30,0.278
NYSE,SBS,2004-03-16,0.119
NYSE,SBS,2004-01-14,0.588
NYSE,SBS,2003-12-11,0.462
NYSE,SBS,2003-06-12,0.348
NYSE,SBS,2003-05-06,0.117
NYSE,SBS,2002-06-25,0.343
NYSE,SVU,2009-11-27,0.175
NYSE,SVU,2009-08-28,0.175
NYSE,SVU,2009-05-28,0.173
NYSE,SVU,2009-02-26,0.173
NYSE,SVU,2008-11-26,0.173
NYSE,SVU,2008-08-28,0.173
NYSE,SVU,2008-05-29,0.17
NYSE,SVU,2008-02-28,0.17
NYSE,SVU,2007-11-29,0.17
NYSE,SVU,2007-08-29,0.17
NYSE,SVU,2007-05-30,0.165
NYSE,SVU,2007-02-27,0.165
NYSE,SVU,2006-11-29,0.165
NYSE,SVU,2006-08-30,0.165
NYSE,SVU,2006-05-26,0.163
NYSE,SVU,2006-02-27,0.163
NYSE,SVU,2005-11-29,0.163
NYSE,SVU,2005-08-30,0.163
NYSE,SVU,2005-05-27,0.153
NYSE,SVU,2005-02-25,0.153
NYSE,SVU,2004-11-29,0.153
NYSE,SVU,2004-08-30,0.153
NYSE,SVU,2004-05-27,0.145
NYSE,SVU,2004-02-26,0.145
NYSE,SVU,2003-11-26,0.145
NYSE,SVU,2003-08-28,0.145
NYSE,SVU,2003-05-29,0.143
NYSE,SVU,2003-02-26,0.143
NYSE,SVU,2002-11-26,0.143
NYSE,SVU,2002-08-28,0.143
NYSE,SVU,2002-05-30,0.14
NYSE,SVU,2002-02-27,0.14
NYSE,SVU,2001-11-29,0.14
NYSE,SVU,2001-08-29,0.14
NYSE,SVU,2001-05-30,0.138
NYSE,SVU,2001-02-27,0.138
NYSE,SVU,2000-11-29,0.138
NYSE,SVU,2000-08-30,0.138
NYSE,SVU,2000-05-30,0.135
NYSE,SVU,2000-02-28,0.135
NYSE,SVU,1999-11-29,0.135
NYSE,SVU,1999-08-11,0.135
NYSE,SVU,1999-05-27,0.132
NYSE,SVU,1999-02-25,0.132
NYSE,SVU,1998-11-27,0.132
NYSE,SVU,1998-08-28,0.132
NYSE,SVU,1998-05-28,0.13
NYSE,SVU,1998-02-26,0.13
NYSE,SVU,1997-11-26,0.13
NYSE,SVU,1997-08-27,0.13
NYSE,SVU,1997-05-29,0.125
NYSE,SVU,1997-02-27,0.125
NYSE,SVU,1996-11-27,0.125
NYSE,SVU,1996-08-28,0.125
NYSE,SVU,1996-05-30,0.1225
NYSE,SVU,1996-02-28,0.1225
NYSE,SVU,1995-11-29,0.1225
NYSE,SVU,1995-08-30,0.1225
NYSE,SVU,1995-05-25,0.1175
NYSE,SVU,1995-02-23,0.1175
NYSE,SVU,1994-11-25,0.1175
NYSE,SVU,1994-08-26,0.1175
NYSE,SVU,1994-05-25,0.11
NYSE,SVU,1994-02-23,0.11
NYSE,SVU,1993-11-24,0.11
NYSE,SVU,1993-08-26,0.11
NYSE,SVU,1993-05-25,0.0975
NYSE,SVU,1993-02-23,0.0975
NYSE,SVU,1992-11-24,0.0975
NYSE,SVU,1992-08-26,0.0975
NYSE,SVU,1992-05-26,0.09
NYSE,SVU,1992-02-24,0.09
NYSE,SVU,1991-11-22,0.09
NYSE,SVU,1991-08-26,0.09
NYSE,SVU,1991-05-24,0.0825
NYSE,SVU,1991-02-25,0.0825
NYSE,SVU,1990-11-26,0.0825
NYSE,SVU,1990-08-27,0.0825
NYSE,SVU,1990-05-25,0.075
NYSE,SVU,1990-02-23,0.075
NYSE,SVU,1989-11-27,0.075
NYSE,SVU,1989-08-28,0.075
NYSE,SVU,1989-05-25,0.0675
NYSE,SVU,1989-02-23,0.0625
NYSE,SVU,1988-11-25,0.0625
NYSE,SVU,1988-08-26,0.0625
NYSE,SVU,1988-05-25,0.055
NYSE,SVU,1988-02-24,0.055
NYSE,SVU,1987-11-24,0.055
NYSE,SVU,1987-08-26,0.055
NYSE,SVU,1987-05-26,0.0525
NYSE,SVU,1987-02-23,0.0525
NYSE,SVU,1986-11-24,0.0525
NYSE,SVU,1986-08-25,0.0525
NYSE,SVU,1986-05-23,0.0475
NYSE,SVU,1986-02-24,0.0475
NYSE,SVU,1985-11-22,0.0475
NYSE,SVU,1985-08-26,0.0475
NYSE,STI,2009-11-27,0.01
NYSE,STI,2009-08-28,0.01
NYSE,STI,2009-05-28,0.1
NYSE,STI,2009-02-26,0.1
NYSE,STI,2008-11-26,0.54
NYSE,STI,2008-08-28,0.77
NYSE,STI,2008-05-29,0.77
NYSE,STI,2008-02-27,0.77
NYSE,STI,2007-11-28,0.73
NYSE,STI,2007-08-29,0.73
NYSE,STI,2007-05-30,0.73
NYSE,STI,2007-02-27,0.73
NYSE,STI,2006-11-29,0.61
NYSE,STI,2006-08-30,0.61
NYSE,STI,2006-05-30,0.61
NYSE,STI,2006-02-27,0.61
NYSE,STI,2005-11-29,0.55
NYSE,STI,2005-08-30,0.55
NYSE,STI,2005-05-27,0.55
NYSE,STI,2005-02-25,0.55
NYSE,STI,2004-11-29,0.5
