exchange,stock_symbol,date,dividends
NYSE,UMC,2008-08-08,0.123
NYSE,UMC,2007-07-10,0.10239
NYSE,UMC,2006-08-02,0.05837
NYSE,UMC,2005-08-02,0.01531
NYSE,UMC,2002-08-05,0.12779
NYSE,UBP,2010-01-06,0.22
NYSE,UBP,2009-09-30,0.218
NYSE,UBP,2009-06-30,0.218
NYSE,UBP,2009-04-01,0.218
NYSE,UBP,2009-01-02,0.218
NYSE,UBP,2008-10-01,0.215
NYSE,UBP,2008-07-01,0.215
NYSE,UBP,2008-04-02,0.215
NYSE,UBP,2008-01-02,0.215
NYSE,UBP,2007-10-03,0.208
NYSE,UBP,2007-07-03,0.208
NYSE,UBP,2007-04-03,0.208
NYSE,UBP,2007-01-03,0.208
NYSE,UBP,2006-10-04,0.203
NYSE,UBP,2006-06-28,0.203
NYSE,UBP,2006-03-29,0.203
NYSE,UBP,2006-01-04,0.203
NYSE,UBP,2005-09-28,0.2
NYSE,UBP,2005-06-28,0.2
NYSE,UBP,2005-03-29,0.2
NYSE,UBP,2005-01-03,0.2
NYSE,UBP,2004-09-28,0.195
NYSE,UBP,2004-06-28,0.195
NYSE,UBP,2004-03-29,0.195
NYSE,UBP,2003-12-31,0.195
NYSE,UBP,2003-09-24,0.19
NYSE,UBP,2003-06-25,0.19
NYSE,UBP,2003-03-26,0.19
NYSE,UBP,2002-12-31,0.19
NYSE,UBP,2002-09-26,0.185
NYSE,UBP,2002-06-19,0.185
NYSE,UBP,2002-03-26,0.185
NYSE,UBP,2002-01-02,0.185
NYSE,UBP,2001-09-26,0.18
NYSE,UBP,2001-06-27,0.18
NYSE,UBP,2001-03-28,0.18
NYSE,UBP,2001-01-03,0.18
NYSE,UBP,2000-09-27,0.175
NYSE,UBP,2000-06-28,0.175
NYSE,UBP,2000-03-29,0.175
NYSE,UBP,2000-01-05,0.175
NYSE,UBP,1999-09-28,0.17
NYSE,UBP,1999-06-28,0.17
NYSE,UBP,1999-03-26,0.17
NYSE,UBP,1999-01-06,0.17
NYSE,UBP,1998-09-28,0.17
NYSE,UBP,1998-06-26,0.17
NYSE,UBP,1998-03-26,0.16
NYSE,UBP,1998-01-06,0.16
NYSE,UBP,1997-09-26,0.16
NYSE,UBP,1997-06-26,0.16
NYSE,UBP,1997-03-25,0.155
NYSE,UBP,1997-01-06,0.155
NYSE,UBP,1996-09-26,0.155
NYSE,UBP,1996-06-26,0.155
NYSE,UBP,1996-03-27,0.155
NYSE,UBP,1995-12-29,0.145
NYSE,UBP,1995-09-27,0.145
NYSE,UBP,1995-06-28,0.145
NYSE,UBP,1995-03-27,0.14
NYSE,UBP,1994-12-27,0.14
NYSE,UBP,1994-09-26,0.14
NYSE,UBP,1994-06-24,0.14
NYSE,UBP,1994-03-25,0.135
NYSE,UBP,1993-12-28,0.135
NYSE,UBP,1993-09-24,0.135
NYSE,UBP,1993-06-24,0.135
NYSE,UBP,1993-03-25,0.135
NYSE,UBP,1992-12-28,0.135
NYSE,UBP,1992-09-24,0.135
NYSE,UBP,1992-06-24,0.135
NYSE,UBP,1992-03-25,0.135
NYSE,UBP,1991-12-27,0.175
NYSE,UBP,1991-09-24,0.175
NYSE,UBP,1991-06-24,0.175
NYSE,UBP,1991-03-22,0.175
NYSE,UBP,1990-12-28,0.175
NYSE,UBP,1990-09-24,0.225
NYSE,UBP,1990-06-25,0.225
NYSE,UBP,1990-03-27,0.125
NYSE,UBP,1989-12-28,0.225
NYSE,UBP,1989-09-25,0.225
NYSE,UBP,1989-06-26,0.225
NYSE,UBP,1989-03-27,0.225
NYSE,UBP,1988-12-28,0.225
NYSE,UBP,1988-09-26,0.225
NYSE,UBP,1988-06-24,0.225
NYSE,UBP,1988-03-25,0.225
NYSE,UBP,1987-12-28,0.225
NYSE,UGP,2009-08-20,0.486
NYSE,UGP,2009-03-19,0.381
NYSE,UGP,2008-08-14,0.563
NYSE,UGP,2008-02-28,1.043
NYSE,UGP,2007-02-22,0.422
NYSE,UGP,2006-08-10,0.406
NYSE,UGP,2006-02-23,0.582
NYSE,UGP,2005-08-11,0.306
NYSE,UGP,2005-02-24,0.35
NYSE,UGP,2004-08-17,0.434
NYSE,UGP,2004-02-24,0.206
NYSE,UGP,2003-08-14,0.167
NYSE,UGP,2003-02-20,0.19
NYSE,UGP,2002-08-15,0.133
NYSE,UGP,2002-03-06,0.185
NYSE,UGP,2001-08-31,1.517
NYSE,UGP,2001-05-07,0.091
NYSE,UGP,2001-04-25,0.07
NYSE,UGP,2001-04-23,0.075
NYSE,UGP,2001-01-03,0.151
NYSE,UGP,2000-08-16,0.185
NYSE,UGP,2000-03-07,0.15
NYSE,UNS,2009-12-15,0.29
NYSE,UNS,2009-08-18,0.29
NYSE,UNS,2009-05-18,0.29
NYSE,UNS,2009-02-20,0.29
NYSE,UNS,2008-12-12,0.24
NYSE,UNS,2008-08-21,0.24
NYSE,UNS,2008-05-09,0.24
NYSE,UNS,2008-03-06,0.24
NYSE,UNS,2007-12-14,0.225
NYSE,UNS,2007-09-13,0.225
NYSE,UNS,2007-05-21,0.225
NYSE,UNS,2007-02-15,0.225
NYSE,UNS,2006-12-08,0.21
NYSE,UNS,2006-09-21,0.21
NYSE,UNS,2006-05-15,0.21
NYSE,UNS,2006-02-16,0.21
NYSE,UNS,2005-12-09,0.19
NYSE,UNS,2005-09-16,0.19
NYSE,UNS,2005-05-16,0.19
NYSE,UNS,2005-02-11,0.19
NYSE,UNS,2004-12-10,0.16
NYSE,UNS,2004-09-17,0.16
NYSE,UNS,2004-05-14,0.16
NYSE,UNS,2004-02-12,0.16
NYSE,UNS,2003-12-08,0.15
NYSE,UNS,2003-09-16,0.15
NYSE,UNS,2003-05-21,0.15
NYSE,UNS,2003-02-19,0.15
NYSE,UNS,2002-11-20,0.125
NYSE,UNS,2002-08-14,0.125
NYSE,UNS,2002-05-22,0.125
NYSE,UNS,2002-02-19,0.125
NYSE,UNS,2001-11-13,0.1
NYSE,UNS,2001-08-13,0.1
NYSE,UNS,2001-05-23,0.1
NYSE,UNS,2001-02-13,0.1
NYSE,UNS,2000-11-13,0.08
NYSE,UNS,2000-08-11,0.08
NYSE,UNS,2000-05-18,0.08
NYSE,UNS,2000-02-11,0.08
NYSE,UNS,1989-12-05,2.0
NYSE,UNS,1989-09-05,2.0
NYSE,UNS,1989-06-06,4.875
NYSE,UNS,1989-03-07,4.875
NYSE,UNS,1988-12-06,4.875
NYSE,UNS,1988-09-06,4.875
NYSE,UNS,1988-06-07,4.875
NYSE,UNS,1988-03-08,4.875
NYSE,UNS,1987-12-08,4.5
NYSE,UNS,1987-09-08,4.5
NYSE,UNS,1987-06-02,4.5
NYSE,UNS,1987-03-03,4.5
NYSE,UNS,1986-12-02,4.125
NYSE,UNS,1986-09-02,4.125
NYSE,UNS,1986-06-03,4.125
NYSE,UNS,1986-03-04,4.125
NYSE,UNS,1985-12-03,3.75
NYSE,UNS,1985-09-03,3.75
NYSE,UFI,1998-04-29,0.14
NYSE,UFI,1998-01-28,0.14
NYSE,UFI,1997-11-05,0.14
NYSE,UFI,1997-07-30,0.14
NYSE,UFI,1997-04-30,0.11
NYSE,UFI,1997-02-05,0.11
NYSE,UFI,1996-11-06,0.11
NYSE,UFI,1996-07-31,0.11
NYSE,UFI,1996-05-01,0.13
NYSE,UFI,1996-01-31,0.13
NYSE,UFI,1995-11-01,0.13
NYSE,UFI,1995-08-02,0.13
NYSE,UFI,1995-05-01,0.1
NYSE,UFI,1995-01-30,0.1
NYSE,UFI,1994-10-28,0.1
NYSE,UFI,1994-08-01,0.1
NYSE,UFI,1994-05-06,0.14
NYSE,UFI,1994-01-28,0.14
NYSE,UFI,1993-10-29,0.14
NYSE,UFI,1993-07-26,0.14
NYSE,UFI,1993-05-04,0.11
NYSE,UFI,1993-02-01,0.11
NYSE,UFI,1992-10-30,0.1
NYSE,UFI,1992-07-24,0.1
NYSE,UFI,1992-04-30,0.1
NYSE,UFI,1992-01-27,0.08
NYSE,UFI,1991-11-04,0.08
NYSE,UFI,1991-08-13,0.08
NYSE,UFI,1991-05-07,0.05333
NYSE,UFI,1991-02-05,0.05333
NYSE,UFI,1990-11-05,0.05333
NYSE,UFI,1990-08-07,0.05333
NYSE,UIL,2009-12-16,0.432
NYSE,UIL,2009-09-15,0.432
NYSE,UIL,2009-06-15,0.432
NYSE,UIL,2009-03-16,0.432
NYSE,UIL,2008-12-10,0.432
NYSE,UIL,2008-09-10,0.432
NYSE,UIL,2008-06-10,0.432
NYSE,UIL,2008-03-11,0.432
NYSE,UIL,2007-12-03,0.432
NYSE,UIL,2007-09-04,0.432
NYSE,UIL,2007-06-01,0.432
NYSE,UIL,2007-03-02,0.432
NYSE,UIL,2006-12-04,0.432
NYSE,UIL,2006-09-01,0.72
NYSE,UIL,2006-06-02,0.432
NYSE,UIL,2006-03-03,0.432
NYSE,UIL,2005-12-05,0.432
NYSE,UIL,2005-09-02,0.432
NYSE,UIL,2005-06-03,0.432
NYSE,UIL,2005-03-04,0.432
NYSE,UIL,2004-12-07,0.432
NYSE,UIL,2004-09-03,0.432
NYSE,UIL,2004-06-03,0.432
NYSE,UIL,2004-03-05,0.432
NYSE,UIL,2003-12-05,0.432
NYSE,UIL,2003-09-04,0.432
NYSE,UIL,2003-06-05,0.432
NYSE,UIL,2003-03-06,0.432
NYSE,UIL,2002-12-05,0.432
NYSE,UIL,2002-09-04,0.432
NYSE,UIL,2002-06-05,0.432
NYSE,UIL,2002-03-07,0.432
NYSE,UIL,2001-12-05,0.432
NYSE,UIL,2001-09-05,0.432
NYSE,UIL,2001-06-06,0.432
NYSE,UIL,2001-03-08,0.432
NYSE,UIL,2000-12-05,0.432
NYSE,UIL,2000-09-05,0.432
NYSE,UIL,2000-06-06,0.432
NYSE,UIL,2000-03-07,0.432
NYSE,UIL,1999-12-07,0.432
NYSE,UIL,1999-09-02,0.432
NYSE,UIL,1999-06-08,0.432
NYSE,UIL,1999-03-09,0.432
NYSE,UIL,1998-12-08,0.432
NYSE,UIL,1998-09-08,0.432
NYSE,UIL,1998-06-09,0.432
NYSE,UIL,1998-03-10,0.432
NYSE,UIL,1997-12-09,0.432
NYSE,UIL,1997-09-09,0.432
NYSE,UIL,1997-06-10,0.432
NYSE,UIL,1997-03-11,0.432
NYSE,UIL,1996-12-10,0.432
NYSE,UIL,1996-09-10,0.432
NYSE,UIL,1996-06-11,0.432
NYSE,UIL,1996-03-11,0.432
NYSE,UIL,1995-12-05,0.423
NYSE,UIL,1995-09-05,0.423
NYSE,UIL,1995-05-30,0.423
NYSE,UIL,1995-03-07,0.423
NYSE,UIL,1994-12-06,0.414
NYSE,UIL,1994-08-30,0.414
NYSE,UIL,1994-05-31,0.414
NYSE,UIL,1994-03-08,0.414
NYSE,UIL,1993-11-30,0.399
NYSE,UIL,1993-08-31,0.399
NYSE,UIL,1993-06-01,0.399
NYSE,UIL,1993-03-02,0.399
NYSE,UIL,1992-12-01,0.384
NYSE,UIL,1992-09-01,0.384
NYSE,UIL,1992-05-26,0.384
NYSE,UIL,1992-03-03,0.384
NYSE,UIL,1991-12-03,0.366
NYSE,UIL,1991-09-03,0.366
NYSE,UIL,1991-05-28,0.366
NYSE,UIL,1991-03-05,0.366
NYSE,UIL,1990-12-04,0.348
NYSE,UIL,1990-09-04,0.348
NYSE,UIL,1990-05-29,0.348
NYSE,UIL,1990-03-06,0.348
NYSE,UIL,1989-12-05,0.348
NYSE,UIL,1989-09-05,0.348
NYSE,UIL,1989-05-30,0.348
NYSE,UIL,1989-03-02,0.348
NYSE,UIL,1988-11-29,0.348
NYSE,UIL,1988-08-30,0.348
NYSE,UIL,1988-05-31,0.348
NYSE,UIL,1988-03-01,0.348
NYSE,UIL,1987-12-01,0.285
NYSE,UIL,1987-09-01,0.348
NYSE,USU,2005-11-22,0.138
NYSE,USU,2005-08-24,0.138
NYSE,USU,2005-05-25,0.138
NYSE,USU,2005-02-23,0.138
NYSE,USU,2004-11-23,0.138
NYSE,USU,2004-08-25,0.138
NYSE,USU,2004-05-26,0.138
NYSE,USU,2004-02-25,0.138
NYSE,USU,2003-11-25,0.138
NYSE,USU,2003-08-20,0.138
NYSE,USU,2003-05-21,0.138
NYSE,USU,2003-02-26,0.138
NYSE,USU,2002-11-20,0.138
NYSE,USU,2002-08-21,0.138
NYSE,USU,2002-05-22,0.138
NYSE,USU,2002-02-20,0.138
NYSE,USU,2001-11-20,0.138
NYSE,USU,2001-08-22,0.138
NYSE,USU,2001-05-23,0.138
NYSE,USU,2001-02-21,0.138
NYSE,USU,2000-11-21,0.138
NYSE,USU,2000-08-23,0.138
NYSE,USU,2000-05-24,0.138
NYSE,USU,2000-02-23,0.138
NYSE,USU,1999-11-23,0.275
NYSE,USU,1999-08-25,0.275
NYSE,USU,1999-05-26,0.275
NYSE,USU,1999-02-24,0.275
NYSE,USU,1998-11-23,0.275
NYSE,UGI,2009-12-11,0.2
NYSE,UGI,2009-09-11,0.2
NYSE,UGI,2009-06-11,0.2
NYSE,UGI,2009-03-12,0.193
NYSE,UGI,2008-12-11,0.193
NYSE,UGI,2008-09-11,0.193
NYSE,UGI,2008-06-12,0.193
NYSE,UGI,2008-03-12,0.185
NYSE,UGI,2007-12-12,0.185
NYSE,UGI,2007-09-12,0.185
NYSE,UGI,2007-06-13,0.185
NYSE,UGI,2007-03-13,0.176
NYSE,UGI,2006-12-13,0.176
