exchange,stock_symbol,date,dividends
NYSE,XOM,2010-02-08,0.42
NYSE,XOM,2009-11-09,0.42
NYSE,XOM,2009-08-11,0.42
NYSE,XOM,2009-05-11,0.42
NYSE,XOM,2009-02-06,0.4
NYSE,XOM,2008-11-07,0.4
NYSE,XOM,2008-08-11,0.4
NYSE,XOM,2008-05-09,0.4
NYSE,XOM,2008-02-07,0.35
NYSE,XOM,2007-11-07,0.35
NYSE,XOM,2007-08-09,0.35
NYSE,XOM,2007-05-10,0.35
NYSE,XOM,2007-02-07,0.32
NYSE,XOM,2006-11-09,0.32
NYSE,XOM,2006-08-10,0.32
NYSE,XOM,2006-05-10,0.32
NYSE,XOM,2006-02-08,0.32
NYSE,XOM,2005-11-08,0.29
NYSE,XOM,2005-08-10,0.29
NYSE,XOM,2005-05-11,0.29
NYSE,XOM,2005-02-08,0.27
NYSE,XOM,2004-11-09,0.27
NYSE,XOM,2004-08-11,0.27
NYSE,XOM,2004-05-11,0.27
NYSE,XOM,2004-02-09,0.25
NYSE,XOM,2003-11-07,0.25
NYSE,XOM,2003-08-11,0.25
NYSE,XOM,2003-05-09,0.25
NYSE,XOM,2003-02-06,0.23
NYSE,XOM,2002-11-07,0.23
NYSE,XOM,2002-08-09,0.23
NYSE,XOM,2002-05-09,0.23
NYSE,XOM,2002-02-07,0.23
NYSE,XOM,2001-11-07,0.23
NYSE,XOM,2001-08-09,0.23
NYSE,XOM,2001-06-18,0.01
NYSE,XOM,2001-05-10,0.22
NYSE,XOM,2001-02-07,0.22
NYSE,XOM,2000-11-09,0.22
NYSE,XOM,2000-08-10,0.22
NYSE,XOM,2000-05-11,0.22
NYSE,XOM,2000-02-09,0.22
NYSE,XOM,1999-11-09,0.22
NYSE,XOM,1999-08-11,0.205
NYSE,XOM,1999-05-10,0.205
NYSE,XOM,1999-02-08,0.205
NYSE,XOM,1998-11-09,0.205
NYSE,XOM,1998-08-11,0.205
NYSE,XOM,1998-05-11,0.205
NYSE,XOM,1998-02-06,0.205
NYSE,XOM,1997-11-07,0.205
NYSE,XOM,1997-08-11,0.205
NYSE,XOM,1997-05-09,0.205
NYSE,XOM,1997-02-06,0.1975
NYSE,XOM,1996-11-07,0.1975
NYSE,XOM,1996-08-09,0.1975
NYSE,XOM,1996-05-09,0.1975
NYSE,XOM,1996-02-08,0.1875
NYSE,XOM,1995-11-09,0.1875
NYSE,XOM,1995-08-10,0.1875
NYSE,XOM,1995-05-09,0.1875
NYSE,XOM,1995-02-06,0.1875
NYSE,XOM,1994-11-07,0.1875
NYSE,XOM,1994-08-09,0.18
NYSE,XOM,1994-05-09,0.18
NYSE,XOM,1994-02-04,0.18
NYSE,XOM,1993-11-05,0.18
NYSE,XOM,1993-08-09,0.18
NYSE,XOM,1993-05-07,0.18
NYSE,XOM,1993-02-04,0.18
NYSE,XOM,1992-11-05,0.18
NYSE,XOM,1992-08-07,0.18
NYSE,XOM,1992-05-07,0.18
NYSE,XOM,1992-02-05,0.1675
NYSE,XOM,1991-11-05,0.1675
NYSE,XOM,1991-08-07,0.1675
NYSE,XOM,1991-05-07,0.1675
NYSE,XOM,1991-02-05,0.1675
NYSE,XOM,1990-11-05,0.1675
