aver,minval,maxval
15.83,7.0,32.0
18.63,13.0,27.0
25.08,13.0,42.0
85.5,33.0,205.0
61.17,29.0,176.0
139.96,30.0,413.0
146.17,33.0,333.0
118.83,11.0,402.0
61.92,15.0,305.0
248.29,56.0,488.0
361.25,146.0,456.0
568.57,174.0,886.0
416.26,236.0,731.0
299.5,68.0,523.0
114.96,58.0,227.0
112.0,25.0,269.0
75.79,19.0,285.0
276.83,82.0,603.0
189.42,71.0,371.0
107.25,53.0,169.0
147.83,72.0,198.0
198.88,37.0,453.0
378.08,255.0,439.0
19.42,10.0,32.0
73.96,31.0,135.0
161.38,94.0,229.0
312.96,258.0,387.0
406.38,348.0,510.0
429.78,316.0,526.0
277.92,199.0,315.0
173.5,111.0,276.0
34.58,9.0,155.0
49.08,9.0,114.0
188.88,126.0,239.0
37.54,12.0,217.0
93.42,49.0,156.0
93.75,5.0,234.0
12.67,6.0,27.0
60.33,9.0,174.0
188.58,71.0,512.0
59.83,10.0,419.0
65.29,17.0,124.0
119.13,38.0,197.0
315.04,229.0,392.0
70.3,7.0,374.0
40.54,11.0,77.0
145.38,75.0,271.0
124.04,8.0,296.0
22.38,9.0,52.0
32.96,5.0,90.0
83.42,8.0,140.0
212.67,66.0,339.0
85.08,8.0,322.0
149.0,54.0,426.0
332.88,240.0,532.0
159.46,111.0,226.0
216.42,143.0,415.0
245.71,23.0,415.0
221.13,6.0,525.0
10.5,4.0,27.0
48.83,8.0,157.0
101.0,19.0,162.0
25.09,4.0,80.0
183.42,98.0,302.0
226.04,187.0,267.0
318.46,195.0,516.0
222.17,87.0,410.0
64.46,10.0,141.0
42.13,15.0,88.0
126.58,94.0,164.0
147.21,67.0,194.0
22.04,10.0,71.0
112.78,75.0,182.0
257.54,174.0,405.0
265.22,199.0,347.0
351.29,216.0,541.0
52.71,6.0,517.0
56.17,22.0,105.0
64.92,28.0,119.0
157.63,91.0,224.0
64.5,14.0,166.0
55.17,5.0,97.0
23.33,9.0,71.0
113.65,74.0,150.0
196.54,110.0,240.0
92.71,15.0,204.0
37.08,7.0,120.0
95.92,58.0,127.0
94.58,72.0,122.0
200.46,105.0,259.0
95.67,6.0,259.0
116.78,13.0,176.0
123.46,32.0,243.0
83.29,38.0,122.0
61.5,8.0,122.0
15.13,5.0,36.0
79.96,43.0,126.0
19.29,10.0,59.0
11.42,6.0,22.0
12.46,6.0,26.0
18.91,5.0,49.0
51.71,29.0,74.0
59.25,8.0,132.0
30.83,4.0,63.0
68.43,42.0,102.0
61.32,27.0,96.0
47.13,27.0,72.0
11.79,4.0,41.0
54.63,28.0,77.0
78.54,63.0,105.0
130.88,89.0,164.0
171.58,114.0,236.0
206.29,134.0,275.0
78.88,4.0,241.0
17.25,5.0,95.0
72.42,38.0,115.0
72.71,45.0,122.0
71.71,11.0,96.0
30.04,11.0,81.0
21.42,9.0,70.0
45.71,24.0,83.0
82.92,52.0,103.0
64.13,44.0,96.0
86.63,54.0,139.0
186.29,134.0,284.0
214.29,82.0,320.0
178.96,127.0,251.0
124.29,35.0,272.0
49.71,17.0,73.0
48.75,9.0,116.0
53.21,17.0,115.0
48.92,10.0,122.0
104.5,50.0,264.0
62.83,15.0,196.0
67.5,37.0,126.0
68.75,37.0,124.0
108.8,71.0,132.0
85.88,29.0,162.0
54.5,13.0,102.0
48.63,16.0,118.0
101.54,65.0,153.0
62.71,29.0,98.0
87.08,29.0,164.0
115.54,29.0,249.0
63.83,32.0,86.0
103.46,47.0,143.0
76.54,55.0,111.0
83.39,44.0,122.0
20.42,9.0,42.0
59.38,37.0,91.0
91.63,44.0,117.0
73.17,22.0,151.0
155.71,60.0,244.0
131.79,53.0,189.0
129.88,71.0,203.0
146.96,69.0,225.0
153.75,99.0,207.0
137.17,94.0,165.0
174.79,134.0,221.0
56.75,12.0,169.0
32.21,16.0,48.0
61.96,20.0,107.0
67.96,24.0,113.0
107.42,75.0,134.0
108.17,70.0,143.0
125.71,69.0,203.0
174.46,131.0,209.0
35.83,8.0,101.0
53.71,23.0,86.0
51.5,16.0,94.0
91.95,30.0,212.0
77.58,28.0,165.0
59.79,37.0,108.0
68.83,32.0,113.0
108.79,45.0,248.0
127.38,50.0,189.0
157.75,86.0,277.0
92.71,26.0,184.0
294.46,25.0,466.0
104.42,34.0,186.0
180.42,101.0,270.0
143.29,41.0,199.0
17.46,9.0,32.0
31.83,14.0,56.0
28.29,13.0,69.0
23.13,9.0,39.0
60.96,26.0,119.0
92.38,37.0,216.0
91.29,56.0,150.0
83.29,32.0,164.0
36.83,25.0,51.0
