No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,datetime
1,2010,1,1,0,4,NA,NA,NA,4,81.2,1022,7,cv,1,0,0,2010/1/1:0:00:00
2,2010,1,1,1,4,NA,NA,NA,4,86.99,1022,6,cv,1,0,0,2010/1/1:1:00:00
3,2010,1,1,2,4,NA,NA,NA,4,86.99,1021,6,cv,1,0,0,2010/1/1:2:00:00
4,2010,1,1,3,4,NA,NA,NA,3,86.89,1021,5,cv,1,0,0,2010/1/1:3:00:00
5,2010,1,1,4,4,NA,NA,NA,2,86.79,1021,4,cv,1,0,0,2010/1/1:4:00:00
6,2010,1,1,5,4,NA,NA,NA,2,93.13,1020,3,cv,1,0,0,2010/1/1:5:00:00
7,2010,1,1,6,4,NA,NA,NA,2,93.13,1020,3,cv,1,0,0,2010/1/1:6:00:00
8,2010,1,1,7,4,NA,NA,NA,2,86.79,1020,4,cv,1,0,0,2010/1/1:7:00:00
9,2010,1,1,8,4,NA,NA,NA,2,93.13,1021,3,cv,1,0,0,2010/1/1:8:00:00
10,2010,1,1,9,4,NA,NA,NA,3,93.19,1021,4,cv,1,0,0,2010/1/1:9:00:00
11,2010,1,1,10,4,NA,NA,NA,4,86.99,1021,6,SW,1,0,0,2010/1/1:10:00:00
12,2010,1,1,11,4,NA,NA,NA,5,81.34,1021,8,cv,1,0,0,2010/1/1:11:00:00
13,2010,1,1,12,4,NA,NA,NA,4,70.88,1020,9,cv,2,0,0,2010/1/1:12:00:00
14,2010,1,1,13,4,NA,NA,NA,2,57.51,1019,10,cv,3,0,0,2010/1/1:13:00:00
15,2010,1,1,14,4,NA,NA,NA,3,57.77,1016.9,11,SE,2,0,0,2010/1/1:14:00:00
16,2010,1,1,15,4,NA,NA,NA,2,53.81,1016.9,11,cv,1,0,0,2010/1/1:15:00:00
17,2010,1,1,16,4,NA,NA,NA,1,50.08,1016.9,11,cv,2,0,0,2010/1/1:16:00:00
18,2010,1,1,17,4,NA,NA,NA,1,50.08,1016.9,11,cv,2,0,0,2010/1/1:17:00:00
