aver,minval,maxval
130.79,91.0,189.0
128.89,56.0,202.0
70.17,55.0,100.0
105.46,62.0,158.0
111.04,58.0,185.0
134.83,75.0,191.0
161.29,128.0,201.0
187.21,143.0,236.0
185.5,124.0,280.0
192.38,140.0,254.0
251.5,208.0,355.0
300.29,246.0,409.0
297.54,203.0,354.0
278.17,197.0,368.0
246.08,99.0,389.0
215.42,140.0,299.0
292.96,213.0,378.0
241.21,212.0,313.0
225.71,176.0,291.0
111.04,35.0,175.0
102.67,79.0,127.0
129.18,85.0,196.0
139.83,96.0,212.0
150.46,63.0,238.0
159.58,102.0,213.0
179.13,84.0,245.0
176.25,107.0,228.0
180.83,134.0,275.0
198.29,127.0,290.0
162.79,112.0,202.0
200.88,161.0,264.0
238.25,200.0,314.0
246.79,146.0,338.0
158.79,112.0,230.0
281.83,232.0,383.0
291.08,234.0,374.0
250.88,144.0,326.0
84.48,48.0,153.0
42.91,32.0,53.0
72.63,46.0,125.0
138.38,70.0,487.0
83.92,49.0,109.0
64.83,57.0,86.0
85.67,66.0,99.0
75.38,48.0,92.0
59.04,43.0,94.0
109.29,86.0,149.0
108.54,80.0,130.0
48.38,22.0,83.0
53.63,28.0,91.0
84.08,41.0,136.0
105.77,54.0,152.0
106.29,57.0,152.0
101.63,54.0,132.0
124.13,97.0,223.0
148.21,86.0,229.0
122.92,90.0,155.0
167.75,127.0,228.0
202.54,113.0,231.0
93.5,76.0,114.0
76.63,61.0,95.0
93.54,83.0,110.0
97.92,75.0,129.0
112.92,79.0,161.0
154.17,93.0,298.0
160.46,93.0,222.0
193.91,111.0,309.0
216.0,124.0,292.0
246.48,140.0,349.0
215.13,104.0,331.0
137.29,62.0,223.0
194.62,154.0,230.0
153.39,124.0,196.0
165.91,135.0,220.0
169.0,155.0,176.0
143.32,112.0,178.0
105.17,64.0,184.0
68.45,50.0,84.0
110.92,40.0,182.0
71.77,46.0,115.0
60.08,36.0,92.0
78.63,42.0,109.0
75.68,41.0,116.0
51.45,30.0,88.0
73.7,51.0,99.0
99.54,68.0,148.0
153.88,83.0,265.0
200.83,129.0,271.0
57.0,10.0,198.0
37.58,18.0,83.0
73.5,34.0,108.0
49.54,28.0,66.0
99.96,26.0,257.0
70.25,49.0,95.0
75.38,51.0,125.0
61.67,42.0,82.0
76.63,47.0,102.0
76.13,28.0,156.0
20.04,5.0,38.0
24.83,12.0,47.0
55.33,25.0,98.0
76.5,28.0,136.0
125.25,81.0,200.0
78.42,40.0,142.0
47.33,27.0,87.0
40.08,24.0,51.0
37.67,15.0,61.0
26.63,13.0,42.0
44.25,23.0,74.0
51.04,27.0,113.0
60.67,36.0,98.0
104.96,60.0,178.0
133.29,78.0,190.0
55.92,19.0,119.0
39.5,23.0,51.0
39.79,26.0,57.0
72.42,33.0,153.0
68.67,8.0,155.0
24.33,9.0,49.0
35.0,19.0,49.0
50.33,32.0,78.0
49.54,25.0,103.0
47.46,36.0,66.0
76.83,53.0,124.0
81.33,52.0,128.0
92.67,49.0,152.0
47.5,34.0,59.0
49.83,36.0,75.0
47.88,14.0,76.0
21.13,6.0,45.0
27.13,15.0,40.0
34.83,15.0,61.0
44.96,30.0,72.0
75.0,46.0,113.0
64.46,44.0,88.0
71.25,57.0,87.0
82.63,58.0,99.0
85.0,67.0,115.0
80.08,45.0,107.0
47.46,21.0,127.0
31.71,7.0,63.0
29.38,14.0,67.0
40.21,27.0,64.0
31.0,18.0,45.0
40.17,21.0,63.0
39.25,27.0,55.0
54.63,28.0,107.0
80.08,51.0,125.0
80.08,60.0,98.0
93.21,48.0,164.0
31.38,15.0,54.0
23.91,20.0,29.0
54.0,41.0,73.0
44.17,32.0,58.0
57.63,37.0,94.0
68.46,31.0,110.0
32.33,19.0,45.0
14.54,9.0,20.0
35.21,8.0,67.0
60.75,28.0,93.0
59.67,36.0,98.0
77.83,60.0,103.0
75.25,16.0,153.0
39.29,13.0,81.0
89.04,46.0,310.0
34.67,18.0,65.0
49.58,35.0,66.0
70.67,34.0,108.0
55.5,30.0,93.0
36.83,2.0,71.0
54.67,35.0,78.0
57.25,32.0,90.0
41.19,7.0,81.0
64.92,41.0,90.0
61.33,21.0,87.0
53.8,30.0,88.0
27.13,12.0,43.0
36.29,21.0,55.0
68.75,39.0,118.0
34.88,3.0,94.0
46.52,25.0,78.0
60.96,9.0,119.0
46.04,13.0,68.0
70.58,48.0,101.0
88.63,44.0,141.0
20.46,6.0,74.0
27.42,10.0,43.0
46.46,29.0,80.0
63.17,45.0,86.0
83.25,45.0,148.0
32.25,1.0,75.0
47.92,32.0,84.0
48.38,31.0,76.0
82.79,52.0,152.0
63.29,20.0,125.0
95.79,67.0,157.0
89.63,63.0,136.0
65.42,34.0,142.0
56.21,38.0,107.0
84.42,49.0,146.0
97.04,72.0,147.0
86.42,33.0,147.0
61.58,34.0,103.0
54.88,24.0,98.0
44.29,11.0,108.0
77.67,51.0,119.0
51.79,2.0,99.0
36.92,17.0,85.0
74.46,53.0,98.0
55.67,32.0,77.0
38.92,26.0,58.0
46.21,32.0,68.0
