aver,minval,maxval
57.08,35.0,95.0
70.08,51.0,92.0
57.54,43.0,133.0
34.42,26.0,47.0
29.39,17.0,40.0
39.29,28.0,54.0
64.46,41.0,110.0
69.75,47.0,107.0
53.5,43.0,63.0
93.46,70.0,115.0
100.87,81.0,125.0
81.75,14.0,119.0
57.54,23.0,113.0
81.65,37.0,184.0
114.13,63.0,169.0
144.88,72.0,221.0
94.83,58.0,193.0
96.78,64.0,129.0
91.75,71.0,125.0
104.5,63.0,195.0
155.88,120.0,189.0
102.29,49.0,147.0
102.29,91.0,142.0
126.83,75.0,212.0
57.54,28.0,81.0
105.88,63.0,155.0
60.25,43.0,87.0
80.75,52.0,142.0
88.21,60.0,118.0
67.04,50.0,89.0
91.83,56.0,163.0
84.67,49.0,134.0
97.88,34.0,180.0
58.42,35.0,98.0
116.71,68.0,212.0
115.58,34.0,175.0
31.75,20.0,46.0
36.29,23.0,48.0
13.23,1.0,37.0
18.42,5.0,32.0
40.67,22.0,68.0
46.5,39.0,55.0
61.53,41.0,75.0
48.58,15.0,95.0
40.42,10.0,69.0
58.5,40.0,81.0
62.71,33.0,102.0
41.63,15.0,91.0
27.09,13.0,44.0
46.33,28.0,68.0
30.71,23.0,54.0
32.58,12.0,70.0
74.83,48.0,130.0
103.75,57.0,163.0
100.29,50.0,179.0
110.46,60.0,170.0
65.48,27.0,174.0
60.83,30.0,96.0
35.96,8.0,115.0
37.58,24.0,58.0
61.75,40.0,124.0
126.13,60.0,224.0
105.96,69.0,134.0
100.75,79.0,146.0
121.29,95.0,154.0
84.88,65.0,107.0
81.63,58.0,129.0
62.54,36.0,121.0
63.0,43.0,88.0
74.25,35.0,124.0
65.21,43.0,90.0
115.63,74.0,182.0
76.46,47.0,177.0
65.67,50.0,87.0
107.63,70.0,174.0
49.5,20.0,151.0
39.63,15.0,100.0
73.17,35.0,106.0
64.21,49.0,89.0
61.17,42.0,83.0
68.38,17.0,119.0
53.38,37.0,84.0
44.35,5.0,83.0
32.5,11.0,54.0
40.38,16.0,69.0
68.7,59.0,80.0
43.46,12.0,68.0
40.75,20.0,71.0
69.5,41.0,130.0
135.54,93.0,184.0
89.17,37.0,125.0
91.21,55.0,109.0
59.08,27.0,84.0
21.36,8.0,53.0
41.58,15.0,62.0
73.08,50.0,100.0
61.54,48.0,79.0
66.13,13.0,107.0
67.5,34.0,112.0
53.96,22.0,74.0
109.5,66.0,162.0
111.29,56.0,240.0
162.67,86.0,254.0
108.13,82.0,149.0
69.63,37.0,92.0
54.43,24.0,79.0
34.17,12.0,58.0
33.38,16.0,57.0
42.21,16.0,76.0
68.46,52.0,88.0
67.32,35.0,113.0
57.17,30.0,76.0
67.88,11.0,148.0
28.17,9.0,50.0
77.25,37.0,131.0
87.71,64.0,144.0
45.21,20.0,71.0
38.87,4.0,95.0
29.13,16.0,47.0
35.54,24.0,59.0
41.04,21.0,57.0
