aver,minval,maxval
78.08,48.0,136.0
58.54,17.0,112.0
45.88,20.0,63.0
49.25,37.0,68.0
52.88,37.0,76.0
85.13,44.0,118.0
147.0,99.0,244.0
122.88,57.0,251.0
107.04,61.0,154.0
58.08,40.0,95.0
47.42,29.0,72.0
165.38,69.0,238.0
63.13,29.0,176.0
135.67,86.0,167.0
107.17,76.0,228.0
203.88,69.0,263.0
65.68,35.0,98.0
109.67,79.0,138.0
85.17,31.0,144.0
39.42,19.0,62.0
115.63,48.0,338.0
121.96,100.0,152.0
160.58,130.0,189.0
208.42,170.0,302.0
177.08,119.0,238.0
142.46,71.0,217.0
40.71,29.0,62.0
48.42,31.0,73.0
94.08,27.0,198.0
171.0,38.0,232.0
37.7,18.0,62.0
82.71,41.0,133.0
59.21,15.0,134.0
23.13,13.0,40.0
62.5,24.0,118.0
40.63,32.0,49.0
63.92,41.0,103.0
64.88,16.0,128.0
27.88,16.0,44.0
50.13,24.0,185.0
165.46,51.0,574.0
57.67,31.0,75.0
46.75,24.0,90.0
97.08,74.0,226.0
94.46,23.0,651.0
71.5,21.0,178.0
49.29,24.0,137.0
45.46,17.0,113.0
47.96,14.0,126.0
20.83,8.0,40.0
54.75,42.0,71.0
65.04,52.0,78.0
84.71,45.0,119.0
156.42,119.0,204.0
93.08,18.0,210.0
31.32,18.0,50.0
45.75,23.0,72.0
41.04,14.0,55.0
55.71,39.0,76.0
55.88,21.0,135.0
25.71,14.0,38.0
62.21,21.0,101.0
118.17,76.0,184.0
143.54,107.0,168.0
79.0,57.0,113.0
143.0,68.0,236.0
144.38,68.0,237.0
113.83,90.0,134.0
50.21,20.0,175.0
26.33,12.0,36.0
45.21,25.0,66.0
53.0,21.0,143.0
32.33,16.0,47.0
38.38,28.0,54.0
49.71,35.0,69.0
57.04,28.0,135.0
70.08,37.0,147.0
86.88,44.0,146.0
65.75,33.0,163.0
27.63,16.0,40.0
74.92,25.0,139.0
65.04,52.0,82.0
72.46,58.0,86.0
40.0,18.0,69.0
21.21,13.0,37.0
58.54,30.0,107.0
78.21,48.0,103.0
47.75,28.0,92.0
27.63,16.0,43.0
40.0,29.0,53.0
55.0,42.0,82.0
69.17,38.0,108.0
40.96,19.0,64.0
35.79,26.0,52.0
27.63,16.0,35.0
43.58,16.0,74.0
66.08,49.0,101.0
72.54,62.0,86.0
56.75,36.0,108.0
50.13,31.0,61.0
77.54,46.0,104.0
91.71,66.0,131.0
82.71,37.0,120.0
59.46,22.0,102.0
86.79,31.0,143.0
52.58,32.0,83.0
96.21,67.0,130.0
75.92,43.0,141.0
28.88,21.0,38.0
29.5,13.0,44.0
60.13,47.0,77.0
48.86,31.0,69.0
86.21,39.0,130.0
98.21,63.0,141.0
97.04,53.0,164.0
53.08,41.0,72.0
43.92,26.0,63.0
38.83,31.0,50.0
86.22,52.0,153.0
37.15,13.0,74.0
35.71,19.0,69.0
39.71,30.0,56.0
41.88,24.0,57.0
42.96,35.0,54.0
49.75,38.0,65.0
51.58,33.0,75.0
51.0,37.0,63.0
37.17,24.0,50.0
48.08,26.0,84.0
118.13,51.0,176.0
126.54,61.0,195.0
96.55,42.0,159.0
55.88,32.0,78.0
37.75,19.0,72.0
22.88,5.0,39.0
18.32,6.0,41.0
30.0,9.0,52.0
44.46,17.0,85.0
89.71,57.0,112.0
102.04,71.0,139.0
81.88,35.0,116.0
46.33,17.0,91.0
35.5,11.0,70.0
46.38,19.0,83.0
27.54,8.0,45.0
34.54,16.0,59.0
24.0,7.0,45.0
52.08,28.0,133.0
88.46,64.0,120.0
34.92,15.0,78.0
38.45,17.0,86.0
81.13,37.0,145.0
38.71,18.0,77.0
54.71,28.0,83.0
28.79,14.0,44.0
18.38,8.0,32.0
14.29,4.0,26.0
10.55,2.0,23.0
25.67,12.0,45.0
40.13,7.0,63.0
28.13,9.0,52.0
116.13,52.0,221.0
110.17,47.0,186.0
59.79,28.0,76.0
28.92,15.0,48.0
21.5,13.0,31.0
45.67,9.0,83.0
56.54,29.0,94.0
57.25,35.0,80.0
79.79,42.0,129.0
57.83,34.0,76.0
40.33,18.0,60.0
48.29,37.0,66.0
57.42,12.0,121.0
52.92,19.0,112.0
35.17,11.0,62.0
21.27,3.0,38.0
11.67,3.0,23.0
13.42,4.0,33.0
23.45,8.0,44.0
54.08,27.0,85.0
76.67,44.0,107.0
42.0,28.0,59.0
32.04,21.0,50.0
33.61,24.0,40.0
25.58,7.0,47.0
32.08,8.0,65.0
35.58,20.0,54.0
33.96,15.0,57.0
33.67,17.0,58.0
33.54,19.0,58.0
32.67,5.0,69.0
14.29,5.0,32.0
8.48,1.0,23.0
10.26,2.0,27.0
14.26,2.0,28.0
16.96,6.0,31.0
19.71,7.0,38.0
10.13,2.0,23.0
13.39,1.0,27.0
28.68,3.0,52.0
31.38,19.0,53.0
22.77,6.0,38.0
27.92,13.0,54.0
35.13,22.0,55.0
49.13,33.0,88.0
59.77,33.0,87.0
75.09,36.0,117.0
39.67,21.0,72.0
39.67,19.0,65.0
36.0,20.0,58.0
37.58,14.0,70.0
28.91,9.0,43.0
15.17,2.0,29.0
18.09,3.0,33.0
23.18,10.0,35.0
37.33,6.0,68.0
43.17,29.0,65.0
62.29,35.0,92.0
54.21,33.0,77.0
67.0,53.0,92.0
45.42,30.0,68.0
47.17,10.0,94.0
13.92,3.0,28.0
10.13,1.0,22.0
8.17,1.0,16.0
12.05,3.0,24.0
10.25,4.0,19.0
17.42,1.0,43.0
17.77,8.0,41.0
5.94,2.0,9.0
9.95,1.0,20.0
11.33,2.0,24.0
11.17,4.0,20.0
13.21,4.0,22.0
25.63,6.0,45.0
34.46,1.0,68.0
27.08,11.0,38.0
25.43,10.0,35.0
24.58,6.0,47.0
27.22,4.0,58.0
55.5,8.0,90.0
19.12,11.0,28.0
37.6,12.0,56.0
16.79,10.0,28.0
25.54,12.0,51.0
25.04,17.0,34.0
41.75,20.0,55.0
19.67,9.0,40.0
34.13,8.0,50.0
42.42,18.0,74.0
37.33,19.0,51.0
20.5,11.0,27.0
34.92,4.0,91.0
33.92,8.0,68.0
34.71,18.0,52.0
36.08,9.0,69.0
14.88,6.0,24.0
16.13,8.0,31.0
19.58,11.0,26.0
18.75,7.0,26.0
19.25,9.0,28.0
19.67,10.0,27.0
10.21,3.0,17.0
26.09,12.0,43.0
12.25,4.0,24.0
24.58,13.0,55.0
20.21,12.0,30.0
46.83,13.0,91.0
69.17,20.0,110.0
25.21,16.0,42.0
34.08,26.0,44.0
53.08,9.0,133.0
12.83,7.0,21.0
18.08,7.0,28.0
29.29,17.0,42.0
19.13,8.0,29.0
11.63,5.0,20.0
10.63,3.0,31.0
37.88,22.0,50.0
49.46,33.0,100.0
89.83,21.0,145.0
24.83,15.0,39.0
24.75,16.0,33.0
28.21,15.0,41.0
24.17,16.0,34.0
26.96,14.0,34.0
25.67,12.0,40.0
22.04,9.0,30.0
26.29,17.0,37.0
49.58,19.0,129.0
56.0,42.0,89.0
56.29,37.0,118.0
42.71,29.0,58.0
53.52,31.0,119.0
40.29,27.0,59.0
51.63,33.0,85.0
39.58,27.0,59.0
37.0,28.0,52.0
42.5,26.0,59.0
44.7,32.0,69.0
39.88,21.0,65.0
37.42,22.0,61.0
52.88,38.0,80.0
83.58,54.0,133.0
53.25,24.0,147.0
46.67,30.0,78.0
115.13,55.0,208.0
175.33,115.0,221.0
102.5,40.0,189.0
72.21,38.0,149.0
44.25,16.0,152.0
48.17,24.0,92.0
29.46,17.0,45.0
29.08,20.0,43.0
79.88,25.0,178.0
165.63,114.0,208.0
121.92,84.0,168.0
78.79,35.0,120.0
62.33,32.0,110.0
93.29,49.0,134.0
130.29,97.0,183.0
101.86,74.0,154.0
67.79,38.0,97.0
64.54,48.0,87.0
58.29,35.0,133.0
78.42,59.0,102.0
96.5,69.0,138.0
77.17,53.0,121.0
54.88,20.0,91.0
62.42,45.0,84.0
91.58,58.0,126.0
196.17,138.0,258.0
214.63,138.0,268.0
132.5,74.0,163.0
117.0,73.0,169.0
247.54,161.0,445.0
382.88,94.0,514.0
165.0,94.0,355.0
120.33,90.0,173.0
180.54,86.0,412.0
76.58,47.0,131.0
101.04,53.0,142.0
91.5,59.0,154.0
96.63,31.0,229.0
52.08,34.0,73.0
88.67,44.0,125.0
28.96,15.0,72.0
20.5,11.0,33.0
53.25,17.0,112.0
102.26,55.0,189.0
187.58,91.0,216.0
62.96,35.0,85.0
59.67,37.0,83.0
61.17,38.0,106.0
132.21,103.0,174.0
103.88,86.0,154.0
207.96,46.0,359.0
60.29,41.0,94.0
98.88,65.0,133.0
132.88,89.0,179.0
114.79,74.0,166.0
96.46,59.0,128.0
126.71,71.0,173.0
92.7,33.0,182.0
129.92,68.0,225.0
99.75,21.0,251.0
50.33,23.0,122.0
27.54,17.0,43.0
46.21,35.0,75.0
38.92,19.0,97.0
34.29,22.0,45.0
45.58,24.0,66.0
45.46,38.0,57.0
85.42,35.0,194.0
39.42,17.0,188.0
24.5,17.0,35.0
34.42,23.0,73.0
69.58,47.0,97.0
94.08,59.0,189.0
151.08,76.0,203.0
108.13,69.0,147.0
166.71,51.0,247.0
45.71,23.0,74.0
51.71,36.0,76.0
40.09,27.0,58.0
32.83,22.0,42.0
95.58,23.0,243.0
29.46,16.0,89.0
21.21,13.0,27.0
53.96,18.0,101.0
61.54,39.0,120.0
182.67,116.0,406.0
125.54,61.0,356.0
61.71,33.0,120.0
177.0,78.0,268.0
50.75,22.0,100.0
25.5,16.0,139.0
18.92,13.0,25.0
14.25,10.0,19.0
17.46,10.0,25.0
45.46,17.0,73.0
48.08,25.0,76.0
33.04,23.0,42.0
39.38,21.0,56.0
31.0,22.0,51.0
27.96,18.0,49.0
40.88,26.0,52.0
27.33,17.0,49.0
23.25,11.0,32.0
33.13,16.0,60.0
25.58,16.0,40.0
68.23,19.0,141.0
117.13,35.0,151.0
85.13,39.0,111.0
54.58,41.0,87.0
82.38,65.0,106.0
75.33,39.0,101.0
21.92,12.0,42.0
53.75,17.0,113.0
87.04,42.0,123.0
78.96,30.0,122.0
29.92,15.0,43.0
52.79,26.0,81.0
33.58,21.0,60.0
26.09,18.0,39.0
39.92,18.0,93.0
23.08,17.0,31.0
27.13,13.0,61.0
43.17,20.0,79.0
72.5,41.0,104.0
128.54,88.0,150.0
46.25,29.0,65.0
32.13,20.0,61.0
37.3,27.0,57.0
70.96,56.0,98.0
71.75,39.0,104.0
59.96,39.0,84.0
74.71,49.0,135.0
114.88,86.0,164.0
68.71,41.0,90.0
62.33,28.0,106.0
28.83,18.0,39.0
42.54,29.0,57.0
31.92,20.0,41.0
36.13,23.0,48.0
60.17,37.0,106.0
78.42,50.0,100.0
40.29,23.0,56.0
