aver,minval,maxval
113.0,113.0,113.0
108.13,59.0,163.0
74.75,15.0,150.0
39.92,15.0,80.0
42.71,14.0,110.0
96.88,25.0,210.0
50.0,36.0,84.0
23.5,5.0,41.0
26.17,4.0,65.0
55.29,31.0,80.0
74.79,30.0,176.0
75.17,35.0,150.0
76.08,25.0,120.0
92.88,33.0,195.0
171.04,100.0,300.0
188.96,131.0,325.0
86.92,38.0,173.0
55.58,34.0,77.0
31.67,8.0,63.0
72.58,29.0,148.0
53.67,2.0,187.0
63.58,12.0,129.0
37.88,5.0,85.0
33.96,5.0,73.0
75.38,17.0,168.0
47.18,31.0,85.0
48.88,21.0,69.0
49.08,29.0,90.0
15.71,2.0,45.0
30.38,8.0,51.0
59.74,25.0,163.0
71.42,30.0,153.0
42.63,11.0,125.0
75.92,37.0,147.0
56.25,39.0,75.0
30.58,14.0,59.0
23.29,8.0,47.0
32.83,5.0,97.0
62.21,21.0,95.0
66.17,43.0,95.0
53.54,6.0,112.0
50.13,1.0,118.0
44.67,10.0,68.0
31.88,9.0,68.0
49.96,13.0,88.0
32.54,17.0,46.0
28.0,15.0,43.0
52.83,27.0,113.0
57.88,3.0,118.0
17.58,5.0,32.0
24.67,9.0,47.0
27.58,5.0,79.0
55.46,38.0,81.0
73.17,52.0,113.0
40.5,24.0,109.0
56.38,39.0,85.0
68.04,25.0,110.0
83.04,18.0,174.0
40.67,8.0,106.0
23.96,6.0,61.0
33.95,2.0,98.0
39.88,7.0,107.0
43.25,2.0,91.0
30.13,4.0,49.0
50.67,30.0,72.0
36.83,5.0,75.0
50.87,6.0,86.0
47.67,3.0,104.0
31.58,11.0,51.0
28.87,5.0,57.0
20.91,2.0,45.0
12.82,1.0,34.0
26.45,4.0,87.0
41.23,1.0,114.0
16.32,1.0,58.0
44.17,6.0,110.0
48.71,6.0,104.0
46.71,18.0,81.0
47.35,3.0,95.0
26.09,5.0,49.0
26.71,1.0,48.0
39.13,9.0,88.0
100.22,43.0,193.0
95.74,56.0,147.0
18.0,1.0,66.0
15.95,2.0,33.0
35.79,5.0,71.0
31.25,6.0,95.0
24.26,1.0,55.0
28.75,1.0,60.0
16.96,2.0,51.0
47.45,28.0,64.0
39.63,21.0,58.0
25.91,8.0,49.0
17.79,4.0,48.0
38.26,8.0,84.0
55.42,18.0,97.0
21.41,1.0,41.0
28.75,22.0,35.0
23.38,7.0,50.0
55.04,4.0,150.0
44.67,12.0,74.0
15.46,3.0,33.0
47.39,12.0,182.0
34.25,16.0,64.0
27.67,5.0,66.0
17.35,6.0,43.0
30.29,2.0,113.0
27.13,4.0,63.0
32.46,17.0,56.0
38.25,8.0,93.0
49.67,16.0,112.0
48.54,16.0,95.0
39.83,19.0,77.0
66.88,29.0,134.0
61.13,23.0,91.0
50.71,30.0,60.0
60.96,16.0,105.0
33.88,7.0,74.0
47.71,26.0,64.0
75.75,32.0,150.0
36.83,6.0,84.0
17.71,5.0,44.0
35.25,15.0,78.0
59.54,38.0,84.0
100.79,76.0,140.0
81.33,43.0,144.0
51.83,7.0,102.0
42.75,13.0,90.0
45.96,28.0,79.0
24.88,10.0,46.0
23.38,6.0,106.0
43.17,7.0,137.0
58.67,21.0,122.0
52.54,20.0,100.0
60.21,29.0,114.0
65.38,28.0,109.0
152.13,84.0,297.0
83.33,6.0,210.0
18.13,2.0,41.0
22.61,2.0,75.0
68.08,39.0,104.0
90.67,40.0,176.0
163.17,60.0,253.0
41.0,4.0,103.0
52.09,20.0,130.0
102.63,64.0,162.0
62.25,38.0,82.0
31.33,7.0,80.0
56.71,4.0,129.0
62.29,21.0,144.0
18.33,5.0,49.0
20.75,7.0,53.0
96.5,49.0,196.0
140.29,52.0,203.0
76.75,39.0,141.0
76.04,51.0,101.0
154.33,80.0,289.0
253.57,209.0,300.0
232.83,164.0,321.0
55.13,6.0,241.0
24.83,11.0,59.0
58.46,22.0,140.0
111.42,45.0,163.0
104.71,90.0,136.0
114.42,44.0,209.0
37.08,14.0,118.0
97.96,30.0,229.0
137.63,65.0,223.0
145.63,79.0,196.0
149.88,117.0,176.0
127.67,39.0,195.0
73.33,20.0,157.0
65.21,47.0,117.0
99.83,9.0,198.0
24.04,3.0,56.0
44.0,21.0,78.0
45.63,7.0,108.0
31.29,5.0,94.0
32.79,12.0,49.0
64.83,25.0,112.0
66.08,26.0,134.0
52.65,22.0,116.0
96.29,48.0,155.0
87.71,27.0,165.0
26.17,8.0,50.0
25.17,14.0,43.0
31.54,11.0,101.0
68.45,27.0,115.0
112.83,54.0,199.0
110.45,55.0,179.0
191.38,94.0,275.0
194.13,18.0,289.0
30.17,3.0,71.0
44.25,10.0,126.0
